reachid,length_m,Shape_Leng,geom_len
1,8597.941418087048,0.0,8597.941418087048
2,8164.130941060565,0.0,8164.130941060565
3,8738.607245642726,0.0,8738.607245642726
4,8014.639297767532,8014.63929777,8014.639297767532
5,5455.67048121096,0.0,5455.67048121096
6,7866.174791755206,0.0,7866.174791755206
7,7836.856739636196,0.0,7836.856739636196
8,4344.104025769824,0.0,4344.104025769824
9,12791.372883461847,12791.3728835,12791.372883461847
10,5501.518873904264,0.0,5501.518873904264
11,2289.120633094474,0.0,2289.120633094474
12,1701.7301038943394,0.0,1701.7301038943394
13,4891.865581501545,4891.8655815,4891.865581501545
14,7058.776765892533,0.0,7058.776765892533
15,1700.3050445185586,0.0,1700.3050445185586
16,1820.7664406147555,1820.76644061,1820.7664406147555
17,854.5821357931225,0.0,854.5821357931225
18,2601.383981004759,2601.383981,2601.383981004759
19,1251.7193435163388,1251.71934352,1251.7193435163388
20,486.08394979797094,486.083949798,486.08394979797094
21,3757.995819913576,0.0,3757.995819913576
22,4769.755760407031,4769.75576041,4769.755760407031
23,9262.204937856564,9262.20493786,9262.204937856564
24,3057.4108155755507,3057.41081558,3057.4108155755507
25,7573.654569478667,0.0,7573.654569478667
26,5326.027903871017,0.0,5326.027903871017
27,13296.350068299593,0.0,13296.350068299593
28,3228.0932690562504,0.0,3228.0932690562504
29,1218.5305804261743,0.0,1218.5305804261743
30,8202.316538103805,0.0,8202.316538103805
31,1451.9530806511293,0.0,1451.9530806511293
32,54.743658424058566,54.7436584241,54.743658424058566
33,2426.7659106039637,2426.7659106,2426.7659106039637
34,2680.8732567884867,2680.87325679,2680.8732567884867
35,227.40806289517826,0.0,227.40806289517826
36,3889.0782664286016,0.0,3889.0782664286016
37,5655.444560150755,5655.44456015,5655.444560150755
38,367.0401371480524,367.040137148,367.0401371480524
39,6404.6669529228075,6404.66695292,6404.6669529228075
40,2180.097752135667,0.0,2180.097752135667
41,8240.52103646443,0.0,8240.52103646443
42,2128.0633683766255,0.0,2128.0633683766255
43,434.33067262396054,434.330672624,434.33067262396054
44,2040.7655495342287,0.0,2040.7655495342287
45,1866.9875041344428,1866.98750413,1866.9875041344428
46,4887.6066573600265,0.0,4887.6066573600265
47,6447.9902982818985,6447.99029828,6447.9902982818985
48,2713.8890250592094,0.0,2713.8890250592094
49,47688.907764820746,47688.9077648,47688.907764820746
50,514.4117668623115,0.0,514.4117668623115
51,190.80502399435437,190.805023994,190.80502399435437
52,1776.2003446526237,0.0,1776.2003446526237
53,443.85324236055504,0.0,443.85324236055504
54,7376.144034753068,0.0,7376.144034753068
55,1287.5331803071983,1287.53318031,1287.5331803071983
56,477.16140144361316,477.161401444,477.16140144361316
57,2258.071520566752,2258.07152057,2258.071520566752
58,6289.199514409205,0.0,6289.199514409205
59,462.4221963947746,0.0,462.4221963947746
60,2762.9074914172656,2762.90749142,2762.9074914172656
61,503.41402620795856,503.414026208,503.41402620795856
62,315.6137709668674,315.613770967,315.6137709668674
63,16835.058430499656,16835.0584305,16835.058430499656
64,655.1462439106759,655.146243911,655.1462439106759
65,5035.723884950216,0.0,5035.723884950216
66,1004.4962733460376,1004.49627335,1004.4962733460376
67,10459.162293763147,10459.1622938,10459.162293763147
68,896.6449934463707,896.644993446,896.6449934463707
69,299.9877211072779,0.0,299.9877211072779
70,4793.3002804228345,4793.30028042,4793.3002804228345
71,10236.273519048811,10236.273519,10236.273519048811
72,2758.786362729844,0.0,2758.786362729844
73,3018.696443495818,0.0,3018.696443495818
74,2985.4666503250237,0.0,2985.4666503250237
75,8005.940299650463,0.0,8005.940299650463
76,2215.6558415017275,0.0,2215.6558415017275
77,1615.071869059899,0.0,1615.071869059899
78,16693.744281864077,0.0,16693.744281864077
79,988.3538241660808,0.0,988.3538241660808
80,1651.878662296375,1651.8786623,1651.878662296375
81,8141.01397621921,8141.01397622,8141.01397621921
82,3147.2714344871006,3147.27143449,3147.2714344871006
83,6386.443200769479,6386.44320077,6386.443200769479
84,1388.0430172984795,0.0,1388.0430172984795
85,774.8422069043112,774.842206904,774.8422069043112
86,6366.048150460766,6366.04815046,6366.048150460766
87,1224.4482506550837,0.0,1224.4482506550837
88,4006.5834587868967,0.0,4006.5834587868967
89,5605.340069336413,0.0,5605.340069336413
90,6277.000467956267,0.0,6277.000467956267
91,2936.963509311697,0.0,2936.963509311697
92,1347.7036468438025,0.0,1347.7036468438025
93,2422.784598632348,2422.78459863,2422.784598632348
94,3106.055191457662,3106.05519146,3106.055191457662
95,5640.007223128522,0.0,5640.007223128522
96,1633.6157923428873,1633.61579234,1633.6157923428873
97,10632.36553848835,0.0,10632.36553848835
98,6758.512656473336,0.0,6758.512656473336
99,3553.576579398235,0.0,3553.576579398235
100,2221.041786710179,2221.04178671,2221.041786710179
101,4098.325518702283,4098.3255187,4098.325518702283
102,709.3556557878896,709.355655788,709.3556557878896
103,8551.667779612295,0.0,8551.667779612295
104,8859.909566489283,8859.90956649,8859.909566489283
