TribName,ReachID
Upper.Kuskoswim,15980
MidTrib1,13053
MidTrib2,15499
MidTrib3,15253
MidTrib4,15143
MidTrib5,14290
MidTrib6,13839
MidTrib7,12837
MidTrib8,12487
MidTrib9,13365
LowerTrib1,8440
Upper.Stony,9653
Upper.SouthFork,14235
