"segment_id","stream_order","stream_length_m","basin_assign_norm","year","watershed","analysis_type","quartile","cpue_percentage"
7,3,13233.4934486769,0,"2017","Kusko","Annual",NA,1
151,4,1285.40896611159,0,"2017","Kusko","Annual",NA,1
156,3,1316.50809747792,0,"2017","Kusko","Annual",NA,1
205,4,3455.89146884117,0,"2017","Kusko","Annual",NA,1
206,4,1798.5169550658,0,"2017","Kusko","Annual",NA,1
210,4,787.762304751925,0,"2017","Kusko","Annual",NA,1
259,4,2006.95697572938,0,"2017","Kusko","Annual",NA,1
358,3,619.931040684687,0,"2017","Kusko","Annual",NA,1
360,4,413.853438124644,0,"2017","Kusko","Annual",NA,1
127,3,2734.59816934954,0,"2017","Kusko","Annual",NA,1
1244,3,2204.20390455046,0,"2017","Kusko","Annual",NA,1
1245,7,406.041412263724,0,"2017","Kusko","Annual",NA,1
608,3,1295.07621125474,0,"2017","Kusko","Annual",NA,1
362,4,919.009343217209,0,"2017","Kusko","Annual",NA,1
40,3,1087.52938149688,0,"2017","Kusko","Annual",NA,1
44,3,1566.92673876515,0,"2017","Kusko","Annual",NA,1
47,3,6363.47420677518,0,"2017","Kusko","Annual",NA,1
52,3,666.266662277188,0,"2017","Kusko","Annual",NA,1
56,3,2916.63972669231,0,"2017","Kusko","Annual",NA,1
57,4,5845.82085140928,0,"2017","Kusko","Annual",NA,1
58,3,448.237704560618,0,"2017","Kusko","Annual",NA,1
60,3,1544.26092488613,0,"2017","Kusko","Annual",NA,1
69,3,1133.25120236662,0,"2017","Kusko","Annual",NA,1
71,4,5487.61239826305,0,"2017","Kusko","Annual",NA,1
74,3,1704.66973482768,0,"2017","Kusko","Annual",NA,1
79,4,6977.70847523671,0,"2017","Kusko","Annual",NA,1
81,4,22778.1789440894,0,"2017","Kusko","Annual",NA,1
83,4,2075.81781789633,0,"2017","Kusko","Annual",NA,1
87,4,1128.1840182135,0,"2017","Kusko","Annual",NA,1
89,3,3459.38186197934,0,"2017","Kusko","Annual",NA,1
95,4,1450.9052964568,0,"2017","Kusko","Annual",NA,1
99,3,2741.33623568593,0,"2017","Kusko","Annual",NA,1
105,3,1813.5342665262,0,"2017","Kusko","Annual",NA,1
199,3,2851.3061004485,0,"2017","Kusko","Annual",NA,1
201,4,929.014299260052,0,"2017","Kusko","Annual",NA,1
313,3,1734.4520175083,0,"2017","Kusko","Annual",NA,1
405,3,3312.58181393967,0,"2017","Kusko","Annual",NA,1
228,4,3120.82494880469,0,"2017","Kusko","Annual",NA,1
388,3,637.66648283936,0,"2017","Kusko","Annual",NA,1
320,3,532.631512484466,0,"2017","Kusko","Annual",NA,1
323,3,3597.03505950345,0,"2017","Kusko","Annual",NA,1
324,3,171.104128300557,0,"2017","Kusko","Annual",NA,1
399,3,816.56849921953,0,"2017","Kusko","Annual",NA,1
484,4,2366.08678117195,0,"2017","Kusko","Annual",NA,1
486,3,4966.81841320228,0,"2017","Kusko","Annual",NA,1
548,4,3786.87014393505,0,"2017","Kusko","Annual",NA,1
637,3,11411.5593209948,0,"2017","Kusko","Annual",NA,1
638,5,506.385663580489,0,"2017","Kusko","Annual",NA,1
641,5,1507.94639973701,0,"2017","Kusko","Annual",NA,1
642,3,1490.00385536027,0,"2017","Kusko","Annual",NA,1
643,5,1761.49054503011,0,"2017","Kusko","Annual",NA,1
745,3,2544.77285789393,0,"2017","Kusko","Annual",NA,1
747,4,5519.80455339215,0,"2017","Kusko","Annual",NA,1
748,3,10497.7059814885,0.390897963096224,"2017","Kusko","Annual",NA,1
5599,6,12158.3831656767,0.390727292047586,"2017","Kusko","Annual",NA,1
11522,5,5861.67042754667,0.532252241685297,"2017","Kusko","Annual",NA,1
7473,5,7779.02900162982,0.515626911066709,"2017","Kusko","Annual",NA,1
1642,7,409.136366159707,0,"2017","Kusko","Annual",NA,1
1643,3,817.462600436267,0.142697261948633,"2017","Kusko","Annual",NA,1
1976,3,1662.28991324923,0,"2017","Kusko","Annual",NA,1
513,3,1190.37317603171,0,"2017","Kusko","Annual",NA,1
888,4,257.107308953368,0,"2017","Kusko","Annual",NA,1
890,4,5024.32674704892,0,"2017","Kusko","Annual",NA,1
891,4,1384.26162075415,0,"2017","Kusko","Annual",NA,1
697,3,3904.35943410692,0,"2017","Kusko","Annual",NA,1
698,5,2643.69890667207,0,"2017","Kusko","Annual",NA,1
699,3,2135.5263748755,0.385873264106567,"2017","Kusko","Annual",NA,1
983,3,2588.3108083738,0,"2017","Kusko","Annual",NA,1
1075,4,1310.71846883545,0,"2017","Kusko","Annual",NA,1
1076,7,1126.33558514954,0,"2017","Kusko","Annual",NA,1
1083,7,319.364937923394,0,"2017","Kusko","Annual",NA,1
1084,4,1232.17372514767,0,"2017","Kusko","Annual",NA,1
1090,6,2906.01739382106,0,"2017","Kusko","Annual",NA,1
