year_2015,year_2016,year_2017,sd,mean,cv,mean_cv,change_2016_2017,change_2015_2016
2.97123019986014e-5,2.2247820949537e-5,4.13602398106095e-5,9.632215800161883e-6,2.5738144639727445e-5,0.3742389334969517,0.062394604036691725,1.9112418861072497e-5,-7.464481049064398e-6
6.63344416712963e-5,4.511363692545e-5,3.01995401791752e-5,1.8158946104073484e-5,3.995164121999875e-5,0.45452315723599335,0.07578715257368222,-1.4914096746274796e-5,-2.1220804745846306e-5
2.48754156267361e-5,2.10118308967849e-5,4.46427985257372e-5,1.2676088675940389e-5,2.5801533431299646e-5,0.4912920664073059,0.08190351234574374,2.36309676289523e-5,-3.863584729951199e-6
2.76393506963734e-5,2.1629825923161e-5,4.66123337548139e-5,1.3039773590150522e-5,2.7230320991124707e-5,0.4788696245777136,0.07983429603044487,2.49825078316529e-5,-6.009524773212399e-6
4.90598474860629e-5,6.05635125848507e-5,6.56511743025548e-5,8.499909195500301e-6,4.594361089224218e-5,0.1850074260692373,0.030872857353949755,5.0876617177040965e-6,1.15036650987878e-5
2.48754156267361e-5,2.10118308967849e-5,4.46427985257372e-5,1.2676088675940389e-5,2.5801533431299646e-5,0.4912920664073059,0.08190351234574374,2.36309676289523e-5,-3.863584729951199e-6
2.76393506963734e-5,2.1629825923161e-5,4.66123337548139e-5,1.3039773590150522e-5,2.7230320991124707e-5,0.4788696245777136,0.07983429603044487,2.49825078316529e-5,-6.009524773212399e-6
2.55663993941454e-5,2.10118308967849e-5,4.59558220117883e-5,1.3283293652952223e-5,2.6454336488917704e-5,0.5021215957737925,0.08370897790937284,2.4943991115003397e-5,-4.554568497360499e-6
4.07680422771508e-5,5.68555424265946e-5,6.36816390734781e-5,1.176460917778125e-5,4.326745823875119e-5,0.27190432848779256,0.04535344429649772,6.826096646883502e-6,1.6087500149443796e-5
5.59696851601562e-5,6.48894777694829e-5,7.22162917328102e-5,8.136308829082258e-6,5.0302940872882894e-5,0.16174618596640233,0.026999616778461126,7.326813963327299e-6,8.919792609326703e-6
