year_2015,year_2016,year_2017,sd,mean,cv,mean_cv
3.7215966580062e-5,3.20088659311274e-5,4.90600588830954e-5,8.738226371678194e-6,3.1755779441490744e-5,0.2751696392078225,NA
2.849347441286e-5,2.30883623109772e-5,4.46501659497834e-5,1.1218773658557403e-5,2.6862694083044502e-5,0.4176339731180796,NA
5.698694882572e-5,6.66414093975931e-5,6.83533404663352e-5,6.12827022693223e-6,4.9527492229145134e-5,0.12373471684330435,NA
8.37359248051395e-5,7.71361195389464e-5,7.27632333996471e-5,5.523880269929721e-6,5.978978950341568e-5,0.0923883545302355,NA
3.7215966580062e-5,4.3553047086616e-5,5.62261348997273e-5,9.679464892298052e-6,3.6668653364675834e-5,0.2639711034936072,NA
6.86169383819893e-5,7.18887644682698e-5,7.16607601663191e-5,1.826731277233294e-6,5.349829857345287e-5,0.03414559576554013,NA
3.54714681466216e-5,3.30583369452627e-5,4.57526391831114e-5,6.741302907974332e-6,3.0255936795742508e-5,0.22280926065799225,NA
8.60619227163934e-5,7.45124420036081e-5,6.00847912163753e-5,1.3015112836894476e-5,5.841856719331782e-5,0.2227906890257179,NA
8.60619227163934e-5,7.45124420036081e-5,6.00847912163753e-5,1.3015112836894476e-5,5.841856719331782e-5,0.2227906890257179,NA
8.66434221942069e-5,7.60866485248111e-5,6.06360278330392e-5,1.3080212227668912e-5,5.911157769493153e-5,0.2212800391688829,NA
8.19914263716991e-5,7.13640289612021e-5,5.34699518164073e-5,1.4414194875149197e-5,5.530990050611443e-5,0.26060786121927176,NA
8.60619227163934e-5,7.60866485248111e-5,6.00847912163753e-5,1.3104559597623653e-5,5.883448051380087e-5,0.22273604667164015,NA
5.29164524810257e-5,3.56820144806011e-5,1.98445181999038e-5,1.6540883585459927e-5,3.124596718674763e-5,0.5293765907965051,NA
8.3154425327326e-5,7.66113840318787e-5,7.27632333996471e-5,5.253515051216221e-6,5.9445639452517004e-5,0.08837511211251307,NA
5.05904545697718e-5,6.34929963551872e-5,6.61483939996792e-5,8.322421527410473e-6,4.713856661301217e-5,0.17655228245979684,NA
5.52424503922795e-5,3.83056920159394e-5,2.42544111332157e-5,1.5516393781336577e-5,3.332973683069279e-5,0.46554204313571995,NA
8.37359248051395e-5,7.13640289612021e-5,5.45724250497353e-5,1.4637460427935598e-5,5.607745981100313e-5,0.2610221732094851,NA
8.37359248051395e-5,7.81855905530817e-5,7.22119967829831e-5,5.76325934837178e-6,5.997419287239402e-5,0.09609565502005439,NA
3.02379728463004e-5,2.46625688321801e-5,4.57526391831114e-5,1.0928411510602967e-5,2.7895398093048716e-5,0.3917639559811921,NA
3.19824712797408e-5,2.99099239028568e-5,4.79575856497674e-5,9.876047001843732e-6,2.9931506958552183e-5,0.3299548871869245,NA
3.54714681466216e-5,4.25035760724807e-5,5.34699518164073e-5,9.070624319283418e-6,3.5128905088698257e-5,0.2582097078283729,NA
8.66434221942069e-5,7.71361195389464e-5,6.17385010663672e-5,1.2568018637198093e-5,5.952151535917965e-5,0.21115085127381258,NA
8.14099268938857e-5,6.92650869329315e-5,5.01625321164234e-5,1.5752271892087323e-5,5.4147454458831985e-5,0.2909143569078338,NA
2.67489759794196e-5,2.25636268039095e-5,4.29964560997915e-5,1.0793503223525074e-5,2.5775640526661418e-5,0.41874820578602706,NA
8.54804232385799e-5,7.60866485248111e-5,6.00847912163753e-5,1.2840304815305892e-5,5.8623041948768045e-5,0.21903170474379877,NA
8.83879206276473e-5,8.2383474609623e-5,6.55971573830152e-5,1.181279466855431e-5,6.204533682220995e-5,0.19038972586132794,NA
3.02379728463004e-5,2.46625688321801e-5,4.57526391831114e-5,1.0928411510602967e-5,2.7895398093048716e-5,0.3917639559811921,NA
6.62909404707355e-5,5.08993441855633e-5,3.47279068498316e-5,1.578312238364943e-5,4.192532847244496e-5,0.3764579302943981,NA
3.02379728463004e-5,2.46625688321801e-5,4.57526391831114e-5,1.0928411510602967e-5,2.7895398093048716e-5,0.3917639559811921,NA
2.32599791125388e-5,1.99399492685712e-5,4.02402730164715e-5,1.0889261709732929e-5,2.3582365776828608e-5,0.4617544233171221,NA
2.96564733684869e-5,2.41378333251125e-5,1.21272055666079e-5,8.962754382737564e-6,1.8721066660736216e-5,0.4787523352788008,NA
4.47754597916371e-5,5.50972282421046e-5,6.00847912163753e-5,7.808012092714537e-6,4.194137283570789e-5,0.18616491461307108,NA
4.76829571807045e-5,6.08693188198489e-5,6.22897376830312e-5,8.054561437143703e-6,4.4724143780182077e-5,0.18009425684551164,NA
5.00089550919583e-5,6.29682608481195e-5,6.39434475330232e-5,7.778867466220911e-6,4.617488273483047e-5,0.16846534318003115,NA
7.09429362932432e-5,5.50972282421046e-5,3.63816166998235e-5,1.7300507656722968e-5,4.4930572222973566e-5,0.38504979573522996,NA
4.30309613581967e-5,5.24735507067663e-5,5.89823179830473e-5,8.020518720087784e-6,4.062683719202452e-5,0.19741922518305946,NA
2.55859770237926e-5,2.09894202827065e-5,4.29964560997915e-5,1.1608637165090208e-5,2.52951226428452e-5,0.4589278861778417,NA
2.96564733684869e-5,2.36130978180448e-5,4.52014025664474e-5,1.1137190801717672e-5,2.7402041138674193e-5,0.40643654045169164,NA
5.5823949870093e-5,3.98798985371424e-5,2.81130674498637e-5,1.3907816095347761e-5,3.443118298811171e-5,0.40393082340940206,NA
3.14009718019273e-5,2.51873043392478e-5,4.68551124164394e-5,1.1157464111077422e-5,2.865021316717298e-5,0.3894373855431376,NA
2.55859770237926e-5,2.09894202827065e-5,4.29964560997915e-5,1.1608637165090208e-5,2.52951226428452e-5,0.4589278861778417,NA
8.60619227163934e-5,8.2383474609623e-5,7.49681798663031e-5,5.65079208354074e-6,6.226609231896506e-5,0.09075231595703682,NA
9.12954180167146e-5,8.50071521449613e-5,7.60706530996311e-5,7.650672842322442e-6,6.500597402590737e-5,0.11769184228011655,NA
8.08284274160722e-5,6.76908804117285e-5,4.79575856497674e-5,1.6545343261671493e-5,5.32555591848099e-5,0.31067823744475354,NA
2.32599791125388e-5,1.99399492685712e-5,4.13427462497995e-5,1.1518744029659559e-5,2.4015354665142266e-5,0.4796408044049731,NA
3.08194723241139e-5,2.46625688321801e-5,4.63038757997754e-5,1.1150638089901353e-5,2.8234138761492688e-5,0.39493459262547875,NA
8.37359248051395e-5,7.81855905530817e-5,7.22119967829831e-5,5.76325934837178e-6,5.997419287239402e-5,0.09609565502005439,NA
9.12954180167146e-5,8.50071521449613e-5,7.60706530996311e-5,7.650672842322442e-6,6.500597402590737e-5,0.11769184228011655,NA
8.3154425327326e-5,7.18887644682698e-5,5.56748982830633e-5,1.3813815414525045e-5,5.6132975873296035e-5,0.2460909153597297,NA
3.02379728463004e-5,2.46625688321801e-5,4.57526391831114e-5,1.0928411510602967e-5,2.7895398093048716e-5,0.3917639559811921,NA
3.14009718019273e-5,2.72862463675185e-5,5.01625321164234e-5,1.2194613295089181e-5,3.0261090895239595e-5,0.40297996319119905,NA
3.19824712797408e-5,2.78109818745861e-5,5.01625321164234e-5,1.1884918553192918e-5,3.0460225955985804e-5,0.3901782793852646,NA
6.4546442037295e-5,6.71661449046608e-5,7.11095235496551e-5,3.303712991694969e-6,5.1531455870826465e-5,0.06411060847914646,NA
3.25639707575543e-5,2.99099239028568e-5,5.01625321164234e-5,1.1006978589823788e-5,3.091085134166457e-5,0.3560878498026853,NA
4.88459561363314e-5,6.24435253410518e-5,6.39434475330232e-5,8.31743050599474e-6,4.588758987910028e-5,0.1812566431993621,NA
3.31454702353677e-5,3.56820144806011e-5,4.24452194831275e-5,4.807291938389597e-6,2.9019999034371473e-5,0.1656544485992508,NA
4.82644566585179e-5,6.24435253410518e-5,6.39434475330232e-5,8.651844794886253e-6,4.5825818581869785e-5,0.1887984778587067,NA
3.37269697131812e-5,3.7256221001804e-5,4.57526391831114e-5,6.181443504148901e-6,3.072931835056138e-5,0.2011578465109681,NA
4.88459561363314e-5,6.19187898339842e-5,6.55971573830152e-5,8.803712397990141e-6,4.6291403937830234e-5,0.19018028508734808,NA
7.73394305491914e-5,6.24435253410518e-5,4.02402730164715e-5,1.8669136274416614e-5,4.967309129528283e-5,0.3758400330560767,NA
5.52424503922795e-5,6.61166738905255e-5,6.78021038496712e-5,6.817065666481957e-6,4.8994573449739536e-5,0.13913919821090304,NA
3.37269697131812e-5,3.7256221001804e-5,4.63038757997754e-5,6.487092809475736e-6,3.0943539831059084e-5,0.20964288006133092,NA
3.77974660578755e-5,4.40777825936837e-5,5.73286081330553e-5,9.970726018581154e-6,3.729364570079891e-5,0.2673572355616485,NA
8.48989237607665e-5,7.39877064965404e-5,5.84310813663833e-5,1.3301691174692098e-5,5.765485069959557e-5,0.23071243812596334,NA
8.66434221942069e-5,7.60866485248111e-5,6.06360278330392e-5,1.3080212227668912e-5,5.911157769493153e-5,0.2212800391688829,NA
4.47754597916371e-5,5.50972282421046e-5,6.00847912163753e-5,7.808012092714537e-6,4.194137283570789e-5,0.18616491461307108,NA
8.60619227163934e-5,7.81855905530817e-5,6.17385010663672e-5,1.241082995945998e-5,5.959921107382557e-5,0.20823815845627017,NA
8.54804232385799e-5,7.39877064965404e-5,5.89823179830473e-5,1.3287800198470965e-5,5.793456197915964e-5,0.2293587755656267,NA
7.79209300270048e-5,7.87103260601494e-5,7.16607601663191e-5,3.862409698474897e-6,5.803860648798705e-5,0.06654897372965608,NA
8.37359248051395e-5,7.81855905530817e-5,7.22119967829831e-5,5.76325934837178e-6,5.997419287239402e-5,0.09609565502005439,NA
7.73394305491914e-5,6.24435253410518e-5,4.02402730164715e-5,1.8669136274416614e-5,4.967309129528283e-5,0.3758400330560767,NA
3.43084691909947e-5,3.51572789735334e-5,4.07915096331355e-5,3.5236072082211174e-6,2.844521625147118e-5,0.12387345475142511,NA
6.10574451704142e-5,6.71661449046608e-5,7.11095235496551e-5,5.064759410596979e-6,5.109946825883177e-5,0.09911569695681935,NA
8.66434221942069e-5,8.2383474609623e-5,7.49681798663031e-5,5.908257399168647e-6,6.247583351732542e-5,0.09456868466637111,NA
8.48989237607665e-5,7.39877064965404e-5,5.84310813663833e-5,1.3301691174692098e-5,5.765485069959557e-5,0.23071243812596334,NA
3.37269697131812e-5,3.7256221001804e-5,4.63038757997754e-5,6.487092809475736e-6,3.0943539831059084e-5,0.20964288006133092,NA
8.3154425327326e-5,7.13640289612021e-5,5.45724250497353e-5,1.4363739927667917e-5,5.586365481648283e-5,0.25712137837837684,NA
8.54804232385799e-5,7.39877064965404e-5,5.84310813663833e-5,1.3575455911754607e-5,5.786866675331455e-5,0.23459078415655815,NA
8.4317424282953e-5,7.39877064965404e-5,5.84310813663833e-5,1.303082502236781e-5,5.7441759292061125e-5,0.2268528189763987,NA
8.60619227163934e-5,7.45124420036081e-5,6.00847912163753e-5,1.3015112836894476e-5,5.841856719331782e-5,0.2227906890257179,NA
6.97799373376163e-5,7.24134999753374e-5,7.16607601663191e-5,1.3564514919359188e-6,5.380266224280218e-5,0.02521160543718982,NA
9.01324190610877e-5,8.34329456237583e-5,6.89045770829991e-5,1.0851863986126251e-5,6.333045143849283e-5,0.17135301801323316,NA
7.85024295048183e-5,7.81855905530817e-5,7.22119967829831e-5,3.543862141774921e-6,5.8110969745664505e-5,0.060984391712707885,NA
7.85024295048183e-5,6.40177318622548e-5,4.35476927164555e-5,1.7562567164145658e-5,5.090760531191856e-5,0.3449890651217468,NA
8.37359248051395e-5,7.34629709894728e-5,5.84310813663833e-5,1.2726785318109792e-5,5.708919061977635e-5,0.2229281091559404,NA
8.19914263716991e-5,6.92650869329315e-5,5.07137687330874e-5,1.5728970033141627e-5,5.4424813017714905e-5,0.28900365772541936,NA
3.83789655356889e-5,4.93251376643603e-5,5.78798447497193e-5,9.774848572629287e-6,3.883969913059945e-5,0.25167158323655175,NA
7.15244357710567e-5,5.50972282421046e-5,3.63816166998235e-5,1.758382303365918e-5,4.5146775936661e-5,0.3894812568305771,NA
8.08284274160722e-5,6.87403514258638e-5,4.79575856497674e-5,1.662596950994931e-5,5.3538083500413176e-5,0.31054472672375355,NA
8.89694201054607e-5,8.50071521449613e-5,7.27632333996471e-5,8.448408145683875e-6,6.379705344893824e-5,0.13242630637237496,NA
8.60619227163934e-5,7.45124420036081e-5,5.89823179830473e-5,1.3588477038427694e-5,5.828628993536913e-5,0.23313333295866498,NA
4.41939603138236e-5,5.40477572279692e-5,5.89823179830473e-5,7.529306364950113e-6,4.118833547244755e-5,0.18280190929266257,NA
9.01324190610877e-5,8.50071521449613e-5,7.60706530996311e-5,7.1164438462796185e-6,6.458166703798993e-5,0.11019294132022632,NA
6.51279415151085e-5,4.88004021572926e-5,3.41766702331676e-5,1.548344960938399e-5,4.0897115878738176e-5,0.3785951472786767,NA
9.01324190610877e-5,8.34329456237583e-5,6.72508672330072e-5,1.1763701369346792e-5,6.314498332179999e-5,0.1862966897844682,NA
8.60619227163934e-5,7.45124420036081e-5,5.95335545997113e-5,1.3301076945920667e-5,5.835224906640837e-5,0.2279445464181379,NA
8.60619227163934e-5,7.45124420036081e-5,6.00847912163753e-5,1.3015112836894476e-5,5.841856719331782e-5,0.2227906890257179,NA
4.07049634469428e-5,5.14240796926309e-5,5.78798447497193e-5,8.675183987725755e-6,3.9671017969254685e-5,0.2186781290676504,NA
8.14099268938857e-5,6.92650869329315e-5,5.01625321164234e-5,1.5752271892087323e-5,5.4147454458831985e-5,0.2909143569078338,NA
8.14099268938857e-5,6.92650869329315e-5,5.07137687330874e-5,1.5459100181132804e-5,5.421197068525935e-5,0.2851602696918054,NA
5.87314472591604e-5,4.14541050583453e-5,2.92155406831916e-5,1.4829462523920448e-5,3.605763888115444e-5,0.4112710367087037,NA
0,0,0,0,0,NA,NA
7.79209300270048e-5,6.29682608481195e-5,4.07915096331355e-5,1.8681472411675506e-5,5.0090543229983826e-5,0.3729540788947347,NA
4.88459561363314e-5,6.24435253410518e-5,6.39434475330232e-5,8.31743050599474e-6,4.588758987910028e-5,0.1812566431993621,NA
9.12954180167146e-5,8.50071521449613e-5,7.60706530996311e-5,7.650672842322442e-6,6.500597402590737e-5,0.11769184228011655,NA
8.60619227163934e-5,7.60866485248111e-5,6.06360278330392e-5,1.2810828138581542e-5,5.889885680320631e-5,0.2175055482211694,NA
8.60619227163934e-5,7.45124420036081e-5,6.00847912163753e-5,1.3015112836894476e-5,5.841856719331782e-5,0.2227906890257179,NA
8.66434221942069e-5,7.81855905530817e-5,6.17385010663672e-5,1.2664232869499895e-5,5.9807936670788924e-5,0.21174836609411563,NA
5.52424503922795e-5,3.83056920159394e-5,2.42544111332157e-5,1.5516393781336577e-5,3.332973683069279e-5,0.46554204313571995,NA
7.21059352488701e-5,5.56219637491722e-5,3.63816166998235e-5,1.7879873260065303e-5,4.5497347239482775e-5,0.39298715957991237,NA
8.60619227163934e-5,7.60866485248111e-5,6.00847912163753e-5,1.3104559597623653e-5,5.883448051380087e-5,0.22273604667164015,NA
8.66434221942069e-5,7.66113840318787e-5,6.11872644497032e-5,1.2822904128217303e-5,5.931624370100153e-5,0.21617862710346902,NA
6.5709440992922e-5,6.92650869329315e-5,7.16607601663191e-5,2.994441188700588e-6,5.2407432320218295e-5,0.05713771990209413,NA
8.83879206276473e-5,8.2383474609623e-5,6.39434475330232e-5,1.2738525787565998e-5,6.186334213946487e-5,0.20591396046544388,NA
8.3154425327326e-5,7.71361195389464e-5,7.16607601663191e-5,5.748969525854247e-6,5.942506863961143e-5,0.09674317013783156,NA
8.89694201054607e-5,8.2383474609623e-5,6.55971573830152e-5,1.2051402331080739e-5,6.225036360729492e-5,0.19359569378753755,NA
8.89694201054607e-5,8.2383474609623e-5,6.50459207663512e-5,1.2357853589053307e-5,6.218916726762205e-5,0.1987139261066655,NA
7.38504336823106e-5,5.56219637491722e-5,3.69328533164875e-5,1.845926914829612e-5,4.6216129974066604e-5,0.3994118321602052,NA
8.83879206276473e-5,8.2383474609623e-5,6.50459207663512e-5,1.2120871137398114e-5,6.19845467852549e-5,0.19554666067642312,NA
8.66434221942069e-5,7.71361195389464e-5,6.17385010663672e-5,1.2568018637198093e-5,5.952151535917965e-5,0.21115085127381258,NA
8.83879206276473e-5,8.18587391025554e-5,6.39434475330232e-5,1.265648811402512e-5,6.171164884431276e-5,0.20509074625367946,NA
8.60619227163934e-5,8.2383474609623e-5,7.49681798663031e-5,5.65079208354074e-6,6.226609231896506e-5,0.09075231595703682,NA
8.48989237607665e-5,8.13340035954877e-5,7.44169432496391e-5,5.329576203423329e-6,6.149486170232915e-5,0.08666701665614883,NA
5.05904545697718e-5,6.24435253410518e-5,6.55971573830152e-5,7.912456541113702e-6,4.663589845873813e-5,0.16966450315338896,NA
4.82644566585179e-5,5.87703767915782e-5,6.11872644497032e-5,6.870403493756853e-6,4.377312534838904e-5,0.15695483105388316,NA
8.3154425327326e-5,7.60866485248111e-5,7.16607601663191e-5,5.797216221678392e-6,5.9174762560033645e-5,0.09796771412132044,NA
5.05904545697718e-5,6.24435253410518e-5,6.55971573830152e-5,7.912456541113702e-6,4.663589845873813e-5,0.16966450315338896,NA
7.85024295048183e-5,6.40177318622548e-5,4.35476927164555e-5,1.7562567164145658e-5,5.090760531191856e-5,0.3449890651217468,NA
2.90749738906734e-6,2.09894202827065e-6,1.65370984999198e-6,6.356068828540276e-7,1.8239390375459992e-6,0.34848033282362256,NA
9.01324190610877e-5,8.60566231590967e-5,7.49681798663031e-5,7.847715561962678e-6,6.475123441211254e-5,0.12119792978795571,NA
6.51279415151085e-5,4.8275666650225e-5,3.30741969998396e-5,1.6033955558456265e-5,4.062794018090734e-5,0.39465342045549356,NA
6.04759456926008e-5,4.40777825936837e-5,2.92155406831916e-5,1.5636489956599222e-5,3.735143973151883e-5,0.41863151913270014,NA
6.74539394263624e-5,7.13640289612021e-5,7.16607601663191e-5,2.3478426379935436e-6,5.320664279796929e-5,0.044126870528338476,NA
5.40794514366526e-5,6.50672028763902e-5,6.72508672330072e-5,7.059098925078596e-6,4.836415511778215e-5,0.1459572468057684,NA
8.72249216720203e-5,8.02845325813524e-5,6.22897376830312e-5,1.2869505589617959e-5,6.0667174381505465e-5,0.21213293219638163,NA
8.95509195832742e-5,8.29082101166907e-5,6.55971573830152e-5,1.2366492761706859e-5,6.260569496117174e-5,0.19752983765097726,NA
5.05904545697718e-5,6.34929963551872e-5,6.61483939996792e-5,8.322421527410473e-6,4.713856661301217e-5,0.17655228245979684,NA
8.83879206276473e-5,8.2383474609623e-5,6.50459207663512e-5,1.2120871137398114e-5,6.19845467852549e-5,0.19554666067642312,NA
8.14099268938857e-5,6.87403514258638e-5,4.96112954997594e-5,1.6008288903478763e-5,5.3942465680746913e-5,0.2967659839322551,NA
0,0,0,0,0,NA,NA
5.05904545697718e-5,6.34929963551872e-5,6.61483939996792e-5,8.322421527410473e-6,4.713856661301217e-5,0.17655228245979684,NA
5.52424503922795e-5,3.83056920159394e-5,2.26007012832237e-5,1.63247475892266e-5,3.31183978201673e-5,0.4929208133156042,NA
8.3154425327326e-5,7.18887644682698e-5,5.51236616663993e-5,1.4105007963859774e-5,5.606796485646372e-5,0.2515698224461896,NA
1.97709822456579e-5,1.62668007190975e-5,9.92225909995188e-6,4.992157918991939e-6,1.2738049995924805e-5,0.39190911643375914,NA
5.05904545697718e-5,6.40177318622548e-5,6.61483939996792e-5,8.434857990681199e-6,4.729785960559675e-5,0.1783348773288486,NA
6.51279415151085e-5,4.8275666650225e-5,3.30741969998396e-5,1.6033955558456265e-5,4.062794018090734e-5,0.39465342045549356,NA
4.82644566585179e-5,6.19187898339842e-5,6.33922109163592e-5,8.341270217401566e-6,4.5479181906565714e-5,0.18340853699915297,NA
8.25729258495126e-5,7.87103260601494e-5,7.27632333996471e-5,4.94162008195587e-6,5.9747026347816245e-5,0.08270905489401793,NA
5.75684483035334e-5,4.14541050583453e-5,2.86643040665276e-5,1.4483902683713368e-5,3.554269002802991e-5,0.40750721659758943,NA
7.15244357710567e-5,5.50972282421046e-5,3.63816166998235e-5,1.758382303365918e-5,4.5146775936661e-5,0.3894812568305771,NA
7.85024295048183e-5,6.29682608481195e-5,4.07915096331355e-5,1.8952713824474398e-5,5.0303728452636925e-5,0.37676558790903886,NA
8.95509195832742e-5,8.2383474609623e-5,6.55971573830152e-5,1.229454782297953e-5,6.245652484972298e-5,0.1968496942883312,NA
8.3154425327326e-5,7.18887644682698e-5,5.56748982830633e-5,1.3813815414525045e-5,5.6132975873296035e-5,0.2460909153597297,NA
8.3154425327326e-5,7.13640289612021e-5,5.51236616663993e-5,1.4074129267057913e-5,5.592906130549633e-5,0.2516425081798182,NA
5.5823949870093e-5,3.98798985371424e-5,2.81130674498637e-5,1.3907816095347761e-5,3.443118298811171e-5,0.40393082340940206,NA
7.85024295048183e-5,6.40177318622548e-5,4.40989293331195e-5,1.727312934423122e-5,5.0973055011105956e-5,0.3388678457759255,NA
5.52424503922795e-5,3.83056920159394e-5,2.42544111332157e-5,1.5516393781336577e-5,3.332973683069279e-5,0.46554204313571995,NA
6.68724399485489e-5,7.08392934541345e-5,7.05582869329911e-5,2.213607891822143e-6,5.2620907056874165e-5,0.04206707971471516,NA
8.83879206276473e-5,8.2383474609623e-5,6.55971573830152e-5,1.181279466855431e-5,6.204533682220995e-5,0.19038972586132794,NA
8.60619227163934e-5,7.60866485248111e-5,6.00847912163753e-5,1.3104559597623653e-5,5.883448051380087e-5,0.22273604667164015,NA
5.64054493479065e-5,6.61166738905255e-5,6.89045770829991e-5,6.561357589019864e-6,4.949701447761274e-5,0.13256067377533517,NA
8.72249216720203e-5,8.2383474609623e-5,7.49681798663031e-5,6.173247733572104e-6,6.268745597037962e-5,0.09847660330144867,NA
8.37359248051395e-5,7.87103260601494e-5,7.27632333996471e-5,5.492790889557168e-6,6.0175568788623296e-5,0.09127941787889883,NA
5.64054493479065e-5,6.66414093975931e-5,6.89045770829991e-5,6.659892394641315e-6,4.9652832055785e-5,0.13412915475111106,NA
6.62909404707355e-5,7.08392934541345e-5,7.16607601663191e-5,2.892440894927658e-6,5.292085874652919e-5,0.05465597050836517,NA
8.60619227163934e-5,7.45124420036081e-5,6.00847912163753e-5,1.3015112836894476e-5,5.841856719331782e-5,0.2227906890257179,NA
6.62909404707355e-5,5.08993441855633e-5,3.41766702331676e-5,1.606173202166877e-5,4.185717172778379e-5,0.38372712151039523,NA
8.37359248051395e-5,7.24134999753374e-5,5.67773715163913e-5,1.3536674952596123e-5,5.661586781236608e-5,0.2390968376120066,NA
8.3154425327326e-5,7.18887644682698e-5,5.51236616663993e-5,1.4105007963859774e-5,5.606796485646372e-5,0.2515698224461896,NA
8.3154425327326e-5,7.13640289612021e-5,5.51236616663993e-5,1.4074129267057913e-5,5.592906130549633e-5,0.2516425081798182,NA
5.52424503922795e-5,3.83056920159394e-5,2.26007012832237e-5,1.63247475892266e-5,3.31183978201673e-5,0.4929208133156042,NA
5.05904545697718e-5,6.34929963551872e-5,6.61483939996792e-5,8.322421527410473e-6,4.713856661301217e-5,0.17655228245979684,NA
5.34979519588391e-5,6.50672028763902e-5,6.78021038496712e-5,7.593154937649498e-6,4.84901034056375e-5,0.1565918487351939,NA
8.3154425327326e-5,7.71361195389464e-5,7.16607601663191e-5,5.748969525854247e-6,5.942506863961143e-5,0.09674317013783156,NA
8.78064211498338e-5,8.44824166378937e-5,7.49681798663031e-5,6.663209269256529e-6,6.348005673082178e-5,0.10496539562828255,NA
8.08284274160722e-5,6.76908804117285e-5,4.79575856497674e-5,1.6545343261671493e-5,5.32555591848099e-5,0.31067823744475354,NA
8.78064211498338e-5,8.18587391025554e-5,6.39434475330232e-5,1.2421581378079235e-5,6.15075472908729e-5,0.20195214937342287,NA
8.4317424282953e-5,7.34629709894728e-5,5.84310813663833e-5,1.2999228256165356e-5,5.7302676223743615e-5,0.2268520270398657,NA
8.08284274160722e-5,6.82156159187961e-5,4.79575856497674e-5,1.658293823317685e-5,5.339614180445314e-5,0.3105643530183648,NA
6.74539394263624e-5,7.13640289612021e-5,7.11095235496551e-5,2.1877259295685435e-6,5.302880446669704e-5,0.04125542620789181,NA
8.25729258495126e-5,7.08392934541345e-5,5.23674785830794e-5,1.5227470343569193e-5,5.5251792057573924e-5,0.2756013837108078,NA
5.98944462147873e-5,4.1978840565413e-5,2.92155406831916e-5,1.5411391859508657e-5,3.662505483072514e-5,0.4207882262767257,NA
5.5823949870093e-5,3.83056920159394e-5,2.53568843665437e-5,1.5290536605927354e-5,3.369426571462586e-5,0.45380233940786263,NA
6.68724399485489e-5,7.08392934541345e-5,7.05582869329911e-5,2.213607891822143e-6,5.2620907056874165e-5,0.04206707971471516,NA
7.61764315935644e-5,6.08693188198489e-5,3.74840899331515e-5,1.948620851917494e-5,4.850401221643494e-5,0.40174426050000656,NA
7.26874347266836e-5,5.50972282421046e-5,3.63816166998235e-5,1.8155815882572218e-5,4.558052388779598e-5,0.39832398432422084,NA
7.09429362932432e-5,5.50972282421046e-5,3.63816166998235e-5,1.7300507656722968e-5,4.4930572222973566e-5,0.38504979573522996,NA
7.85024295048183e-5,6.29682608481195e-5,4.02402730164715e-5,1.924345969357313e-5,5.0238605765745605e-5,0.3830412767285428,NA
7.09429362932432e-5,5.50972282421046e-5,3.63816166998235e-5,1.7300507656722968e-5,4.4930572222973566e-5,0.38504979573522996,NA
