year_2015,year_2016,year_2017,sd,mean,cv,mean_cv
3.14009718019273e-5,3.09593949169921e-5,5.12650053497514e-5,1.1598079108063355e-5,3.130586279418354e-5,0.37047626459981214,NA
6.28019436038547e-5,4.5127253607819e-5,3.03180139165196e-5,1.6263014965569643e-5,3.8627556523440736e-5,0.421021064475062,NA
3.19824712797408e-5,2.67615108604508e-5,4.90600588830954e-5,1.1662816054797336e-5,2.9866714269521084e-5,0.3904954508738584,NA
2.67489759794196e-5,2.09894202827065e-5,4.35476927164555e-5,1.1720672769583598e-5,2.5751690437041298e-5,0.45514187886961205,NA
6.33834430816681e-5,6.71661449046608e-5,7.05582869329911e-5,3.5891931524346944e-6,5.117426701793867e-5,0.07013667926453222,NA
3.14009718019273e-5,2.62367753533831e-5,4.96112954997594e-5,1.2279067596336005e-5,2.988202756285145e-5,0.41091815374673635,NA
2.55859770237926e-5,2.09894202827065e-5,4.35476927164555e-5,1.1920760739799823e-5,2.5510962690688605e-5,0.4672799252750603,NA
3.02379728463004e-5,2.46625688321801e-5,4.57526391831114e-5,1.0928411510602967e-5,2.7895398093048716e-5,0.3917639559811921,NA
4.88459561363314e-5,6.19187898339842e-5,6.28409742996952e-5,7.827408452229128e-6,4.535828218055998e-5,0.17256845003675783,NA
8.37359248051395e-5,7.76608550460141e-5,7.22119967829831e-5,5.7647990136789485e-6,5.9843393911953914e-5,0.09633141833767905,NA
3.31454702353677e-5,3.62067499876687e-5,4.24452194831275e-5,4.739466767454381e-6,2.913422661840457e-5,0.16267693766274138,NA
9.07139185389011e-5,8.65813586661643e-5,7.7173126332959e-5,6.939571796369794e-6,6.535199383359855e-5,0.10618760636499576,NA
2.55859770237926e-5,2.09894202827065e-5,4.29964560997915e-5,1.1608637165090208e-5,2.52951226428452e-5,0.4589278861778417,NA
2.32599791125388e-5,1.99399492685712e-5,4.18939828664635e-5,1.18337672592987e-5,2.4231919626718047e-5,0.48835451097530136,NA
8.37359248051395e-5,7.71361195389464e-5,7.27632333996471e-5,5.523880269929721e-6,5.978978950341568e-5,0.0923883545302355,NA
8.37359248051395e-5,7.71361195389464e-5,7.27632333996471e-5,5.523880269929721e-6,5.978978950341568e-5,0.0923883545302355,NA
2.32599791125388e-5,1.99399492685712e-5,4.07915096331355e-5,1.1203903562274758e-5,2.3798835394130064e-5,0.4707752869721591,NA
