year_2015,year_2016,year_2017,sd,mean,cv,mean_cv,change_2016_2017,change_2015_2016
3.01566055724768e-5,2.84646570618781e-5,5.39922985385365e-5,1.4275056498986822e-5,3.172215441796956e-5,0.4500027429064046,0.07502689227974907,2.5527641476658404e-5,-1.6919485105987022e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
2.78368666822862e-5,3.04978468520122e-5,2.15969194154146e-5,4.568812146656016e-6,2.1125111274092254e-5,0.2162739919982901,0.03606326959244342,-8.900927436597602e-6,2.6609801697260012e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.71158222430483e-5,3.86306060125488e-5,2.3756611356956e-5,8.185340579169896e-6,2.692209504793075e-5,0.30403802395753843,0.05069543907212968,-1.4873994655592799e-5,1.5147837695004993e-6
0,0,0,0,0,NA,0,0,0
5.56737333645725e-5,6.50620732842928e-5,4.75132227139121e-5,8.781581262974098e-6,4.425765265643787e-5,0.1984194989088898,0.033106797862028664,-1.7548850570380698e-5,9.3883399197203e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.24763444626673e-5,5.08297447533537e-5,5.61519904800779e-5,1.2421150081933718e-5,3.7969807444508155e-5,0.3271322905728951,0.054553689935019606,5.3222457267242e-6,1.83534002906864e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
4.17553000234294e-5,4.67633651730854e-5,3.45550710646633e-5,6.13686210044931e-6,3.230264959040685e-5,0.18998014646674116,0.03169027661911553,-1.2208294108422101e-5,5.008065149655998e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
5.10342555841914e-5,5.4896124333622e-5,4.10341468892877e-5,7.153910618383838e-6,3.852960935637123e-5,0.18567306385630072,0.030977618650513763,-1.3861977444334301e-5,3.861868749430605e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,2.15969194154146e-6,1.2468987238156275e-6,8.516476663392719e-7,1.4641016151377546,0.24401764556268105,2.15969194154146e-6,0
1.7861989454467e-4,1.2605776698831e-4,9.71861373693656e-5,4.128721565204539e-5,1.1078775363859774e-4,0.37266949004787103,0.06220390480267734,-2.88716296189444e-5,-5.256212755636001e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
9.51092944978113e-5,5.28629345434879e-5,4.75132227139121e-5,2.607284793071088e-5,5.538957492148055e-5,0.4707176028642821,0.07849909178981491,-5.349711829575799e-6,-4.2246359954323396e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.71158222430483e-5,7.11616426546952e-5,7.12698340708681e-5,1.968767007045908e-5,4.980874225976767e-5,0.3952653525716815,0.06591906604716338,1.0819141617290343e-7,3.40458204116469e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
2.31973889019052e-5,3.04978468520122e-5,2.59163032984975e-5,3.689618840070734e-6,2.082528947312141e-5,0.1771701106403739,0.02954570618128992,-4.5815435535147004e-6,7.300457950106999e-6
9.27895556076208e-6,1.01659489506707e-5,1.94372274738731e-5,5.6263346711282034e-6,1.1127116664108521e-5,0.5056417435863176,0.08428289652827303,9.271278523202399e-6,8.869933899086196e-7
3.94355611332388e-5,7.52280222349636e-5,9.28667534862827e-5,2.7224735775095902e-5,5.8688768157395254e-5,0.463883237454957,0.07736278021595733,1.7638731251319096e-5,3.57924611017248e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
2.1109623900733e-4,1.5858880363046e-4,1.1446367290169e-4,4.8376838059564744e-5,1.331313883997612e-4,0.36337665099909316,0.060673717990181994,-4.4125130728770015e-5,-5.2507435376870004e-5
3.24763444626673e-5,4.0663795802683e-5,3.02356871815804e-5,5.489389066036508e-6,2.72163041282418e-5,0.2016948752545825,0.03363849279587062,-1.04281086211026e-5,8.187451340015703e-6
4.63947778038104e-5,6.91284528645611e-5,7.55892179539511e-5,1.5334475336031908e-5,5.161173098958863e-5,0.2971122076708734,0.049561711054303556,6.460765089389998e-6,2.2733675060750694e-5
3.47960833528578e-5,4.26969855928172e-5,4.53535307723706e-5,5.491526571488436e-6,3.208453157238351e-5,0.17115807220371643,0.028553082476929725,2.656545179553401e-6,7.900902239959395e-6
0,0,0,0,0,NA,0,0,0
1.2294616118009e-4,8.74271609757684e-5,8.20682937785754e-5,2.221604854021659e-5,7.86644161186626e-5,0.2824154762263084,0.04713479971781696,-5.358867197193001e-6,-3.5519000204321596e-5
7.19119055959061e-5,8.1327591605366e-5,4.53535307723706e-5,1.865536325525092e-5,5.4312097807223405e-5,0.34348449072003606,0.05729267520151203,-3.5974060832995405e-5,9.415686009459908e-6
8.35106000468587e-5,7.31948324448294e-5,6.69504501877852e-5,8.3630729434634e-6,5.8004738905734175e-5,0.14417913262319074,0.0240781927196199,-6.244382257044191e-6,-1.0315767602029301e-5
6.49526889253346e-5,8.53939711856343e-5,4.10341468892877e-5,2.2202615030584904e-5,5.3395855507710375e-5,0.41581157974664984,0.0693464265040314,-4.43598242963466e-5,2.0441282260299704e-5
6.2632950035144e-5,1.0979224866724e-4,1.0798459707707e-4,2.672089987618335e-5,7.678267391390933e-5,0.3480068941873983,0.05806513459282797,-1.8076515901700084e-6,4.715929863209601e-5
5.56737333645725e-5,6.70952630744269e-5,9.93458293109071e-5,2.264877600751874e-5,6.119090043935631e-5,0.37013307280818614,0.06173983788506382,3.22505662364802e-5,1.1421529709854401e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
2.0877650011714e-4,1.5045604446992e-4,1.1230398096015e-4,4.858635345006642e-5,1.3003071974931912e-4,0.37365288405489144,0.06238383960893967,-3.8152063509770004e-5,-5.832045564722001e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
