year_2015,year_2016,year_2017,sd,mean,cv,mean_cv,change_2016_2017,change_2015_2016
4.76868310431733e-6,4.19893724898228e-6,3.35629411429076e-6,7.105749375520377e-7,3.258622351285602e-6,0.21805992255337578,0.0363460359441887,-8.426431346915196e-7,-5.697458553350505e-7
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.2188610954142e-5,4.72380440510507e-5,5.14631764191251e-5,1.0131189909795069e-5,3.525525533352822e-5,0.28736680004016796,0.04792384605280593,4.225132368074402e-6,1.5049433096908703e-5
5.96085388039666e-6,2.09946862449114e-6,3.35629411429076e-6,1.9695023898416666e-6,3.3465297522550564e-6,0.5885208068192189,0.09808958991133003,1.2568254897996203e-6,-3.86138525590552e-6
0,0,0,0,0,NA,0,0,0
8.34519543255532e-6,6.29840587347342e-6,7.83135293334512e-6,1.0648402307021268e-6,5.884948617518997e-6,0.18094299541243009,0.030162070025919613,1.5329470598716993e-6,-2.0467895590819e-6
0,0,0,0,0,NA,0,0,0
4.05338063866973e-5,5.56359185490152e-5,5.37007058286522e-5,8.217725566834551e-6,3.9522039082799814e-5,0.2079276716876419,0.03468754698050932,-1.9352127203629995e-6,1.5102112162317905e-5
2.02669031933486e-5,2.51936234938937e-5,2.23752940952718e-5,2.4718706045642223e-6,1.757692284676958e-5,0.14063158984728213,0.023453245743585996,-2.8183293986219e-6,4.926720300545097e-6
1.90747324172693e-5,1.88952176204203e-5,1.45439411619266e-5,2.565602651101007e-6,1.37698734626793e-5,0.18631998747516448,0.03106480614041298,-4.351276458493699e-6,-1.795147968490019e-7
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
4.29181479388559e-5,5.56359185490152e-5,5.25819411238886e-5,6.638992972443174e-6,3.944375014605072e-5,0.168315460570067,0.028085446553466207,-3.0539774251266006e-6,1.2717770610159303e-5
4.41103187149353e-5,5.56359185490152e-5,5.25819411238886e-5,5.971245206381515e-6,3.957485589855515e-5,0.15088482499312197,0.025180449878769124,-3.0539774251266006e-6,1.1525599834079903e-5
0,0,0,0,0,NA,0,0,0
8.34519543255532e-6,6.29840587347342e-6,1.23064117523995e-5,3.0544152979191966e-6,7.50110708908686e-6,0.40719526619783575,0.06787212862221353,6.00800587892608e-6,-2.0467895590819e-6
1.19217077607933e-5,8.39787449796456e-6,1.34251764571631e-5,2.5804258038207453e-6,9.081296129935426e-6,0.28414730308316616,0.04736545159396931,5.0273019591985404e-6,-3.52383326282874e-6
1.4306049312952e-5,2.51936234938937e-5,4.02755293714892e-5,1.3041070067015969e-5,2.3204068061337718e-5,0.5620165409161513,0.09368876020940967,1.5081905877595501e-5,1.0887574180941699e-5
4.41103187149353e-5,5.56359185490152e-5,5.25819411238886e-5,5.971245206381515e-6,3.957485589855515e-5,0.15088482499312197,0.025180449878769124,-3.0539774251266006e-6,1.1525599834079903e-5
2.38434155215866e-5,2.51936234938937e-5,2.23752940952718e-5,1.409575745276023e-6,1.820547721400703e-5,0.07742591576734478,0.012919490525569136,-2.8183293986219e-6,1.3502079723070993e-6
4.53024894910146e-5,6.50835273592254e-5,6.37695881715245e-5,1.1060813931836539e-5,4.630410473840026e-5,0.2388732919970212,0.039850802086785535,-1.3139391877008962e-6,1.978103786821079e-5
1.54982200890313e-5,1.15470774347013e-5,1.56627058666902e-5,2.3301280807469706e-6,1.1259532867792443e-5,0.2069471360940943,0.034500572293072206,4.115628431988899e-6,-3.951142654329999e-6
1.0967971139929e-4,7.45311361694355e-5,5.59382352381794e-5,2.729244268322724e-5,6.686038137253303e-5,0.4082005235830029,0.06808913758164427,-1.8592900931256106e-5,-3.5148575229854495e-5
1.0967971139929e-4,7.55808704816811e-5,5.7056999942943e-5,2.66927408754961e-5,6.725258067485255e-5,0.3969028490452738,0.066206518658108,-1.85238705387381e-5,-3.40988409176089e-5
9.65658328624259e-5,7.13819332326988e-5,5.25819411238886e-5,2.206902518734823e-5,6.0649683101590384e-5,0.3638770074096154,0.06069670930418723,-1.87999921088102e-5,-2.5183899629727097e-5
9.41814913102672e-5,6.71829959837165e-5,5.14631764191251e-5,2.1605886173987643e-5,5.860838747177411e-5,0.3686483642702688,0.06149023436793795,-1.57198195645914e-5,-2.6998495326550692e-5
1.0610319907106e-4,7.55808704816811e-5,5.7056999942943e-5,2.4766496089034106e-5,6.587689139617954e-5,0.375951195694556,0.06271343002525614,-1.85238705387381e-5,-3.0522328589378895e-5
0,0,0,0,0,NA,0,0,0
4.41103187149353e-5,6.29840587347342e-5,5.7056999942943e-5,9.651982897104228e-6,4.345084007242918e-5,0.22213570280839498,0.03705882616812619,-5.927058791791205e-6,1.8873740019798905e-5
3.81494648345386e-5,5.66856528612608e-5,5.92945293524702e-5,1.1529023206498419e-5,4.1414667563692e-5,0.27838019437842465,0.04643121128604052,2.6088764912094044e-6,1.8536188026722196e-5
0,0,0,0,0,NA,0,0,0
1.0252668674282e-4,7.55808704816811e-5,5.37007058286522e-5,2.4456747642363076e-5,6.40662526738791e-5,0.38174150385940253,0.06367697252046199,-2.1880164653028896e-5,-2.69458162611389e-5
4.53024894910146e-5,5.98348557979975e-5,5.25819411238886e-5,7.266187191661432e-6,4.124636840114054e-5,0.17616550191750963,0.029395288959919223,-7.252914674108899e-6,1.4532366306982897e-5
1.19217077607933e-5,7.34814018571899e-6,1.11876470476359e-5,2.4562226567461703e-6,8.22842941272359e-6,0.2985044330511145,0.049757595866363025,3.839506861916909e-6,-4.57356757507431e-6
8.34519543255532e-6,5.24867156122785e-6,7.83135293334512e-6,1.659454592608517e-6,5.7711686299342015e-6,0.2875422118149815,0.047928511276355196,2.5826813721172696e-6,-3.0965238713274704e-6
2.02669031933486e-5,2.41438891816481e-5,2.23752940952718e-5,1.9409731720770705e-6,1.7181764910586392e-5,0.11296704280252125,0.01884215860451236,-1.7685950863763016e-6,3.876985988299499e-6
6.43772219082839e-5,4.61883097388051e-5,4.25130587810164e-5,1.1707445101070689e-5,4.119650888229402e-5,0.2841853695545175,0.04739855868315483,-3.675250957788697e-6,-1.81889121694788e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
4.41103187149353e-5,2.72930921183848e-5,2.90878823238533e-5,9.235023708735818e-6,2.7431579216477304e-5,0.336656655304359,0.056132302200073564,1.7947902054685e-6,-1.68172265965505e-5
3.09964401780626e-5,3.46412323041038e-5,2.90878823238533e-5,2.821548000893131e-6,2.4386775701728206e-5,0.11569992012897293,0.019303642334580262,-5.5533499802504984e-6,3.6447921260412004e-6
1.19217077607933e-5,7.34814018571899e-6,1.11876470476359e-5,2.4562226567461703e-6,8.22842941272359e-6,0.2985044330511145,0.049757595866363025,3.839506861916909e-6,-4.57356757507431e-6
0,0,0,0,0,NA,0,0,0
1.19217077607933e-5,8.39787449796456e-6,1.34251764571631e-5,2.5804258038207453e-6,9.081296129935426e-6,0.28414730308316616,0.04736545159396931,5.0273019591985404e-6,-3.52383326282874e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.2188610954142e-5,4.09396381775773e-5,5.03444117143615e-5,9.079861819692791e-6,3.31381306664434e-5,0.2740004229896804,0.04569435227383544,9.4047735367842e-6,8.751027223435303e-6
3.09964401780626e-5,3.98899038653317e-5,5.37007058286522e-5,1.1440539220679057e-5,3.4006897273181386e-5,0.3364182015423479,0.05609803933811897,1.3810801963320504e-5,8.8934636872691e-6
3.33807817302213e-5,4.72380440510507e-5,6.93634116953425e-5,1.814894520181173e-5,4.2032795669606556e-5,0.43178058734111346,0.07199845855324358,2.2125367644291796e-5,1.3857262320829399e-5
0,0,0,0,0,NA,0,0,0
3.576512328238e-5,3.56909666163494e-5,4.81068823048343e-5,7.147021260205941e-6,3.167749836594241e-5,0.22561823467379466,0.03762943702760406,1.2415915688484899e-5,-7.415666603059843e-8
0,0,0,0,0,NA,0,0,0
1.31138785368726e-5,8.39787449796456e-6,1.56627058666902e-5,3.6858963104479327e-6,1.0215088802993823e-5,0.3608286116286797,0.060146614512115774,7.264831368725639e-6,-4.716004038908041e-6
0,0,0,0,0,NA,0,0,0
1.19217077607933e-5,8.39787449796456e-6,1.00688823428723e-5,1.7626982210641154e-6,8.037790705673569e-6,0.21930133361396112,0.03655692042791491,1.6710078449077405e-6,-3.52383326282874e-6
0,0,0,0,0,NA,0,0,0
4.41103187149353e-5,5.98348557979975e-5,4.92256470095979e-5,8.02062924749496e-6,4.029786269250642e-5,0.1990336139833648,0.03320585054947122,-1.06092087883996e-5,1.5724537083062202e-5
4.41103187149353e-5,5.35364499245241e-5,4.02755293714892e-5,6.824094235414388e-6,3.6186598061590745e-5,0.18858070669698107,0.03146027328121484,-1.3260920553034901e-5,9.426131209588802e-6
9.29893205341879e-5,6.50835273592254e-5,4.58693528953071e-5,2.369320979852965e-5,5.690885264681251e-5,0.41633610056372694,0.06943677413782684,-1.9214174463918297e-5,-2.7905793174962503e-5
0,0,0,0,0,NA,0,0,0
1.19217077607933e-5,8.39787449796456e-6,1.00688823428723e-5,1.7626982210641154e-6,8.037790705673569e-6,0.21930133361396112,0.03655692042791491,1.6710078449077405e-6,-3.52383326282874e-6
4.53024894910146e-5,5.98348557979975e-5,5.37007058286522e-5,7.295518075966387e-6,4.153339229840767e-5,0.17565427893656754,0.029310324316343263,-6.134149969345298e-6,1.4532366306982897e-5
4.41103187149353e-5,5.1436981300033e-5,3.8037999961962e-5,6.709268968766974e-6,3.5073642236424315e-5,0.1912909108082118,0.03191104650323232,-1.3398981338071001e-5,7.3266625850977e-6
8.82206374298706e-5,5.24867156122785e-5,4.25130587810164e-5,2.4033205310551612e-5,5.181340428342928e-5,0.4638414642490071,0.07735008854507071,-9.973656831262097e-6,-3.57339218175921e-5
1.19217077607933e-5,7.34814018571899e-6,1.11876470476359e-5,2.4562226567461703e-6,8.22842941272359e-6,0.2985044330511145,0.049757595866363025,3.839506861916909e-6,-4.57356757507431e-6
1.19217077607933e-5,8.39787449796456e-6,8.95011763810871e-6,1.8952889492674167e-6,7.791247211533496e-6,0.24325873609321405,0.04054961538821195,5.522431401441512e-7,-3.52383326282874e-6
1.31138785368726e-5,8.39787449796456e-6,8.95011763810871e-6,2.5781961201231476e-6,8.260016698267254e-6,0.3121296498909002,0.05202849166239859,5.522431401441512e-7,-4.716004038908041e-6
3.9341635610618e-5,5.77353871735064e-5,5.7056999942943e-5,1.0429321160545906e-5,4.1140835971903324e-5,0.25350289837738094,0.04228476709287341,-6.783872305633995e-7,1.83937515628884e-5
0,0,0,0,0,NA,0,0,0
3.45729525063006e-5,5.03872469877874e-5,7.83135293334512e-5,2.2148014270541958e-5,4.635543577452029e-5,0.4777867773322892,0.07966975908519364,2.79262823456638e-5,1.5814294481486798e-5
2.5035586297666e-5,2.83428264306304e-5,2.90878823238533e-5,2.156928706323336e-6,2.1155805939618258e-5,0.1019544569693787,0.017010039333179464,7.450558932229017e-7,3.3072401329644e-6
3.576512328238e-5,5.24867156122785e-5,7.6075999923924e-5,2.0252706650358046e-5,4.614513636723514e-5,0.43889146819681446,0.07318703231310844,2.3589284311645496e-5,1.67215923298985e-5
2.62277570737453e-5,3.04422950551215e-5,2.57315882095625e-5,2.5884124131419328e-6,2.1247513187892807e-5,0.12182189935605518,0.020321356153665773,-4.710706845559e-6,4.214537981376201e-6
3.9341635610618e-5,5.77353871735064e-5,6.71258822858153e-5,1.4133151679177156e-5,4.458401418727921e-5,0.31700043023962726,0.05287055838509394,9.390495112308895e-6,1.83937515628884e-5
0,0,0,0,0,NA,0,0,0
4.29181479388559e-5,6.50835273592254e-5,6.15320587619973e-5,1.1905143497510487e-5,4.5359719389397266e-5,0.26246069547540646,0.04378124901205891,-3.5514685972280985e-6,2.2165379420369494e-5
2.1459073969428e-5,2.72930921183848e-5,2.46128235047989e-5,2.9202095739627765e-6,1.907129979164362e-5,0.15312063707594334,0.02553599892915026,-2.680268613585901e-6,5.8340181489568e-6
2.74199278498246e-5,3.14920293673671e-5,3.8037999961962e-5,5.356852265603731e-6,2.5576702361189357e-5,0.20944264784237135,0.03492842189236288,6.545970594594895e-6,4.0721015175425016e-6
8.82206374298706e-5,5.8785121485752e-5,4.36318234857799e-5,2.2672429542336052e-5,5.332750298593464e-5,0.42515453139285375,0.07090352815129723,-1.51532979999721e-5,-2.9435515944118597e-5
7.39145881169186e-5,5.66856528612608e-5,4.58693528953071e-5,1.4144279017990851e-5,4.765346822286934e-5,0.29681531157060426,0.04950892981861977,-1.08162999659537e-5,-1.722893525565781e-5
3.2188610954142e-5,4.09396381775773e-5,5.03444117143615e-5,9.079861819692791e-6,3.31381306664434e-5,0.2740004229896804,0.04569435227383544,9.4047735367842e-6,8.751027223435303e-6
1.66903908651106e-5,1.67957489959291e-5,1.9018999980981e-5,1.3150643642536114e-6,1.3455051051568577e-5,0.09773759751735037,0.016300812128768036,2.2232509850519e-6,1.0535813081849834e-7
5.60320264757286e-5,3.77904352408405e-5,3.24441764381441e-5,1.2367462710419697e-5,3.4658525216283224e-5,0.35683753515885985,0.059501804630823545,-5.346258802696402e-6,-1.8241591234888098e-5
