year_2015,year_2016,year_2017,sd,mean,cv,mean_cv,change_2016_2017,change_2015_2016
2.32272850056692e-5,1.29160683487946e-5,2.92430200566502e-5,8.257114197458844e-6,1.8410871902143212e-5,0.4484912089632014,0.07476387722045201,1.63269517078556e-5,-1.03112166568746e-5
1.978620574557e-5,2.12735243391911e-5,1.05599794649015e-5,5.8039557164983905e-6,1.4355916316540247e-5,0.4042901608315543,0.06739365673552283,-1.0713544874289599e-5,1.4873185936211006e-6
2.58080944507435e-5,1.21562996223949e-5,3.57414689581281e-5,1.1841337507044924e-5,2.1386800134577855e-5,0.5536750440707597,0.09229699634523877,2.35851693357332e-5,-1.3651794828348599e-5
2.49478246357187e-5,2.20332930655908e-5,5.19875912118226e-5,1.651718018809912e-5,2.8871472275307805e-5,0.5720934502611204,0.09537296793708282,2.9954298146231802e-5,-2.9145315701278975e-6
4.90353794564127e-5,6.53401104703728e-5,7.06706318035714e-5,1.1271962674755696e-5,4.907952110127815e-5,0.22966733215459487,0.03831878829335021,5.3305213331986074e-6,1.630473101396009e-5
2.66683642657683e-5,1.4435605801594e-5,3.57414689581281e-5,1.0691908258478359e-5,2.1884336820992188e-5,0.48856441691311947,0.08144563976620407,2.1305863156534095e-5,-1.2232758464174298e-5
2.66683642657683e-5,2.20332930655908e-5,5.19875912118226e-5,1.6123518617275943e-5,2.920319179011441e-5,0.5521149445977315,0.09204349342611368,2.9954298146231802e-5,-4.635071200177497e-6
2.83889038958179e-5,1.82344494335924e-5,4.30522239722906e-5,1.2476964335287083e-5,2.5538135409246995e-5,0.48856207140202385,0.08144829367984502,2.4817774538698196e-5,-1.01544544622255e-5
3.69916020460657e-5,4.86251984895798e-5,6.17352645640394e-5,1.2379170903111246e-5,3.9932809000699035e-5,0.31000000282711254,0.051699944478686005,1.3110066074459592e-5,1.16335964435141e-5
4.73148398263631e-5,6.38205730175734e-5,5.92983462259852e-5,8.529304279597518e-6,4.47407658373798e-5,0.1906383165321568,0.03181033672689062,-4.522226791588197e-6,1.65057331912103e-5
2.83889038958179e-5,2.96309803295877e-5,3.33045506200739e-5,2.5560860465484436e-6,2.3470130223006986e-5,0.10890804704793661,0.018170899616508605,3.6735702904862014e-6,1.2420764337697978e-6
4.04326813061649e-5,5.31838108479779e-5,5.44245095498768e-5,7.744911183722765e-6,3.894647822193559e-5,0.1988603729350975,0.0331758508877012,1.2406987018988977e-6,1.2751129541813e-5
2.66683642657683e-5,2.27930617919905e-5,5.27998973245074e-5,1.632117830682353e-5,2.9645625422272434e-5,0.5505425530527552,0.0917817968633111,3.0006835532516903e-5,-3.875302473777798e-6
2.66683642657683e-5,2.20332930655908e-5,5.19875912118226e-5,1.6123518617275943e-5,2.920319179011441e-5,0.5521149445977315,0.09204349342611368,2.9954298146231802e-5,-4.635071200177497e-6
4.64545700113384e-5,6.38205730175734e-5,5.84860401133005e-5,8.895612912495509e-6,4.441419901367695e-5,0.2002875906814437,0.033418276946085346,-5.334532904272895e-6,1.7366003006234994e-5
4.64545700113384e-5,6.38205730175734e-5,5.84860401133005e-5,8.895612912495509e-6,4.441419901367695e-5,0.2002875906814437,0.033418276946085346,-5.334532904272895e-6,1.7366003006234994e-5
2.66683642657683e-5,2.20332930655908e-5,5.19875912118226e-5,1.6123518617275943e-5,2.920319179011441e-5,0.5521149445977315,0.09204349342611368,2.9954298146231802e-5,-4.635071200177497e-6
2.4087554820694e-5,2.35528305183902e-5,2.51814894932266e-5,8.301760057921903e-7,1.8413012709525748e-5,0.045086375537160675,0.007529740100118051,1.6286589748364008e-6,-5.347243023038015e-7
2.58080944507435e-5,2.05137556127915e-5,4.38645300849753e-5,1.224284525750308e-5,2.5607306351503346e-5,0.47809969113695283,0.07970462127811839,2.3350774472183804e-5,-5.294338837952e-6
4.55943001963136e-5,6.15412668383744e-5,6.90460195782019e-5,1.1976436592574768e-5,4.7039505801366165e-5,0.2546037928873593,0.04247316506939435,7.504752739827502e-6,1.5946966642060795e-5
4.55943001963136e-5,6.38205730175734e-5,5.84860401133005e-5,9.37062093592697e-6,4.4317883565778616e-5,0.21144107484326657,0.03527711071018258,-5.334532904272895e-6,1.8226272821259797e-5
3.44107926009914e-5,3.64688988671848e-5,4.38645300849753e-5,4.971658256701751e-6,2.9928969952463314e-5,0.16611524768805339,0.027710815422969284,7.3956312177904995e-6,2.0581062661934017e-6
5.07559190864623e-5,6.53401104703728e-5,6.49844890147783e-5,8.319428136869208e-6,4.734998667712065e-5,0.17570074926523954,0.02932291653310419,-3.556214555944969e-7,1.458419138391049e-5
