Date,dailyCatch,dailyCPUE,cumCPUE
6/6/16,15,0.52,4.75
6/7/16,43,0.9,5.65
6/8/16,20,0.42,6.07
6/9/16,66,1.38,7.44
6/10/16,59,1.23,8.67
6/11/16,38,0.79,9.46
6/12/16,52,1.08,10.55
6/13/16,96,2,12.55
6/14/16,69,1.44,13.98
6/15/16,47,0.98,14.96
6/16/16,27,0.56,15.52
6/17/16,29,0.6,16.13
6/18/16,87,1.81,17.94
6/19/16,82,1.71,19.65
6/20/16,100,2.08,21.73
6/21/16,88,1.83,23.57
6/22/16,74,1.54,25.11
6/23/16,55,1.15,26.25
6/24/16,48,1,27.25
6/25/16,72,1.5,28.75
6/26/16,47,0.98,29.73
6/27/16,50,1.04,30.77
6/28/16,30,0.63,31.4
6/29/16,44,0.92,32.32
6/30/16,44,0.92,33.23
7/1/16,25,1.04,34.27
7/2/16,18,0.75,35.02
7/3/16,24,1,36.02
7/4/16,16,0.67,36.69
7/5/16,3,0.13,36.82
7/6/16,4,0.17,36.98
7/7/16,1,0.04,37.02
7/8/16,5,0.21,37.23
7/9/16,1,0.04,37.27
7/10/16,1,0.04,37.32
7/11/16,3,0.13,37.44
7/12/16,0,0,37.44
7/13/16,0,0,37.44
7/14/16,1,0.04,37.48
7/15/16,0,0,37.48
5/29/17,0,0,0
5/30/17,0,0,0
5/31/17,0,0,0
6/1/17,2,0.08,0.08
6/2/17,1,0.04,0.13
6/3/17,2,0.08,0.21
6/4/17,5,0.21,0.42
6/5/17,9,0.38,0.79
6/6/17,19,0.59,1.39
6/7/17,19,0.4,1.78
6/8/17,6,0.13,1.91
6/9/17,31,0.67,2.58
6/10/17,54,0.75,3.33
6/11/17,43,0.9,4.23
6/12/17,75,1.56,5.79
6/13/17,62,1.29,7.08
6/14/17,48,1,8.08
6/15/17,14,0.39,8.47
6/16/17,54,1.13,9.59
6/17/17,65,1.35,10.95
6/18/17,70,1.46,12.41
6/19/17,56,1.17,13.57
6/20/17,55,1.15,14.72
6/21/17,56,1.17,15.89
6/22/17,39,0.81,16.7
6/23/17,32,0.67,17.36
6/24/17,70,1.46,18.82
6/25/17,59,1.23,20.05
6/26/17,40,0.83,20.89
6/27/17,61,1.27,22.16
6/28/17,31,0.86,23.02
6/29/17,29,1.21,24.26
6/30/17,12,0.5,24.73
7/1/17,7,0.29,25.02
7/2/17,16,0.67,25.68
7/3/17,2,0,25.77
7/4/17,7,0.29,26.06
7/5/17,6,0.25,26.31
7/6/17,9,0.38,26.68
7/7/17,9,0.38,27.06
7/8/17,4,0.17,27.23
7/9/17,4,0.17,27.39
7/10/17,8,0.33,27.73
7/11/17,3,0.13,27.85
7/12/17,1,0.04,27.89
7/13/17,0,0,27.89
6/7/18,1,0.08,0.08
6/8/18,1,0.04,0.13
6/9/18,3,0.1,0.23
6/10/18,8,0.17,0.4
6/11/18,6,0.13,0.52
6/12/18,23,0.48,1
6/13/18,16,0.33,1.33
6/14/18,3,0.09,1.43
6/15/18,6,0.13,1.55
6/16/18,22,0.69,2.24
6/17/18,56,1.56,3.79
6/18/18,27,0.75,4.54
6/19/18,53,1.1,5.65
6/20/18,62,1.29,6.94
6/21/18,72,1.5,8.44
6/22/18,48,1,9.44
6/23/18,101,2.1,11.54
6/24/18,62,1.29,12.84
6/25/18,13,0.27,13.11
