tributary_group_id,year,trib_total_assignment_rescale,trib_total_assignment_individuals,n_reaches,mean_str_order,min_str_order,max_str_order,stream_order
3_11152_4,2017,0.0031703980511018637,420.0650601787925,6,4,4,4,4
3_11153_3,2017,0,0,2,3,3,3,3
3_1117_3,2017,0,0,1,3,3,3,3
3_11186_3,2017,0,0,1,3,3,3,3
3_11209_3,2017,0,0,1,3,3,3,3
3_11216_4,2017,0,0,1,4,4,4,4
3_11220_3,2017,7.68186515498621e-4,101.7816405575053,1,3,3,3,3
3_11224_4,2017,0.0036925347153453046,489.24607964439156,6,4,4,4,4
3_11253_4,2017,0.0028556536367627637,378.3626842565191,5,4,4,4,4
3_11267_4,2017,2.700829348076262e-4,35.784908530271245,1,4,4,4,4
3_11280_3,2017,0,0,1,3,3,3,3
3_11290_3,2017,0,0,1,3,3,3,3
3_11309_4,2017,0.00392077901862159,519.4875368512861,7,4,4,4,4
3_11333_4,2017,2.700829348076262e-4,35.784908530271245,1,4,4,4,4
3_11350_4,2017,0.004645455353023565,615.5042524542102,8,4,4,4,4
3_11376_4,2017,6.260023663164041e-4,82.9428095274583,2,4,4,4,4
3_11386_3,2017,0,0,2,3,3,3,3
3_11423_4,2017,0.0010024186328963184,132.8164591842306,3,4,4,4,4
3_11438_4,2017,0.0013514490867382071,179.06159819646552,2,4,4,4,4
3_11443_4,2017,0.002054899336821735,272.2659425315326,4,4,4,4,4
3_11444_4,2017,0.002054899336821735,272.2659425315326,3,4,4,4,4
3_11459_3,2017,0,0,2,3,3,3,3
3_11461_4,2017,6.700213818018494e-4,88.77515300321784,1,4,4,4,4
3_11465_3,2017,0,0,1,3,3,3,3
3_11467_4,2017,6.700213818018494e-4,88.77515300321784,1,4,4,4,4
3_11479_3,2017,0.0022072076941437174,292.44619064326594,9,3,3,3,3
3_11482_4,2017,5.624419799043824e-4,74.52131256941105,1,4,4,4,4
3_11490_4,2017,0.005324754657858628,705.5086931476367,9,4,4,4,4
3_11514_3,2017,0.0031294463864055626,414.63912841319143,10,3,3,3,3
3_11537_4,2017,0.00599016598868227,793.673032836446,10,4,4,4,4
3_11565_4,2017,0,0,1,4,4,4,4
3_11580_3,2017,0,0,2,3,3,3,3
3_11589_3,2017,2.110606589963636e-4,27.96469307438219,1,3,3,3,3
3_11594_4,2017,0,0,3,4,4,4,4
3_115_4,2017,0,0,19,4,4,4,4
3_11612_4,2017,0,0,2,4,4,4,4
3_11613_4,2017,0,0,1,4,4,4,4
3_11625_4,2017,6.248830177639455e-4,82.79450032165173,1,4,4,4,4
3_11630_3,2017,0,0,4,3,3,3,3
3_11636_4,2017,6.248830177639455e-4,82.79450032165173,1,4,4,4,4
3_11647_3,2017,0,0,2,3,3,3,3
