tributary_group_id,stream_order,n_years,mean_individuals,sd_individuals,min_individuals,max_individuals,cv_individuals,mean_rescale,sd_rescale,cv_rescale
3_10137_4,4,5,61.70630555956631,14.642857632407381,49.850528858597315,86.66779173183181,0.23729921115229208,4.2203614923023525e-4,3.00366661117016e-5,0.07117083730027961
3_1014_3,3,5,230.06750010186076,64.00185714968104,160.27915012849962,331.6440671305909,0.2781873020802359,0.0015998197611164764,4.3330991327663823e-4,0.27084920677204377
3_10175_3,3,5,169.4002692009005,38.40437863371094,135.8330448527288,230.49622687322346,0.22670789612598083,0.0011591516394263745,7.10094448716701e-5,0.06125984078046105
3_10202_3,3,5,50.8432255367057,11.456773020534436,41.642972578508534,70.37286542763705,0.22533529097722854,3.480400218917755e-4,1.6348213551458038e-05,0.04697222308686552
3_10203_4,4,5,61.70630555956631,14.642857632407381,49.850528858597315,86.66779173183181,0.23729921115229208,4.2203614923023525e-4,3.00366661117016e-5,0.07117083730027961
3_10247_4,4,5,85.57191045338354,19.828652866558894,71.42857473667922,120.3536742864777,0.23171917936039096,5.855670240679922e-4,3.061298137589823e-5,0.05227920992412928
3_10345_3,3,5,433.1190417146469,101.7709644216862,365.64949634996754,612.562291776254,0.23497227002255944,0.0029623877095820055,1.479540798625327e-4,0.04994419852066194
3_10374_3,3,5,109.18316721431773,26.4955863753196,84.86646614315082,148.50933734822445,0.2426709817211192,7.455416699714265e-4,6.362504074869277e-5,0.08534069028110963
3_10432_3,3,5,1093.9113079918222,242.75840599196465,891.7668531859987,1505.9024324820614,0.2219178138286321,0.007498940679277878,5.315086349416413e-4,0.07087782897261481
3_10441_4,4,5,68.86115722154652,16.971958077390703,52.931199596385646,94.07108261320236,0.2464663500031947,4.699017775480197e-4,4.026631972934401e-5,0.08569092872867279
3_10522_4,4,5,68.86115722154652,16.971958077390703,52.931199596385646,94.07108261320236,0.2464663500031947,4.699017775480197e-4,4.026631972934401e-5,0.08569092872867279
3_10532_4,4,5,68.86115722154652,16.971958077390703,52.931199596385646,94.07108261320236,0.2464663500031947,4.699017775480197e-4,4.026631972934401e-5,0.08569092872867279
3_10569_4,4,5,68.86115722154652,16.971958077390703,52.931199596385646,94.07108261320236,0.2464663500031947,4.699017775480197e-4,4.026631972934401e-5,0.08569092872867279
3_10622_4,4,5,193.96195702271189,43.87650912210786,155.9957426347578,264.6774262149205,0.22621193246142676,0.0013272570073096697,7.608392340102853e-5,0.05732418286888499
3_10626_4,4,5,141.99863677540202,35.27715761972675,108.38096066889244,194.36423793544708,0.24843307246339497,9.68687462895999e-4,8.413903454611223e-5,0.08685880407140732
3_10631_4,4,5,637.876021446311,143.9926377055863,517.0980310279284,875.6677768307246,0.22573765569538018,0.004365065808739422,2.1833974755206686e-4,0.05001980660060672
3_10640_4,4,5,106.55699830433113,24.16516610600099,85.40782216266726,145.0251675927929,0.22678159567693798,7.29128313097159e-4,4.46779587181322e-5,0.061275852158793755
3_10641_3,3,5,257.57056191183153,58.537965839796975,205.77988642449264,350.0004135428321,0.22726962819545732,0.001762421209388946,1.1347546040159057e-4,0.0643861182542929
3_10656_3,3,5,269.99246666499374,82.89302366313099,172.15358958555396,389.0347736782164,0.3070197649847191,0.001832920150051437,3.2525591562098717e-4,0.17745231051765106
3_10662_4,4,5,216.05908361694304,53.875907229547295,164.34746651762026,296.0084714344766,0.2493572884214641,0.0014737035193675267,1.2890176569653111e-4,0.0874679092520945
3_10663_4,4,5,372.038468965436,84.01407274262735,300.48224098979375,509.30719148716247,0.22582092915351887,0.0025458843502266493,1.3520885962577358e-4,0.05310879876131707
3_10679_4,4,5,283.2408046282111,64.00256834894594,228.2900840978996,387.139804885855,0.22596521159074273,0.0019382158875618659,1.0675161888727171e-4,0.05507725923223004
3_10694_4,4,5,460.8279599830962,104.04058070223553,372.7257651580667,631.5374227047453,0.22576881121981374,0.0031534884490582882,1.6352066146199545e-4,0.05185389580571537
3_10699_4,4,5,216.05908361694304,53.875907229547295,164.34746651762026,296.0084714344766,0.2493572884214641,0.0014737035193675267,1.2890176569653111e-4,0.0874679092520945
3_10706_4,4,5,366.3234418266179,91.79210580696584,277.3973609832543,502.5054513414673,0.25057666347874985,0.002498159734977863,2.204732488802489e-4,0.088254264046171
3_10712_4,4,5,291.17087437551834,72.82222478242598,220.87424775393737,399.21934020816923,0.25010133633252185,0.001985799416380261,1.7464059715601712e-4,0.08794473183719335
3_10719_4,4,5,549.449782346717,124.0326219663456,444.910118496045,753.6344084536399,0.22573968714046702,0.003759949623342853,1.914092014812664e-4,0.050907384581150454
3_10821_4,4,5,155.01007602755686,40.42769791171002,102.15077794958974,214.5021798701984,0.2608069033171947,0.0010564480020464752,1.2631180022132905e-4,0.11956272336797165
3_10832_4,4,5,76.3889295999511,19.455015837128382,49.88763908722798,104.23425786512216,0.25468370795368284,5.213699147594221e-4,6.6116342940382e-5,0.12681273136155227
3_10855_4,4,5,76.3889295999511,19.455015837128382,49.88763908722798,104.23425786512216,0.25468370795368284,5.213699147594221e-4,6.6116342940382e-5,0.12681273136155227
