"","Individual","tribs"
"1","1","Nisutlin"
"2","1","Big.Salmon"
"3","1","Pelly.ab.Macm"
"4","1","Pelly"
"5","1","Upper.Yukon.Canada"
"6","1","Macmillan"
"7","1","Fortymile"
"8","1","Miner"
"9","1","Porcupine.Canada"
"10","1","Fishing.Branch"
"11","2","McQuesten"
"12","2","Upper.Yukon.Canada"
"13","3","Stewart"
"14","3","Macmillan"
"15","3","Upper.Yukon.Canada"
"16","3","Klondike"
"17","4","Teslin"
"18","4","Swift"
"19","4","Nisutlin"
"20","4","Big.Salmon"
"21","4","White"
"22","4","Upper.Yukon.Canada"
"23","4","Fortymile"
"24","4","Fishing.Branch"
"25","4","Porcupine.Canada"
"26","5","Stewart"
"27","5","Fortymile"
"28","5","McQuesten"
"29","5","Klondike"
"30","6","Teslin"
"31","6","Nisutlin"
"32","6","Nisling"
"33","6","Big.Salmon"
"34","6","White"
"35","6","Upper.Yukon.Canada"
"36","6","Fishing.Branch"
"37","6","Whitestone"
"38","6","Porcupine.Canada"
"39","7","SMS.Yukon.Canada.Tahkini"
"40","7","Kluane.Donjek.Tincup"
"41","7","Nisling"
"42","7","Upper.Yukon.Canada"
"43","7","White"
"44","7","Fortymile"
"45","8","Swift"
"46","8","Nisutlin"
"47","8","Big.Salmon"
"48","8","Pelly.ab.Macm"
"49","8","White"
"50","8","Upper.Yukon.Canada"
"51","8","Fortymile"
"52","8","Miner"
"53","8","Fishing.Branch"
"54","8","Porcupine.Canada"
"55","9","Teslin"
"56","9","Swift"
"57","9","Nisutlin"
"58","9","Big.Salmon"
"59","9","Nisling"
"60","9","White"
"61","9","Upper.Yukon.Canada"
"62","9","Fishing.Branch"
"63","9","Whitestone"
"64","9","Porcupine.Canada"
"65","10","Stewart"
"66","10","Fortymile"
"67","10","Klondike"
"68","10","McQuesten"
"69","11","Teslin"
"70","11","Nisutlin"
"71","11","Nisling"
"72","11","Big.Salmon"
"73","11","White"
"74","11","Upper.Yukon.Canada"
"75","11","Fishing.Branch"
"76","11","Whitestone"
"77","11","Porcupine.Canada"
"78","12","Teslin"
"79","12","Swift"
"80","12","Nisutlin"
"81","12","Big.Salmon"
"82","12","White"
"83","12","Upper.Yukon.Canada"
"84","12","Fortymile"
"85","12","Miner"
"86","12","Fishing.Branch"
"87","12","Porcupine.Canada"
"88","13","Innoko"
"89","13","Andreafsky"
"90","13","Anvik"
"91","13","Nenana"
"92","13","Kantishna"
"93","13","Nowitna"
"94","13","Tanana.mouth"
"95","13","Koyokuk.mouth"
"96","13","Hogatza"
"97","13","Henshaw"
"98","14","Stewart"
"99","14","Fortymile"
"100","14","Klondike"
"101","14","McQuesten"
"102","15","Innoko"
"103","15","Andreafsky"
"104","15","Nenana"
"105","15","Kantishna"
"106","15","Tanana.mouth"
"107","15","Nowitna"
"108","15","Hogatza"
"109","15","Black.Salmon.Fork"
"110","15","Henshaw"
"111","15","Colleen"
"112","16",NA
"113","16","Tanana.mouth"
"114","16","Upper.Yukon.Canada"
"115","16","Nation"
"116","16","Black.Salmon.Fork"
"117","16","Koyokuk.mouth"
"118","16","Alatna"
"119","16","Chandlar.Teedriinjik"
"120","16","John"
"121","16","North.Fork.Koyokuk"
"122","16","Middle.Fork.Koyokuk"
"123","17","Innoko"
"124","17","Kantishna"
"125","17","Tanana.mouth"
"126","17","Nowitna"
"127","17",NA
"128","17","Black.Salmon.Fork"
"129","17","South.Fork.Koyokuk"
"130","17","Henshaw"
"131","17","Sheenjek"
"132","17","Colleen"
"133","17","Porcupine.Canada"
"134","18","SMS.Yukon.Canada.Tahkini"
"135","18","Kluane.Donjek.Tincup"
"136","18","Teslin"
"137","18","Nisling"
"138","18","Upper.Yukon.Canada"
"139","18","White"
"140","18","Fortymile"
"141","19","SMS.Yukon.Canada.Tahkini"
"142","19","White"
"143","19","Kluane.Donjek.Tincup"
"144","19","Andreafsky"
"145","19","Anvik"
"146","19","Nordenskiold"
"147","19","Nenana"
"148","19","Innoko"
"149","19","Kantishna"
"150","19","Nowitna"
"151","19","Koyokuk.mouth"
"152","19","Hogatza"
"153","19","Henshaw"
"154","20","Swift"
"155","20",NA
"156","20","Nisutlin"
"157","20","Big.Salmon"
"158","20","Pelly.ab.Macm"
"159","20","Pelly"
"160","20","Tanana.mouth"
"161","20","Upper.Yukon.Canada"
"162","20","Fortymile"
"163","20","Koyokuk.mouth"
"164","20","Miner"
"165","20","Black.Salmon.Fork"
"166","20","Alatna"
"167","20","Chandlar.Teedriinjik"
"168","20","Porcupine.Canada"
"169","20","Fishing.Branch"
"170","20","John"
"171","20","North.Fork.Koyokuk"
"172","20","Middle.Fork.Koyokuk"
"173","21","Kantishna"
"174","21","Stewart"
"175","21","Goodpaster"
"176","21","Fortymile"
"177","21","McQuesten"
"178","21","Klondike"
"179","21","Chena"
"180","22","Swift"
"181","22","Nisutlin"
"182","22","Big.Salmon"
"183","22","Pelly.ab.Macm"
"184","22","Pelly"
"185","22","Upper.Yukon.Canada"
"186","22",NA
"187","22","Tanana.mouth"
"188","22","Fortymile"
"189","22","Nation"
"190","22","Koyokuk.mouth"
"191","22","Miner"
"192","22","Black.Salmon.Fork"
"193","22","Alatna"
"194","22","Porcupine.Canada"
"195","22","Chandlar.Teedriinjik"
"196","22","John"
"197","22","Fishing.Branch"
"198","22","North.Fork.Koyokuk"
"199","22","Middle.Fork.Koyokuk"
"200","23","SMS.Yukon.Canada.Tahkini"
"201","23","Teslin"
"202","23","Nisutlin"
"203","23","Nisling"
"204","23","Upper.Yukon.Canada"
"205","23","Innoko"
"206","23","White"
"207","23","Kantishna"
"208","23","Tanana.mouth"
"209","23","Nowitna"
"210","23","Fortymile"
"211","23","Koyokuk.mouth"
"212","23",NA
"213","23","Black.Salmon.Fork"
"214","23","Kanuti"
"215","23","South.Fork.Koyokuk"
"216","23","Sheenjek"
"217","23","Fishing.Branch"
"218","23","Whitestone"
"219","23","Chandlar.Teedriinjik"
"220","23","Colleen"
"221","23","Porcupine.Canada"
"222","24","Teslin"
"223","24","Nisutlin"
"224","24","Nisling"
"225","24","Innoko"
"226","24","Upper.Yukon.Canada"
"227","24","White"
"228","24","Kantishna"
"229","24","Nenana"
"230","24","Tanana.mouth"
"231","24","Nowitna"
"232","24","Fortymile"
"233","24","Koyokuk.mouth"
"234","24",NA
"235","24","Black.Salmon.Fork"
"236","24","Kanuti"
"237","24","South.Fork.Koyokuk"
"238","24","Fishing.Branch"
"239","24","Sheenjek"
"240","24","Whitestone"
"241","24","Chandlar.Teedriinjik"
"242","24","Colleen"
"243","24","Porcupine.mouth"
"244","24","Porcupine.Canada"
"245","25","Macmillan"
"246","25","Tanana.mouth"
"247","25","Kantishna"
"248","25","Klondike"
"249","25","Salcha"
"250","25","Charly"
"251","26","Nisutlin"
"252","26","Big.Salmon"
"253","26","Pelly.ab.Macm"
"254","26","Pelly"
"255","26","Upper.Yukon.Canada"
"256","26","Macmillan"
"257","26","Tanana.mouth"
"258","26","Fortymile"
"259","26",NA
"260","26","Nation"
"261","26","Miner"
"262","26","Black.Salmon.Fork"
"263","26","Koyokuk.mouth"
"264","26","Alatna"
"265","26","Porcupine.Canada"
"266","26","Chandlar.Teedriinjik"
"267","26","John"
"268","26","Fishing.Branch"
"269","26","North.Fork.Koyokuk"
"270","26","Middle.Fork.Koyokuk"
"271","27","Stewart"
"272","27","Kantishna"
"273","27","Macmillan"
"274","27","Fortymile"
"275","27","Goodpaster"
"276","27","Salcha"
"277","27","Klondike"
"278","27","Chena"
"279","28","Stewart"
"280","28","Kantishna"
"281","28","Macmillan"
"282","28","Fortymile"
"283","28","Goodpaster"
"284","28","Salcha"
"285","28","Klondike"
"286","28","Chena"
"287","29","Nisutlin"
"288","29","Big.Salmon"
