"","Individual","tribs"
"1","1","Pelly.ab.Macm"
"2","1","Pelly"
"3","1","Upper.Yukon.Canada"
"4","1","Miner"
"5","1","Porcupine.Canada"
"6","1","Fishing.Branch"
"7","2","McQuesten"
"8","3","Macmillan"
"9","3","Klondike"
"10","4","Teslin"
"11","4","Swift"
"12","4","Nisutlin"
"13","4","Big.Salmon"
"14","4","White"
"15","4","Upper.Yukon.Canada"
"16","4","Fishing.Branch"
"17","4","Porcupine.Canada"
"18","5","Stewart"
"19","5","Fortymile"
"20","5","Klondike"
"21","5","McQuesten"
"22","6","Teslin"
"23","6","Nisutlin"
"24","6","Nisling"
"25","6","White"
"26","6","Upper.Yukon.Canada"
"27","6","Fishing.Branch"
"28","6","Whitestone"
"29","6","Porcupine.Canada"
"30","7","SMS.Yukon.Canada.Tahkini"
"31","7","Kluane.Donjek.Tincup"
"32","7","Nisling"
"33","7","Upper.Yukon.Canada"
"34","7","Fortymile"
"35","8","Swift"
"36","8","Nisutlin"
"37","8","Big.Salmon"
"38","8","Upper.Yukon.Canada"
"39","8","Fortymile"
"40","8","Miner"
"41","8","Fishing.Branch"
"42","8","Porcupine.Canada"
"43","9","Teslin"
"44","9","Big.Salmon"
"45","9","White"
"46","9","Upper.Yukon.Canada"
"47","9","Fishing.Branch"
"48","9","Porcupine.Canada"
"49","10","Stewart"
"50","10","Fortymile"
"51","10","Klondike"
"52","10","McQuesten"
"53","11","Teslin"
"54","11","Nisutlin"
"55","11","Nisling"
"56","11","White"
"57","11","Upper.Yukon.Canada"
"58","11","Fishing.Branch"
"59","11","Whitestone"
"60","11","Porcupine.Canada"
"61","12","Teslin"
"62","12","Swift"
"63","12","Nisutlin"
"64","12","Big.Salmon"
"65","12","White"
"66","12","Upper.Yukon.Canada"
"67","12","Fortymile"
"68","12","Fishing.Branch"
"69","12","Porcupine.Canada"
"70","13","Andreafsky"
"71","13","Anvik"
"72","13","Innoko"
"73","13","Nenana"
"74","13","Kantishna"
"75","13","Nowitna"
"76","13","Koyokuk.mouth"
"77","13","Hogatza"
"78","13","Henshaw"
"79","14","Stewart"
"80","14","Fortymile"
"81","14","Klondike"
"82","15","Innoko"
"83","15","Nenana"
"84","15","Kantishna"
"85","15","Nowitna"
"86","15","Tanana.mouth"
"87","15","Henshaw"
"88","16","Tanana.mouth"
"89","16","Upper.Yukon.Canada"
"90","16",NA
"91","16","Black.Salmon.Fork"
"92","16","Alatna"
"93","16","Chandlar.Teedriinjik"
"94","16","John"
"95","16","North.Fork.Koyokuk"
"96","17","Kantishna"
"97","17","Tanana.mouth"
"98","17","Nowitna"
"99","17","Black.Salmon.Fork"
"100","17","Sheenjek"
"101","17","Colleen"
"102","18","SMS.Yukon.Canada.Tahkini"
"103","18","Kluane.Donjek.Tincup"
"104","18","Nisling"
"105","18","Upper.Yukon.Canada"
"106","18","Fortymile"
"107","19","SMS.Yukon.Canada.Tahkini"
"108","19","White"
"109","19","Andreafsky"
"110","19","Anvik"
"111","19","Nordenskiold"
"112","19","Kantishna"
"113","19","Nowitna"
"114","19","Koyokuk.mouth"
"115","19","Hogatza"
"116","20","Swift"
"117","20","Nisutlin"
"118","20","Big.Salmon"
"119","20","Pelly.ab.Macm"
"120","20","Upper.Yukon.Canada"
"121","20",NA
"122","20","Tanana.mouth"
"123","20","Fortymile"
"124","20","Miner"
"125","20","Koyokuk.mouth"
"126","20","Alatna"
"127","20","Black.Salmon.Fork"
"128","20","John"
"129","20","Fishing.Branch"
"130","20","North.Fork.Koyokuk"
"131","20","Chandlar.Teedriinjik"
"132","20","Middle.Fork.Koyokuk"
"133","21","Stewart"
"134","21","Fortymile"
"135","21","Klondike"
"136","21","McQuesten"
"137","21","Chena"
"138","22","Big.Salmon"
"139","22","Nisutlin"
"140","22","Pelly.ab.Macm"
"141","22","Pelly"
"142","22","Upper.Yukon.Canada"
"143","22",NA
"144","22","Tanana.mouth"
"145","22","Fortymile"
"146","22","Miner"
"147","22","Koyokuk.mouth"
"148","22","Black.Salmon.Fork"
"149","22","Alatna"
"150","22","Porcupine.Canada"
