"","Individual","tribs"
"151","30","North.Fork.Koyokuk"
"152","31","Macmillan"
"153","31","Pelly.ab.Macm"
"154","31","Pelly"
"155","32","Kantishna"
"156","33","Stewart"
"157","33","Klondike"
"158","34","Teslin"
"159","34","Nisutlin"
"160","34","Nisling"
"161","34","White"
"162","34","Upper.Yukon.Canada"
"163","34","Fishing.Branch"
"164","34","Whitestone"
"165","34","Porcupine.Canada"
"166","35","Teslin"
"167","35","Nisutlin"
"168","35","Nisling"
"169","35","White"
"170","35","Upper.Yukon.Canada"
"171","35","Fishing.Branch"
"172","35","Whitestone"
"173","35","Porcupine.Canada"
"174","36","Macmillan"
"175","36","Klondike"
"176","37","Salcha"
"177","38",NA
"178","38","Tanana.mouth"
"179","38","Koyokuk.mouth"
"180","38","Alatna"
"181","38","Black.Salmon.Fork"
"182","38","Chandlar.Teedriinjik"
"183","38","Middle.Fork.Koyokuk"
"184","39","Tanana.mouth"
"185","39","Charly"
"186","40","McQuesten"
"187","41","Kantishna"
"188","41","Tanana.mouth"
"189","41","Nowitna"
"190","41","Black.Salmon.Fork"
"191","41","South.Fork.Koyokuk"
"192","41","Sheenjek"
"193","41","Colleen"
"194","42","Teslin"
"195","42","Nisling"
"196","42","White"
"197","42","Upper.Yukon.Canada"
"198","42","Fishing.Branch"
"199","42","Whitestone"
"200","42","Porcupine.Canada"
"201","43","SMS.Yukon.Canada.Tahkini"
"202","43","White"
"203","44","Teslin"
"204","44","White"
"205","44","Upper.Yukon.Canada"
"206","44","Fishing.Branch"
"207","44","Porcupine.Canada"
"208","45","Tanana.mouth"
"209","45",NA
"210","45","Koyokuk.mouth"
"211","45","Alatna"
"212","45","Black.Salmon.Fork"
"213","45","Chandlar.Teedriinjik"
"214","45","Middle.Fork.Koyokuk"
"215","46","Nisutlin"
"216","46","Teslin"
"217","46","Nisling"
"218","46","Upper.Yukon.Canada"
"219","46","White"
"220","46","Porcupine.Canada"
"221","47","Pelly.ab.Macm"
"222","47","Macmillan"
"223","48","Kantishna"
"224","48","Salcha"
"225","49","Macmillan"
"226","49","Klondike"
"227","49","Stewart"
"228","50","Tanana.mouth"
"229","50","Upper.Yukon.Canada"
"230","50",NA
"231","50","Black.Salmon.Fork"
"232","50","Alatna"
"233","50","Chandlar.Teedriinjik"
"234","50","John"
"235","50","North.Fork.Koyokuk"
"236","51","SMS.Yukon.Canada.Tahkini"
"237","51","White"
"238","52","SMS.Yukon.Canada.Tahkini"
"239","52","White"
"240","52","Nordenskiold"
"241","53","Kantishna"
"242","53","Nenana"
"243","53",NA
"244","53","Koyokuk.mouth"
"245","53","Kandik"
"246","53","Kanuti"
"247","53","Porcupine.mouth"
"248","53","Chandlar.Teedriinjik"
"249","54","Teslin"
"250","54","Nisutlin"
"251","54","Nisling"
"252","54","White"
"253","54","Upper.Yukon.Canada"
"254","54","Fishing.Branch"
"255","54","Whitestone"
"256","54","Porcupine.Canada"
"257","55","Tanana.mouth"
"258","55","Upper.Yukon.Canada"
"259","55",NA
"260","55","Alatna"
"261","55","Black.Salmon.Fork"
"262","55","John"
"263","55","North.Fork.Koyokuk"
"264","55","Chandlar.Teedriinjik"
"265","56","Salcha"
"266","57","Swift"
"267","57","Big.Salmon"
"268","57","Nisutlin"
"269","57","Upper.Yukon.Canada"
"270","57","Fortymile"
"271","57","Miner"
"272","57","Fishing.Branch"
"273","58","Chena"
"274","59",NA
"275","59","Tanana.mouth"
"276","59","Tozitna"
"277","59","Koyokuk.mouth"
"278","59","Black.Salmon.Fork"
"279","59","Porcupine.mouth"
"280","59","Chandlar.Teedriinjik"
"281","59","Middle.Fork.Koyokuk"
"282","60","Kantishna"
"283","60","Salcha"
"284","61","Tanana.mouth"
"285","61","Charly"
"286","62","Teslin"
"287","62","White"
"288","62","Upper.Yukon.Canada"
"289","62","Fishing.Branch"
"290","62","Porcupine.Canada"
"291","63","Innoko"
"292","63","Nenana"
"293","63","Henshaw"
"294","64","SMS.Yukon.Canada.Tahkini"
"295","64","Nisling"
"296","64","Upper.Yukon.Canada"
"297","64","Fortymile"
"298","65","Teslin"
"299","65","Nisutlin"
"300","65","Big.Salmon"
"301","65","White"
"302","65","Porcupine.Canada"
"303","66","SMS.Yukon.Canada.Tahkini"
"304","66","White"
"305","66","Nordenskiold"
"306","67","Stewart"
"307","67","Klondike"
"308","68","Nisutlin"
"309","68","Big.Salmon"
"310","68","Pelly.ab.Macm"
"311","68","Upper.Yukon.Canada"
"312","68","Fortymile"
"313","68","Miner"
"314","68","Fishing.Branch"
"315","69","SMS.Yukon.Canada.Tahkini"
"316","69","White"
"317","69","Nordenskiold"
"318","70","Macmillan"
"319","70","Klondike"
"320","71","Macmillan"
"321","71","Pelly.ab.Macm"
"322","71","Pelly"
"323","72","SMS.Yukon.Canada.Tahkini"
"324","72","White"
"325","73","Stewart"
"326","73","Fortymile"
"327","73","McQuesten"
"328","73","Klondike"
"329","74","SMS.Yukon.Canada.Tahkini"
"330","74","Kluane.Donjek.Tincup"
"331","74","Upper.Yukon.Canada"
"332","75","Teslin"
"333","75","Big.Salmon"
"334","75","White"
"335","75","Upper.Yukon.Canada"
"336","75","Fishing.Branch"
"337","75","Porcupine.Canada"
"338","76","SMS.Yukon.Canada.Tahkini"
"339","76","White"
"340","77","Nenana"
"341","77","Kantishna"
"342","77",NA
"343","77","Koyokuk.mouth"
"344","77","Kanuti"
"345","77","South.Fork.Koyokuk"
"346","77","Porcupine.mouth"
"347","77","Chandlar.Teedriinjik"
"348","78","Swift"
"349","78","Nisutlin"
"350","78","Big.Salmon"
"351","78","Upper.Yukon.Canada"
"352","78","Fortymile"
"353","78","Fishing.Branch"
"354","78","Porcupine.Canada"
"355","79","Innoko"
"356","79","Kantishna"
"357","79","Nowitna"
"358","79","Tanana.mouth"
"359","80","Macmillan"
"360","80","Klondike"
"361","80","Stewart"
"362","81","Pelly.ab.Macm"
"363","81","Pelly"
"364","81","Upper.Yukon.Canada"
"365","81","Miner"
"366","81","Porcupine.Canada"
"367","82","Kantishna"
"368","82","Nowitna"
"369","82","Koyokuk.mouth"
"370","82",NA
"371","82","Black.Salmon.Fork"
"372","82","South.Fork.Koyokuk"
"373","82","Sheenjek"
"374","82","Chandlar.Teedriinjik"
"375","82","Porcupine.Canada"
"376","83","SMS.Yukon.Canada.Tahkini"
"377","83","White"
"378","83","Nordenskiold"
"379","84","Tanana.mouth"
"380","84","Charly"
"381","85","Andreafsky"
"382","85","Innoko"
"383","85","Kantishna"
"384","85","Nowitna"
"385","85","Koyokuk.mouth"
"386","85","Hogatza"
"387","86","Innoko"
"388","86","Kantishna"
"389","86","Nowitna"
"390","86","Koyokuk.mouth"
"391","86",NA
"392","86","Black.Salmon.Fork"
"393","86","Kanuti"
"394","86","South.Fork.Koyokuk"
"395","86","Chandlar.Teedriinjik"
"396","86","Sheenjek"
"397","86","Porcupine.Canada"
"398","87","Nisling"
"399","87","Upper.Yukon.Canada"
"400","87","White"
"401","87","Fortymile"
"402","88","Nisutlin"
"403","88","Teslin"
"404","88","Nisling"
"405","88","Upper.Yukon.Canada"
"406","88","White"
"407","88","Porcupine.Canada"
"408","89",NA
"409","89","Tozitna"
"410","89","Koyokuk.mouth"
"411","89","Kandik"
"412","89","Black.Salmon.Fork"
"413","89","Porcupine.mouth"
"414","89","Middle.Fork.Koyokuk"
"415","89","Chandlar.Teedriinjik"
"416","90","Swift"
"417","90","Big.Salmon"
"418","90","Nisutlin"
"419","90","Upper.Yukon.Canada"
"420","90","Fortymile"
"421","90","Miner"
"422","90","Fishing.Branch"
"423","91","Nisutlin"
"424","91","Teslin"
"425","91","Nisling"
"426","91","Upper.Yukon.Canada"
"427","91","White"
"428","91","Porcupine.Canada"
"429","92","Innoko"
"430","92","Kantishna"
"431","92","Nowitna"
"432","92","Koyokuk.mouth"
"433","92",NA
"434","92","Black.Salmon.Fork"
"435","92","South.Fork.Koyokuk"
"436","92","Chandlar.Teedriinjik"
"437","92","Sheenjek"
"438","92","Porcupine.Canada"
"439","93","Tanana.mouth"
"440","93",NA
"441","93","Koyokuk.mouth"
"442","93","Alatna"
"443","93","Black.Salmon.Fork"
"444","93","Chandlar.Teedriinjik"
"445","93","Middle.Fork.Koyokuk"
"446","94","Nisling"
"447","94","Upper.Yukon.Canada"
"448","94","White"
"449","94","Fortymile"
"450","95","Kantishna"
"451","95","Salcha"
"452","96","Tanana.mouth"
"453","96","Charly"
"454","97","Andreafsky"
"455","97","Anvik"
"456","97","Innoko"
"457","97","Kantishna"
"458","97","Nowitna"
"459","97","Koyokuk.mouth"
"460","97","Hogatza"
"461","98","Andreafsky"
"462","98","Anvik"
"463","98","Innoko"
"464","98","Kantishna"
"465","98","Nowitna"
"466","98","Koyokuk.mouth"
"467","98","Hogatza"
"468","99","SMS.Yukon.Canada.Tahkini"
"469","99","White"
"470","99","Nordenskiold"
"471","100","SMS.Yukon.Canada.Tahkini"
"472","100","White"
"473","101","Andreafsky"
"474","101","Anvik"
"475","101","Kantishna"
"476","101","Nowitna"
"477","101","Koyokuk.mouth"
"478","101","Hogatza"
"479","102",NA
"480","102","Tozitna"
"481","102","Koyokuk.mouth"
"482","102","Kandik"
"483","102","Black.Salmon.Fork"
"484","102","Porcupine.mouth"
"485","102","Middle.Fork.Koyokuk"
"486","102","Chandlar.Teedriinjik"
"487","103","Andreafsky"
"488","103","Anvik"
"489","103","Innoko"
"490","103","Kantishna"
"491","103","Nowitna"
"492","103","Koyokuk.mouth"
"493","103","Hogatza"
"494","104","SMS.Yukon.Canada.Tahkini"
"495","104","White"
"496","104","Kluane.Donjek.Tincup"
"497","105","SMS.Yukon.Canada.Tahkini"
"498","105","White"
"499","106","Andreafsky"
"500","106","Anvik"
"501","106","Kantishna"
"502","106","Nowitna"
"503","106","Koyokuk.mouth"
