"","Individual","tribs"
"1","1","Big.Salmon"
"2","1","Pelly.ab.Macm"
"3","1","Pelly"
"4","1","Upper.Yukon.Canada"
"5","1","Fortymile"
"6","1","Miner"
"7","1","Porcupine.Canada"
"8","1","Fishing.Branch"
"9","2","McQuesten"
"10","3","Macmillan"
"11","3","Klondike"
"12","4","Teslin"
"13","4","Swift"
"14","4","Nisutlin"
"15","4","Big.Salmon"
"16","4","White"
"17","4","Upper.Yukon.Canada"
"18","4","Fortymile"
"19","4","Fishing.Branch"
"20","4","Porcupine.Canada"
"21","5","Stewart"
"22","5","Fortymile"
"23","5","McQuesten"
"24","5","Klondike"
"25","6","Teslin"
"26","6","Nisutlin"
"27","6","Big.Salmon"
"28","6","Nisling"
"29","6","White"
"30","6","Upper.Yukon.Canada"
"31","6","Fishing.Branch"
"32","6","Whitestone"
"33","6","Porcupine.Canada"
"34","7","SMS.Yukon.Canada.Tahkini"
"35","7","Kluane.Donjek.Tincup"
"36","7","Nisling"
"37","7","Upper.Yukon.Canada"
"38","7","Fortymile"
"39","8","Swift"
"40","8","Nisutlin"
"41","8","Big.Salmon"
"42","8","Upper.Yukon.Canada"
"43","8","Fortymile"
"44","8","Miner"
"45","8","Fishing.Branch"
"46","8","Porcupine.Canada"
"47","9","Teslin"
"48","9","Big.Salmon"
"49","9","Nisling"
"50","9","White"
"51","9","Upper.Yukon.Canada"
"52","9","Fishing.Branch"
"53","9","Porcupine.Canada"
"54","10","Stewart"
"55","10","Fortymile"
"56","10","Klondike"
"57","10","McQuesten"
"58","11","Teslin"
"59","11","Nisutlin"
"60","11","Nisling"
"61","11","White"
"62","11","Upper.Yukon.Canada"
"63","11","Fishing.Branch"
"64","11","Whitestone"
"65","11","Porcupine.Canada"
"66","12","Teslin"
"67","12","Swift"
"68","12","Nisutlin"
"69","12","Big.Salmon"
"70","12","White"
"71","12","Upper.Yukon.Canada"
"72","12","Fortymile"
"73","12","Fishing.Branch"
"74","12","Porcupine.Canada"
"75","13","Andreafsky"
"76","13","Anvik"
"77","13","Innoko"
"78","13","Nenana"
"79","13","Kantishna"
