Date,dailyCatch,dailyCPUE,cumCPUE,year
2016-05-24,6,0.25,0.25,2016
2016-05-25,0,0,0.25,2016
2016-05-26,3,0.13,0.38,2016
2016-05-27,0,0,0.38,2016
2016-05-28,2,0.08,0.46,2016
2016-05-29,5,0.21,0.67,2016
2016-05-30,11,0.46,1.13,2016
2016-05-31,17,0.71,1.83,2016
2016-06-01,16,0.67,2.5,2016
2016-06-02,10,0.42,2.92,2016
2016-06-03,22,0.46,3.38,2016
2016-06-04,25,0.69,4.07,2016
2016-06-05,0,0.17,4.24,2016
2016-06-06,15,0.52,4.75,2016
2016-06-07,43,0.9,5.65,2016
2016-06-08,20,0.42,6.07,2016
2016-06-09,66,1.38,7.44,2016
2016-06-10,59,1.23,8.67,2016
2016-06-11,38,0.79,9.46,2016
2016-06-12,52,1.08,10.55,2016
2016-06-13,96,2,12.55,2016
2016-06-14,69,1.44,13.98,2016
2016-06-15,47,0.98,14.96,2016
2016-06-16,27,0.56,15.52,2016
2016-06-17,29,0.6,16.13,2016
2016-06-18,87,1.81,17.94,2016
2016-06-19,82,1.71,19.65,2016
2016-06-20,100,2.08,21.73,2016
2016-06-21,88,1.83,23.57,2016
2016-06-22,74,1.54,25.11,2016
2016-06-23,55,1.15,26.25,2016
2016-06-24,48,1,27.25,2016
2016-06-25,72,1.5,28.75,2016
2016-06-26,47,0.98,29.73,2016
2016-06-27,50,1.04,30.77,2016
2016-06-28,30,0.63,31.4,2016
2016-06-29,44,0.92,32.32,2016
2016-06-30,44,0.92,33.23,2016
2016-07-01,25,1.04,34.27,2016
2016-07-02,18,0.75,35.02,2016
2016-07-03,24,1,36.02,2016
2016-07-04,16,0.67,36.69,2016
2016-07-05,3,0.13,36.82,2016
2016-07-06,4,0.17,36.98,2016
2016-07-07,1,0.04,37.02,2016
2016-07-08,5,0.21,37.23,2016
2016-07-09,1,0.04,37.27,2016
2016-07-10,1,0.04,37.32,2016
2016-07-11,3,0.13,37.44,2016
2016-07-12,0,0,37.44,2016
2016-07-13,0,0,37.44,2016
2016-07-14,1,0.04,37.48,2016
2016-07-15,0,0,37.48,2016
