Date,dailyCatch,dailyCPUE,cumCPUE,year,DOY,dailyPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
2015-05-28,4,0.17,0.17,2015,147,0.00425106276569142,0,0,0,Inf
2015-05-29,1,0.04,0.21,2015,148,0.00100025006251562,2,0.00809716599190283,0.00809716599190283,0.12353088272068016
2015-05-30,5,0.21,0.42,2015,149,0.00525131282820705,0,0,0.00809716599190283,Inf
2015-05-31,5,0.21,0.63,2015,150,0.00525131282820705,1,0.00404858299595141,0.01214574898785425,1.2970742685671417
2015-06-01,6,0.5,1.13,2015,151,0.01250312578144536,0,0,0.01214574898785425,Inf
2015-06-02,10,0.42,1.55,2015,152,0.0105026256564141,4,0.01619433198380566,0.02834008097165992,0.6485371342835708
2015-06-03,6,0.25,1.8,2015,153,0.00625156289072268,3,0.01214574898785425,0.04048582995951417,0.5147120113361673
2015-06-04,8,0.33,2.13,2015,154,0.00825206301575393,0,0,0.04048582995951417,Inf
2015-06-05,21,0.88,3.01,2015,155,0.02200550137534383,2,0.00809716599190283,0.048582995951417,2.7176794198549636
2015-06-06,37,1.03,4.04,2015,156,0.02575643910977744,6,0.0242914979757085,0.0728744939271255,1.0603067433525046
2015-06-07,26,0.54,4.58,2015,157,0.01350337584396099,10,0.04048582995951417,0.11336032388663968,0.3335333833458365
2015-06-08,39,0.81,5.39,2015,158,0.02025506376594148,7,0.02834008097165992,0.1417004048582996,0.7147143928839352
2015-06-09,17,0.35,5.74,2015,159,0.00875218804701175,9,0.03643724696356275,0.17813765182186234,0.24019893862354472
2015-06-10,19,0.53,6.27,2015,160,0.01325331332833208,3,0.01214574898785425,0.1902834008097166,1.091189464032675
2015-06-11,52,1.08,7.35,2015,161,0.02700675168792198,4,0.01619433198380566,0.20647773279352227,1.6676669167291824
2015-06-12,30,0.63,7.98,2015,162,0.01575393848462115,16,0.06477732793522267,0.27125506072874495,0.24320142535633907
2015-06-13,34,0.94,8.92,2015,163,0.02350587646911727,5,0.02024291497975708,0.291497975708502,1.1611902975743935
2015-06-14,20,0.83,9.75,2015,164,0.02075518879719929,6,0.0242914979757085,0.3157894736842105,0.8544219388180377
2015-06-15,18,0.75,10.5,2015,165,0.01875468867216804,5,0.02024291497975708,0.3360323886639676,0.9264816204051012
2015-06-16,11,0.46,10.96,2015,166,0.01150287571892973,5,0.02024291497975708,0.3562753036437247,0.5682420605151288
2015-06-17,33,1.38,12.34,2015,167,0.03450862715678919,3,0.01214574898785425,0.3684210526315789,2.841210302575643
2015-06-18,37,1.54,13.88,2015,168,0.03850962740685171,5,0.02024291497975708,0.388663967611336,1.9023755938984743
2015-06-19,20,0.83,14.71,2015,169,0.02075518879719929,10,0.04048582995951417,0.4291497975708502,0.5126531632908227
2015-06-20,17,0.71,15.42,2015,170,0.01775443860965241,6,0.0242914979757085,0.4534412955465587,0.7308910560973576
2015-06-21,13,0.54,15.96,2015,171,0.01350337584396099,4,0.01619433198380566,0.4696356275303643,0.8338334583645912
2015-06-22,7,0.29,16.25,2015,172,0.0072518129532383,6,0.0242914979757085,0.4939271255060729,0.298532966574977
2015-06-23,14,0.58,16.83,2015,173,0.01450362590647661,2,0.00809716599190283,0.5020242914979757,1.7911977994498622
2015-06-24,15,0.63,17.46,2015,174,0.01575393848462115,3,0.01214574898785425,0.5141700404858299,1.2970742685671417
2015-06-25,78,3.25,20.71,2015,175,0.08127031757939485,5,0.02024291497975708,0.5344129554655871,4.014753688422106
2015-06-26,95,3.96,24.67,2015,176,0.09902475618904726,15,0.06072874493927125,0.5951417004048583,1.6306076519129782
2015-06-27,44,1.83,26.5,2015,177,0.04576144036009002,15,0.06072874493927125,0.6558704453441295,0.7535383845961491
2015-06-28,57,2.38,28.88,2015,178,0.05951487871967991,12,0.048582995951417,0.7044534412955465,1.225014586980078
2015-06-29,21,0.88,29.76,2015,179,0.02200550137534383,14,0.05668016194331984,0.7611336032388664,0.3882399171221377
2015-06-30,27,1.13,30.89,2015,180,0.02825706426606651,6,0.0242914979757085,0.7854251012145749,1.163249145619738
2015-07-01,64,2.67,33.56,2015,181,0.06676669167291822,5,0.02024291497975708,0.8056680161943319,3.29827456864216
2015-07-02,51,2.13,35.69,2015,182,0.05326331582895723,10,0.04048582995951417,0.8461538461538461,1.3156039009752436
2015-07-03,37,1.54,37.23,2015,183,0.03850962740685171,16,0.06477732793522267,0.9109311740890688,0.5944923730932733
2015-07-04,23,0.96,38.19,2015,184,0.02400600150037509,10,0.04048582995951417,0.951417004048583,0.5929482370592647
2015-07-05,10,0.42,38.61,2015,185,0.0105026256564141,5,0.02024291497975708,0.97165991902834,0.5188297074268567
2015-07-06,4,0.17,38.78,2015,186,0.00425106276569142,0,0,0.97165991902834,Inf
2015-07-07,2,0.08,38.86,2015,187,0.00200050012503125,1,0.00404858299595141,0.9757085020242916,0.4941235308827206
2015-07-08,11,0.46,39.32,2015,188,0.01150287571892973,0,0,0.9757085020242916,Inf
2015-07-09,8,0.33,39.65,2015,189,0.00825206301575393,3,0.01214574898785425,0.9878542510121456,0.6794198549637409
2015-07-10,3,0.13,39.78,2015,190,0.00325081270317579,2,0.00809716599190283,0.9959514170040484,0.4014753688422105
2015-07-11,3,0.13,39.91,2015,191,0.00325081270317579,1,0.00404858299595141,1,0.802950737684421
2015-07-12,1,0.04,39.95,2015,192,0.00100025006251562,0,0,1,Inf
2015-07-13,1,0.04,39.99,2015,193,0.00100025006251562,0,0,1,Inf
2016-05-24,6,0.25,0.25,2016,144,0.00666311300639658,0,0,0,Inf
2016-05-25,0,0,0.25,2016,145,0,0,0,0,NA
2016-05-26,3,0.13,0.38,2016,146,0.00346481876332622,0,0,0,Inf
2016-05-27,0,0,0.38,2016,147,0,0,0,0,NA
2016-05-28,2,0.08,0.46,2016,148,0.0021321961620469,0,0,0,Inf
2016-05-29,5,0.21,0.67,2016,149,0.00559701492537313,0,0,0,Inf
2016-05-30,11,0.46,1.13,2016,150,0.01226012793176972,0,0,0,Inf
2016-05-31,17,0.71,1.83,2016,151,0.01892324093816631,0,0,0,Inf
2016-06-01,16,0.67,2.5,2016,152,0.01785714285714285,0,0,0,Inf
2016-06-02,10,0.42,2.92,2016,153,0.01119402985074626,0,0,0,Inf
2016-06-03,22,0.46,3.38,2016,154,0.01226012793176972,0,0,0,Inf
2016-06-04,25,0.69,4.07,2016,155,0.01839019189765458,2,0.00826446280991735,0.00826446280991735,2.2252132196162044
2016-06-05,0,0.17,4.24,2016,156,0.00453091684434968,3,0.01239669421487603,0.02066115702479339,0.3654939587775408
2016-06-06,15,0.52,4.75,2016,157,0.0138592750533049,0,0,0.02066115702479339,Inf
2016-06-07,43,0.9,5.65,2016,158,0.02398720682302771,2,0.00826446280991735,0.02892561983471074,2.9024520255863537
2016-06-08,20,0.42,6.07,2016,159,0.01119402985074626,5,0.02066115702479339,0.04958677685950413,0.5417910447761194
2016-06-09,66,1.38,7.44,2016,160,0.03678038379530916,4,0.01652892561983471,0.06611570247933884,2.2252132196162044
2016-06-10,59,1.23,8.67,2016,161,0.03278251599147121,13,0.05371900826446281,0.11983471074380166,0.6102591438412333
2016-06-11,38,0.79,9.46,2016,162,0.02105543710021322,13,0.05371900826446281,0.17355371900826447,0.3919550598655076
2016-06-12,52,1.08,10.55,2016,163,0.02878464818763326,12,0.04958677685950413,0.2231404958677686,0.5804904051172708
2016-06-13,96,2,12.55,2016,164,0.0533049040511727,10,0.04132231404958678,0.2644628099173554,1.2899786780383795
2016-06-14,69,1.44,13.98,2016,165,0.03837953091684434,19,0.07851239669421488,0.34297520661157027,0.48883402536191217
2016-06-15,47,0.98,14.96,2016,166,0.02611940298507462,14,0.05785123966942149,0.40082644628099173,0.4514925373134328
2016-06-16,27,0.56,15.52,2016,167,0.01492537313432835,9,0.0371900826446281,0.4380165289256198,0.4013266998341625
2016-06-17,29,0.6,16.13,2016,168,0.01599147121535181,10,0.04132231404958678,0.4793388429752066,0.3869936034115138
