Date,Sample Year,dailyCPUE,Species,DOY,dailyPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
2021-06-01,2021,0,Chinook,151,0,0,0,0,NA
2021-06-02,2021,1.765,Chinook,152,0.003318280435117747,0,0,0,Inf
2021-06-03,2021,0,Chinook,153,0,1,0.004329004329004329,0.004329004329004329,0
2021-06-04,2021,4.737,Chinook,154,0.008905775876007233,0,0,0.004329004329004329,Inf
2021-06-05,2021,1.714,Chinook,155,0.0032223981109302086,2,0.008658008658008658,0.012987012987012988,0.3721869818124391
2021-06-06,2021,2.727,Chinook,156,0.005126884275674841,1,0.004329004329004329,0.017316017316017316,1.1843102676808883
2021-06-07,2021,3.128,Chinook,157,0.005880782550169016,0,0,0.017316017316017316,Inf
2021-06-08,2021,4.5,Chinook,158,0.008460205075371026,1,0.004329004329004329,0.021645021645021644,1.954307372410707
2021-06-09,2021,19.586,Chinook,159,0.036822572579159316,3,0.012987012987012988,0.03463203463203463,2.8353380885952673
2021-06-10,2021,24.407,Chinook,160,0.045886272283240145,3,0.012987012987012988,0.04761904761904762,3.533242965809491
2021-06-11,2021,11.635,Chinook,161,0.021874330233764866,12,0.05194805194805195,0.09956709956709957,0.42108085699997366
2021-06-12,2021,13.148,Chinook,162,0.024718839184661834,5,0.021645021645021644,0.12121212121212122,1.1420103703313769
2021-06-13,2021,11.137,Chinook,163,0.020938067538757137,5,0.021645021645021644,0.14285714285714285,0.9673387202905798
2021-06-14,2021,12.326,Chinook,164,0.023173441724227393,6,0.025974025974025976,0.16883116883116883,0.8921775063827546
2021-06-15,2021,7.798,Chinook,165,0.014660595372831837,6,0.025974025974025976,0.19480519480519481,0.5644329218540257
2021-06-16,2021,11.16,Chinook,166,0.020981308586920145,3,0.012987012987012988,0.2077922077922078,1.615560761192851
2021-06-17,2021,5.521,Chinook,167,0.010379731604694097,5,0.021645021645021644,0.22943722943722944,0.47954360013686725
2021-06-18,2021,19.248,Chinook,168,0.03618711717572034,1,0.004329004329004329,0.23376623376623376,8.359224067591398
2021-06-19,2021,14.566,Chinook,169,0.02738474380618986,7,0.030303030303030304,0.26406926406926406,0.9036965456042654
2021-06-20,2021,16.168,Chinook,170,0.030396576813021943,8,0.03463203463203463,0.2987012987012987,0.8777011554760086
2021-06-21,2021,10.984,Chinook,171,0.020650420566194524,8,0.03463203463203463,0.3333333333333333,0.5962808938488668
2021-06-22,2021,10.663,Chinook,172,0.020046925937484722,6,0.025974025974025976,0.3593073593073593,0.7718066485931617
2021-06-23,2021,25.565,Chinook,173,0.048063365055968955,3,0.012987012987012988,0.3722943722943723,3.7008791093096094
2021-06-24,2021,14.659,Chinook,174,0.027559588044414194,11,0.047619047619047616,0.4199134199134199,0.5787513489326981
2021-06-25,2021,19.163,Chinook,175,0.03602731330207444,4,0.017316017316017316,0.43722943722943725,2.0805773431947987
2021-06-26,2021,6.581,Chinook,176,0.01237257991133705,8,0.03463203463203463,0.47186147186147187,0.35725824493985736
2021-06-27,2021,20.252,Chinook,177,0.03807468293031423,4,0.017316017316017316,0.4891774891774892,2.198812939225647
2021-06-28,2021,42.722,Chinook,178,0.08031930694000022,8,0.03463203463203463,0.5238095238095238,2.3192199878925064
2021-06-29,2021,18.661,Chinook,179,0.0350835304247775,20,0.08658008658008658,0.6103896103896104,0.40521477640618014
2021-06-30,2021,21.834,Chinook,180,0.04104891502570022,9,0.03896103896103896,0.6493506493506493,1.0535888189929723
2021-07-01,2021,24.505,Chinook,181,0.046070516749325996,3,0.012987012987012988,0.6623376623376623,3.5474297896981013
2021-07-02,2021,2.74,Chinook,182,0.005151324868114803,10,0.04329004329004329,0.7056277056277056,0.11899560445345195
2021-07-03,2021,9.904,Chinook,183,0.018619971348105478,2,0.008658008658008658,0.7142857142857143,2.1506066907061827
2021-07-04,2021,8.22,Chinook,184,0.015453974604344408,6,0.025974025974025976,0.7402597402597403,0.5949780222672597
2021-07-05,2021,6.667,Chinook,185,0.012534263830555252,5,0.021645021645021644,0.7619047619047619,0.5790829889716527
2021-07-06,2021,6.587,Chinook,186,0.012383860184770877,4,0.017316017316017316,0.7792207792207793,0.7151679256705181
2021-07-07,2021,8.922,Chinook,187,0.016773766596102288,4,0.017316017316017316,0.7965367965367965,0.9686850209249072
2021-07-08,2021,10.765,Chinook,188,0.020238690585859802,5,0.021645021645021644,0.8181818181818182,0.9350275050667228
2021-07-09,2021,10.24,Chinook,189,0.019251666660399847,7,0.030303030303030304,0.8484848484848485,0.6353049997931949
2021-07-10,2021,10.825,Chinook,190,0.020351493320198078,3,0.012987012987012988,0.8614718614718615,1.5670649856552519
2021-07-11,2021,16.069,Chinook,191,0.03021045230136378,2,0.008658008658008658,0.8701298701298701,3.4893072408075168
2021-07-12,2021,7.993,Chinook,192,0.015027204259431248,9,0.03896103896103896,0.9090909090909091,0.38569824265873537
2021-07-13,2021,4.974,Chinook,193,0.009351346676643441,5,0.021645021645021644,0.9307359307359307,0.432032216460927
2021-07-14,2021,6.93,Chinook,194,0.01302871581607138,3,0.012987012987012988,0.9437229437229437,1.0032111178374963
2021-07-15,2021,5.25,Chinook,195,0.00987023925459953,4,0.017316017316017316,0.961038961038961,0.5700063169531229
2021-07-16,2021,6.318,Chinook,196,0.01187812792582092,2,0.008658008658008658,0.9696969696969697,1.3719237754323164
2021-07-17,2021,3.527,Chinook,197,0.00663092073351858,3,0.012987012987012988,0.9826839826839827,0.5105808964809306
2021-07-18,2021,0,Chinook,198,0,2,0.008658008658008658,0.9913419913419913,0
2021-07-19,2021,0,Chinook,199,0,0,0,0.9913419913419913,NA
2021-07-20,2021,0,Chinook,200,0,0,0,0.9913419913419913,NA
2021-07-21,2021,0,Chinook,201,0,0,0,0.9913419913419913,NA
2021-07-22,2021,0,Chinook,202,0,0,0,0.9913419913419913,NA
2021-07-23,2021,1.633,Chinook,203,0.00307011441957353,0,0,0.9913419913419913,Inf
