Date,Sample Year,CPUE,Species
6/1/21,2021,0,Chinook
6/2/21,2021,1.765,Chinook
6/3/21,2021,0,Chinook
6/4/21,2021,4.737,Chinook
6/5/21,2021,1.714,Chinook
6/6/21,2021,2.727,Chinook
6/7/21,2021,3.128,Chinook
6/8/21,2021,4.5,Chinook
6/9/21,2021,19.586,Chinook
6/10/21,2021,24.407,Chinook
6/11/21,2021,11.635,Chinook
6/12/21,2021,13.148,Chinook
6/13/21,2021,11.137,Chinook
6/14/21,2021,12.326,Chinook
6/15/21,2021,7.798,Chinook
6/16/21,2021,11.16,Chinook
6/17/21,2021,5.521,Chinook
6/18/21,2021,19.248,Chinook
6/19/21,2021,14.566,Chinook
6/20/21,2021,16.168,Chinook
6/21/21,2021,10.984,Chinook
6/22/21,2021,10.663,Chinook
6/23/21,2021,25.565,Chinook
6/24/21,2021,14.659,Chinook
6/25/21,2021,19.163,Chinook
6/26/21,2021,6.581,Chinook
6/27/21,2021,20.252,Chinook
6/28/21,2021,42.722,Chinook
6/29/21,2021,18.661,Chinook
6/30/21,2021,21.834,Chinook
7/1/21,2021,24.505,Chinook
7/2/21,2021,2.74,Chinook
7/3/21,2021,9.904,Chinook
7/4/21,2021,8.22,Chinook
7/5/21,2021,6.667,Chinook
7/6/21,2021,6.587,Chinook
7/7/21,2021,8.922,Chinook
7/8/21,2021,10.765,Chinook
7/9/21,2021,10.24,Chinook
7/10/21,2021,10.825,Chinook
7/11/21,2021,16.069,Chinook
7/12/21,2021,7.993,Chinook
7/13/21,2021,4.974,Chinook
7/14/21,2021,6.93,Chinook
7/15/21,2021,5.25,Chinook
7/16/21,2021,6.318,Chinook
7/17/21,2021,3.527,Chinook
7/18/21,2021,0,Chinook
7/19/21,2021,0,Chinook
7/20/21,2021,0,Chinook
7/21/21,2021,0,Chinook
7/22/21,2021,0,Chinook
7/23/21,2021,1.633,Chinook
7/24/21,2021,1.778,Chinook
7/25/21,2021,0,Chinook
7/26/21,2021,0,Chinook
7/27/21,2021,1.7,Chinook
7/28/21,2021,0,Chinook
7/29/21,2021,0,Chinook
7/30/21,2021,0,Chinook
7/31/21,2021,0,Chinook
8/1/21,2021,0,Chinook
8/2/21,2021,0,Chinook
8/3/21,2021,0,Chinook
8/4/21,2021,0,Chinook
8/5/21,2021,0,Chinook
8/6/21,2021,0,Chinook
8/7/21,2021,0,Chinook
8/8/21,2021,0,Chinook
8/9/21,2021,0,Chinook
8/10/21,2021,0,Chinook
8/11/21,2021,0,Chinook
8/12/21,2021,0,Chinook
8/13/21,2021,0,Chinook
8/14/21,2021,0,Chinook
8/15/21,2021,0,Chinook
8/16/21,2021,0,Chinook
8/17/21,2021,0,Chinook
8/18/21,2021,0,Chinook
8/19/21,2021,0,Chinook
8/20/21,2021,0,Chinook
8/21/21,2021,0,Chinook
8/22/21,2021,0,Chinook
8/23/21,2021,0,Chinook
8/24/21,2021,0,Chinook
