Date,dailyCatch,dailyCPUE,cumCPUE,year
2018-06-07,1,0.08,0.08,2018
2018-06-08,1,0.04,0.13,2018
2018-06-09,3,0.1,0.23,2018
2018-06-10,8,0.17,0.4,2018
2018-06-11,6,0.13,0.52,2018
2018-06-12,23,0.48,1,2018
2018-06-13,16,0.33,1.33,2018
2018-06-14,3,0.09,1.43,2018
2018-06-15,6,0.13,1.55,2018
2018-06-16,22,0.69,2.24,2018
2018-06-17,56,1.56,3.79,2018
2018-06-18,27,0.75,4.54,2018
2018-06-19,53,1.1,5.65,2018
2018-06-20,62,1.29,6.94,2018
2018-06-21,72,1.5,8.44,2018
2018-06-22,48,1,9.44,2018
2018-06-23,101,2.1,11.54,2018
2018-06-24,62,1.29,12.84,2018
2018-06-25,13,0.27,13.11,2018
2018-06-26,80,1.67,14.77,2018
2018-06-27,54,1.13,15.9,2018
2018-06-28,39,0.81,16.71,2018
2018-06-29,21,0.44,17.15,2018
2018-06-30,43,0.9,18.04,2018
2018-07-01,70,1.46,19.5,2018
2018-07-02,100,2.08,21.59,2018
2018-07-03,51,1.06,22.65,2018
2018-07-04,18,0.38,23.02,2018
2018-07-05,21,0.44,23.46,2018
2018-07-06,11,0.23,23.69,2018
2018-07-07,4,0.08,23.77,2018
2018-07-08,13,0.27,24.04,2018
2018-07-09,3,0.06,24.11,2018
2018-07-10,1,0.04,24.15,2018
2018-07-11,2,0.08,24.23,2018
2018-07-12,2,0.08,24.32,2018
