Date,year,CPUE,DOY,dailyPROP,cumPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
2019-06-02,2019,0.2,153,0.0052645433008686494,0.0052645433008686494,0,0,0,Inf
2019-06-03,2019,0.21,154,0.005527770465912082,0.01079231376678073,3,0.012711864406779662,0.012711864406779662,0.43485127665175044
2019-06-04,2019,0.21,155,0.005527770465912082,0.016320084232692815,2,0.00847457627118644,0.0211864406779661,0.6522769149776256
2019-06-05,2019,0.17,156,0.004474861805738352,0.020794946038431166,0,0,0.0211864406779661,Inf
2019-06-06,2019,0.46,157,0.012108449591997894,0.03290339563042906,7,0.029661016949152543,0.05084745762711865,0.4082277291016433
2019-06-07,2019,0.35,158,0.009212950776520136,0.042116346406949196,7,0.029661016949152543,0.0805084745762712,0.3106080547512503
2019-06-08,2019,0.1,159,0.0026322716504343247,0.04474861805738352,2,0.00847457627118644,0.08898305084745763,0.3106080547512503
2019-06-09,2019,0.15,160,0.003948407475651487,0.04869702553303501,1,0.00423728813559322,0.09322033898305085,0.9318241642537509
2019-06-10,2019,0.13,161,0.003421953145564622,0.05211897867859963,3,0.012711864406779662,0.10593220338983052,0.2691936474510836
2019-06-11,2019,0.35,162,0.009212950776520136,0.06133192945511976,5,0.0211864406779661,0.1271186440677966,0.43485127665175044
2019-06-12,2019,0.31,163,0.008160042116346406,0.06949197157146617,5,0.0211864406779661,0.1483050847457627,0.38515398789155036
2019-06-13,2019,0.38,164,0.010002632271650434,0.0794946038431166,5,0.0211864406779661,0.1694915254237288,0.4721242432219005
2019-06-14,2019,0.42,165,0.011055540931824164,0.09055014477494076,9,0.038135593220338986,0.2076271186440678,0.2899008511011669
2019-06-15,2019,0.71,166,0.018689128718083703,0.10923927349302447,11,0.046610169491525424,0.2542372881355932,0.4009667615879776
2019-06-16,2019,1.38,167,0.03632534877599368,0.14556462226901815,27,0.11440677966101695,0.3686440677966102,0.31751045596794475
2019-06-17,2019,1.4,168,0.03685180310608054,0.1824164253750987,19,0.08050847457627118,0.4491525423728814,0.457738185949211
2019-06-18,2019,2.63,169,0.06922874440642274,0.2516451697815214,26,0.11016949152542373,0.559322033898305,0.6283839876890679
2019-06-19,2019,2.38,170,0.06264806528033692,0.31429323506185836,26,0.11016949152542373,0.6694915254237288,0.5686516694676736
2019-06-20,2019,1.19,171,0.03132403264016846,0.34561726770202683,21,0.08898305084745763,0.7584745762711864,0.352022462051417
2019-06-21,2019,1.38,172,0.03632534877599368,0.38194261647802047,17,0.07203389830508475,0.8305084745762712,0.504281312419677
2019-06-22,2019,3,173,0.07896814951302975,0.46091076599105024,15,0.0635593220338983,0.8940677966101694,1.2424322190050014
2019-06-23,2019,2.96,174,0.077915240852856,0.5388260068439062,16,0.06779661016949153,0.961864406779661,1.149249802579626
2019-06-24,2019,1.27,175,0.03342984996051592,0.5722558568044221,9,0.038135593220338986,1,0.8766049545201953
2019-06-25,2019,0.5,176,0.013161358252171624,0.5854172150565938,0,0,1,Inf
2019-06-26,2019,1.56,177,0.04106343774677547,0.6264806528033693,0,0,1,Inf
2019-06-27,2019,3.21,178,0.08449591997894182,0.7109765727823111,0,0,1,Inf
2019-06-28,2019,1.65,179,0.04343248223216636,0.7544090550144774,0,0,1,Inf
2019-06-29,2019,1.33,180,0.03500921295077652,0.7894182679652539,0,0,1,Inf
2019-06-30,2019,2.52,181,0.06633324559094499,0.8557515135561989,0,0,1,Inf
2019-07-01,2019,2.1,182,0.05527770465912082,0.9110292182153198,0,0,1,Inf
2019-07-02,2019,1.17,183,0.0307975783100816,0.9418267965254014,0,0,1,Inf
2019-07-03,2019,0.68,184,0.017899447222953408,0.9597262437483548,0,0,1,Inf
2019-07-04,2019,0.33,185,0.008686496446433272,0.9684127401947881,0,0,1,Inf
2019-07-05,2019,0.06,186,0.0015793629902605948,0.9699921031850486,0,0,1,Inf
2019-07-06,2019,0.15,187,0.003948407475651487,0.9739405106607001,0,0,1,Inf
2019-07-07,2019,0.27,188,0.007107133456172677,0.9810476441168728,0,0,1,Inf
2019-07-08,2019,0.17,189,0.004474861805738352,0.9855225059226111,0,0,1,Inf
2019-07-09,2019,0.06,190,0.0015793629902605948,0.9871018689128718,0,0,1,Inf
2019-07-10,2019,0.08,191,0.0021058173203474598,0.9892076862332192,0,0,1,Inf
2019-07-11,2019,0.14,192,0.003685180310608055,0.9928928665438272,0,0,1,Inf
2019-07-12,2019,0.08,193,0.0021058173203474598,0.9949986838641747,0,0,1,Inf
2019-07-13,2019,0.19,194,0.005001316135825217,0.9999999999999999,0,0,1,Inf
