Date,Year,dailyCPUE,dailyCATCH,cumCPUE
2017-05-29,2017,0,0,0
2017-05-30,2017,0,0,0
2017-05-31,2017,0,0,0
2017-06-01,2017,0.08,2,0.08
2017-06-02,2017,0.04,1,0.12
2017-06-03,2017,0.08,2,0.2
2017-06-04,2017,0.21,5,0.41
2017-06-05,2017,0.38,9,0.79
2017-06-06,2017,0.59,19,1.38
2017-06-07,2017,0.4,19,1.78
2017-06-08,2017,0.13,6,1.91
2017-06-09,2017,0.67,31,2.58
2017-06-10,2017,0.75,54,3.33
2017-06-11,2017,0.9,43,4.23
2017-06-12,2017,1.56,75,5.79
2017-06-13,2017,1.29,62,7.08
2017-06-14,2017,1,48,8.08
2017-06-15,2017,0.39,14,8.47
2017-06-16,2017,1.13,54,9.6
2017-06-17,2017,1.35,65,10.95
2017-06-18,2017,1.46,70,12.41
2017-06-19,2017,1.17,56,13.58
2017-06-20,2017,1.15,55,14.73
2017-06-21,2017,1.17,56,15.9
2017-06-22,2017,0.81,39,16.71
2017-06-23,2017,0.67,32,17.38
2017-06-24,2017,1.46,70,18.84
2017-06-25,2017,1.23,59,20.07
2017-06-26,2017,0.83,40,20.9
2017-06-27,2017,1.27,61,22.17
2017-06-28,2017,0.86,31,23.03
2017-06-29,2017,1.21,29,24.24
2017-06-30,2017,0.5,12,24.74
2017-07-01,2017,0.29,7,25.03
2017-07-02,2017,0.67,16,25.7
2017-07-03,2017,0,2,25.7
2017-07-04,2017,0.29,7,25.99
2017-07-05,2017,0.25,6,26.24
2017-07-06,2017,0.38,9,26.62
2017-07-07,2017,0.38,9,27
2017-07-08,2017,0.17,4,27.17
2017-07-09,2017,0.17,4,27.34
2017-07-10,2017,0.33,8,27.67
2017-07-11,2017,0.13,3,27.8
2017-07-12,2017,0.04,1,27.84
2017-07-13,2017,0,0,27.84
