Date,Sample Year,Cumulative CPUE,dailyCPUE,Species,DOY,dailyPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
2018-06-01,2018,1.46,1.46,Chinook,151,0.0021879542627643153,0,0,0,Inf
2018-06-02,2018,3.22,1.76,Chinook,152,0.002637533905798079,1,0.00411522633744856,0.00411522633744856,0.6409207391089331
2018-06-03,2018,5.04,1.82,Chinook,153,0.0027274498344048315,1,0.00411522633744856,0.00823045267489712,0.662770309760374
2018-06-04,2018,11.4,6.36,Chinook,154,0.009531088432315786,1,0.00411522633744856,0.01234567901234568,2.316054489052736
2018-06-05,2018,12.73,1.33,Chinook,155,0.0019931364174496846,0,0,0.01234567901234568,Inf
2018-06-06,2018,12.73,0,Chinook,156,0,2,0.00823045267489712,0.020576131687242802,0
2018-06-07,2018,20.98,8.25,Chinook,157,0.012363440183428494,1,0.00411522633744856,0.02469135802469136,3.004315964573124
2018-06-08,2018,20.98,0,Chinook,158,0,2,0.00823045267489712,0.03292181069958848,0
2018-06-09,2018,28.92,7.94,Chinook,159,0.011898874552293607,0,0,0.03292181069958848,Inf
2018-06-10,2018,37.57,8.65,Chinook,160,0.012962879707473514,3,0.012345679012345678,0.04526748971193416,1.0499932563053547
2018-06-11,2018,49.35,11.78,Chinook,161,0.017653493983125778,3,0.012345679012345678,0.05761316872427984,1.4299330126331882
2018-06-12,2018,66.67,17.32,Chinook,162,0.02595573139114928,4,0.01646090534979424,0.07407407407407407,1.5768106820123187
2018-06-13,2018,90.66,23.99,Chinook,163,0.03595138545459995,7,0.02880658436213992,0.102880658436214,1.2480266664953983
2018-06-14,2018,112.43,21.77,Chinook,164,0.0326244960961501,8,0.03292181069958848,0.13580246913580246,0.9909690689205591
2018-06-15,2018,145.39,32.96,Chinook,165,0.04939381678130948,10,0.0411522633744856,0.17695473251028807,1.2002697477858204
2018-06-16,2018,161.04,15.65,Chinook,166,0.023453071378261327,12,0.04938271604938271,0.22633744855967078,0.47492469540979193
2018-06-17,2018,174.3,13.26,Chinook,167,0.019871420222092345,6,0.024691358024691357,0.25102880658436216,0.80479251899474
2018-06-18,2018,188.73,14.43,Chinook,168,0.02162478082992402,5,0.0205761316872428,0.2716049382716049,1.0509643483343074
2018-06-19,2018,198.64,9.91,Chinook,169,0.01485111420821532,5,0.0205761316872428,0.29218106995884774,0.7217641505192646
2018-06-20,2018,212.68,14.04,Chinook,170,0.02104032729398013,2,0.00823045267489712,0.3004115226337449,2.5563997662185853
2018-06-21,2018,221.17,8.49,Chinook,171,0.012723103897855506,5,0.0205761316872428,0.32098765432098764,0.6183428494357777
2018-06-22,2018,234.53,13.36,Chinook,172,0.020021280103103598,3,0.012345679012345678,0.3333333333333333,1.6217236883513915
2018-06-23,2018,274.89,40.36,Chinook,173,0.06048344797614231,6,0.024691358024691357,0.35802469135802467,2.4495796430337635
2018-06-24,2018,305.9,31.01,Chinook,174,0.046471549101590015,15,0.06172839506172839,0.41975308641975306,0.7528390954457583
2018-06-25,2018,354.05,48.15,Chinook,175,0.07215753270691903,13,0.053497942386831275,0.4732510288065844,1.3487908036754865
2018-06-26,2018,386.59,32.54,Chinook,176,0.048764405281062205,18,0.07407407407407407,0.5473251028806584,0.6583194712943398
2018-06-27,2018,405.65,19.06,Chinook,177,0.028563293320745104,16,0.06584362139917696,0.6131687242798354,0.4338050173088162
2018-06-28,2018,433.75,28.1,Chinook,178,0.042110626564162514,6,0.024691358024691357,0.6378600823045267,1.705480375848582
2018-06-29,2018,461.42,27.67,Chinook,179,0.04146622907581412,9,0.037037037037037035,0.6748971193415638,1.1195881850469813
2018-06-30,2018,480.78,19.36,Chinook,180,0.029012872963778868,12,0.04938271604938271,0.7242798353909465,0.5875106775165221
2018-07-01,2018,507.21,26.43,Chinook,181,0.03960796655127456,8,0.03292181069958848,0.757201646090535,1.2030919839949648
