GroupID,Trib
NA,Eek
1,Kwethluk
2,Kisaralik
2,Tuluksak
2,Aniak
2,Holokuk
2,Oskawalik
3,George
3,Holitina
2,Upper.Stony
3,Stony.River
4,Swift
4,Tatlawiksuk
4,Cheneetnuk
4,Gagariah
3,Takotna
4,Salmon.R.Pitka.Fork
4,Pitka.Fork
4,Middle.Fork.Kuskokwim
2,Upper.SouthFork
4,South.Fork.Kuskokwim
5,East.Fork.Kuskowim
5,Upper.Kuskoswim
5,North.Fork.Kuskokwim
2,LowerTrib1
3,MidTrib9
3,MidTrib8
3,MidTrib7
3,MidTrib6
3,MidTrib5
3,MidTrib3
3,MidTrib4
4,MidTrib1
4,MidTrib2
