number,mixture_collection,indiv,repunit,collection,PofZ,n_miss_loci,TF_YEAR_ID,FishID,QC_or_RR
65,2015,KLYUTF15_0001rr,upper,Nordenskiold_R,7.43E-05,0,KLYUTF15,1,rr
66,2015,KLYUTF15_0001rr,upper,Little_Salmon_R,0.00154125,0,KLYUTF15,1,rr
67,2015,KLYUTF15_0001rr,upper,Big_Salmon_R,0.000180395,0,KLYUTF15,1,rr
68,2015,KLYUTF15_0001rr,upper,Nisutlin_R,0.006990076,0,KLYUTF15,1,rr
69,2015,KLYUTF15_0001rr,upper,Teslin_R,0.009377556,0,KLYUTF15,1,rr
70,2015,KLYUTF15_0001rr,upper,Morley_R,0.599766779,0,KLYUTF15,1,rr
71,2015,KLYUTF15_0001rr,upper,Takhini_R,0.007927996,0,KLYUTF15,1,rr
72,2015,KLYUTF15_0001rr,upper,Whitehorse,0.036679565,0,KLYUTF15,1,rr
73,2015,KLYUTF15_0002rr,lower,Andreafsky_R,1.99E-05,0,KLYUTF15,2,rr
74,2015,KLYUTF15_0002rr,lower,Anvik_R,5.86E-05,0,KLYUTF15,2,rr
75,2015,KLYUTF15_0002rr,lower,Nulato_R,2.57E-05,0,KLYUTF15,2,rr
76,2015,KLYUTF15_0002rr,lower,Gisasa_R,0.032273894,0,KLYUTF15,2,rr
77,2015,KLYUTF15_0002rr,lower,Kateel_R,0.009918475,0,KLYUTF15,2,rr
78,2015,KLYUTF15_0002rr,lower,Tozitna_R,0.304768431,0,KLYUTF15,2,rr
79,2015,KLYUTF15_0002rr,middle,S_Fk_Koyukuk_R,0.00936015,0,KLYUTF15,2,rr
80,2015,KLYUTF15_0002rr,middle,Henshaw_Creek,0.000233411,0,KLYUTF15,2,rr
81,2015,KLYUTF15_0002rr,middle,Kantishna_R,0.004590691,0,KLYUTF15,2,rr
82,2015,KLYUTF15_0002rr,middle,Chatanika_R,0.310232197,0,KLYUTF15,2,rr
83,2015,KLYUTF15_0002rr,middle,Chena_R,0.011083699,0,KLYUTF15,2,rr
84,2015,KLYUTF15_0002rr,middle,Salcha_R,0.070418653,0,KLYUTF15,2,rr
85,2015,KLYUTF15_0002rr,middle,Goodpaster_R,0.167972897,0,KLYUTF15,2,rr
86,2015,KLYUTF15_0002rr,middle,Beaver_Ck,0.075337202,0,KLYUTF15,2,rr
87,2015,KLYUTF15_0002rr,middle,Chandalar_R,0.000463296,0,KLYUTF15,2,rr
88,2015,KLYUTF15_0002rr,middle,Sheenjek_R,0.000833871,0,KLYUTF15,2,rr
89,2015,KLYUTF15_0002rr,middle,Coleen_R,1.24E-05,0,KLYUTF15,2,rr
90,2015,KLYUTF15_0002rr,upper,Kandik_R,2.34E-06,0,KLYUTF15,2,rr
91,2015,KLYUTF15_0002rr,upper,Chandindu_R,1.49E-06,0,KLYUTF15,2,rr
92,2015,KLYUTF15_0002rr,upper,Klondike_R,3.55E-07,0,KLYUTF15,2,rr
93,2015,KLYUTF15_0002rr,upper,Porcupine_R,3.23E-06,0,KLYUTF15,2,rr
94,2015,KLYUTF15_0002rr,upper,Stewart_R,0.000735824,0,KLYUTF15,2,rr
95,2015,KLYUTF15_0002rr,upper,Mayo_R,0.000738383,0,KLYUTF15,2,rr
96,2015,KLYUTF15_0002rr,upper,Pelly_R,2.35E-06,0,KLYUTF15,2,rr
97,2015,KLYUTF15_0002rr,upper,Blind_CK,5.39E-05,0,KLYUTF15,2,rr
98,2015,KLYUTF15_0002rr,upper,Tincup_Creek,1.91E-07,0,KLYUTF15,2,rr
99,2015,KLYUTF15_0002rr,upper,Yukon_R_Mainstem,7.10E-06,0,KLYUTF15,2,rr
