original_reachid,upstream_reachid,reachbase
927,927,4
927,902,4
927,925,4
1013,1013,4
1013,994,4
1013,1016,4
1034,1034,4
1034,979,4
1034,1023,4
1055,1055,4
1055,996,4
1055,1038,4
1055,961,4
1055,1031,4
1055,1011,4
1055,1030,4
1055,978,4
1055,1003,4
1055,935,4
1055,992,4
1082,1082,4
1082,1062,4
1082,1076,4
1082,1066,4
1082,1110,4
1097,1097,4
1097,1092,4
1097,1203,4
1097,1148,4
1097,1220,4
1097,1131,4
1097,1168,4
1097,1228,4
1097,1268,4
1120,1120,4
1120,1060,4
1120,1080,4
1150,1150,4
1150,1104,4
1150,1142,4
1185,1185,4
1185,1202,4
1185,1276,4
1185,1178,4
1185,1211,4
1190,1190,4
1190,1174,4
1190,1179,4
1249,1249,4
1249,1242,4
1249,1267,4
1249,1260,4
1249,1283,4
1318,1318,4
1318,1324,4
1318,1334,4
1323,1323,4
1323,1259,4
1323,1325,4
1323,1187,4
1323,1258,4
1323,1116,4
1323,1132,4
1323,1019,4
1323,1026,4
1323,950,4
1323,1027,4
1323,951,4
1323,984,4
1345,1345,4
1345,1214,4
1345,1295,4
1345,1257,4
1345,1294,4
1387,1387,4
1387,1304,4
1387,1388,4
1387,1279,4
1387,1301,4
1387,1284,4
1387,1331,4
1397,1397,4
1397,1286,4
1397,1371,4
1397,1193,4
1397,1287,4
1397,1156,4
1397,1201,4
1397,1048,4
1397,1107,4
1420,1420,4
1420,1350,4
1420,1494,4
1420,1481,4
1420,1493,4
1420,1285,4
1420,1337,4
1484,1484,4
1484,1442,4
1484,1475,4
1503,1503,4
1503,1489,4
1503,1536,4
1503,1374,4
1503,1385,4
1521,1521,4
1521,1509,4
1521,1523,4
1521,1440,4
1521,1458,4
1521,1310,4
1521,1455,4
1521,1450,4
1521,1482,4
1535,1535,4
1535,1559,4
1535,1570,4
1535,1591,4
1535,1598,4
1754,1754,4
1754,1756,4
1754,1787,4
1754,1736,4
1754,1828,4
1754,1834,4
1754,1862,4
1754,1911,4
1754,2008,4
1571,1571,4
1571,1519,4
1571,1587,4
1588,1588,4
1588,1621,4
1588,1650,4
1588,1696,4
1588,1697,4
1589,1589,4
1589,1398,4
1589,1505,4
1589,1451,4
1589,1491,4
1601,1601,4
1601,1619,4
1601,1620,4
1613,1613,4
1613,1568,4
1613,1597,4
1614,1614,4
1614,1534,4
1614,1600,4
1614,1527,4
1614,1573,4
1614,1423,4
1614,1526,4
1614,1412,4
1614,1472,4
1614,1344,4
1614,1425,4
1614,1297,4
1614,1332,4
1628,1628,4
1628,1610,4
1628,1618,4
1628,1479,4
1628,1638,4
1628,1382,4
1628,1531,4
1628,1264,4
1628,1291,4
1628,1225,4
1628,1328,4
1628,1083,4
1628,1216,4
1628,1180,4
1628,1236,4
1673,1673,4
1673,1667,4
1673,1677,4
1673,1641,4
1673,1680,4
1673,1648,4
1673,1686,4
1673,1579,4
1673,1655,4
1689,1689,4
1689,1683,4
1689,1747,4
1693,1693,4
1693,1576,4
1693,1692,4
1694,1694,4
1694,1688,4
1694,1703,4
1694,1757,4
1694,1778,4
1700,1700,4
1700,1639,4
1700,1879,4
1700,1906,4
1700,1915,4
1700,1968,4
1700,2011,4
1702,1702,4
1702,1669,4
1702,1763,4
1702,1643,4
1702,1660,4
1715,1715,4
1715,1701,4
