series,threshold,n_fish,mean_pct,median_pct,p10_pct,p25_pct,p75_pct,p90_pct
Yukon threshold,0,901,61.033047471923126,56.470326831445895,23.00965629430974,40.054984068606345,96.52531090005225,96.52531090005225
Yukon threshold,0.1,901,28.515867074873892,24.932922209283483,11.38028339193459,20.88897148878141,30.522417330620748,54.448654218615914
Yukon threshold,0.2,901,24.46323314433599,22.03621053284864,7.346542248909884,18.980046521942644,26.442146785330326,43.82138769942987
Yukon threshold,0.30000000000000004,901,21.732536536258127,20.06375711158783,5.807886255005965,16.628399031415256,23.722569906641773,36.24712778351111
Yukon threshold,0.4,901,19.3836171237358,18.743375317323157,4.900073777907679,14.49869752986388,20.95291067498787,30.614418606748718
Yukon threshold,0.5,901,17.22806546472644,17.095742933047333,4.172906879918872,12.395591790236754,18.535388588177025,24.501413205795785
Yukon threshold,0.6000000000000001,901,15.219644484564762,15.453158659402519,3.5570271922658034,10.27866249938263,16.835526075708522,20.932557175183657
Yukon threshold,0.7000000000000001,901,13.168275946219396,12.8873922976081,2.913669296866354,8.238643574316281,15.825473616241409,18.47915090708981
Yukon threshold,0.8,901,10.844763378892663,9.834267472026632,2.2524040195768773,6.347193998510824,14.33147691834131,15.259055549759923
Yukon threshold,0.9,901,7.7182331759508,6.861507909450979,1.6357096971824063,4.512027939766945,10.374778094872104,12.693423521909766
Kuskokwim no threshold,0,1465,75.00999041591098,75.08351371568916,74.92645540990748,75.08351371568916,75.08351371568916,75.08351371568916
