fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian
2021_yk_102,703.2147839,827.9045448,0.716186128,0.002179132,124.6897609,102,0021-06-11,162
2021_yk_103,496.179918,885.9959232,0.706530969,0.001007454,389.8160052,103,0021-06-11,162
2021_yk_104,739.5783664,938.1981576,0.715321597,0.001921598,198.6197912,104,0021-06-11,162
2021_yk_105,491.8996765,632.7772829,0.715881312,0.001675531,140.8776065,105,0021-06-11,162
2021_yk_110,610.8560137,845.2562317,0.706444387,7.96E-04,234.400218,110,0021-06-12,163
2021_yk_112,715.0307355,843.1555151,0.731004465,0.001807616,128.1247796,112,0021-06-12,163
2021_yk_115,906.6797979,1173.389869,0.717535851,0.002144099,266.7100709,115,0021-06-12,163
2021_yk_117,669.4730282,940.1555615,0.715397687,0.003945622,270.6825333,117,0021-06-12,163
2021_yk_118_R1,1057.325908,1304.344387,0.712099132,0.002072344,247.0184788,118,0021-06-12,163
2021_yk_120,387.4585401,634.2204432,0.723585144,0.001837072,246.7619031,120,0021-06-13,164
2021_yk_122,562.2071526,700.054328,0.713315829,0.002582484,137.8471754,122,0021-06-13,164
2021_yk_124,511.7021943,687.149406,0.711551953,0.003922609,175.4472117,124,0021-06-13,164
2021_yk_124a,438.112819,599.6886446,0.710711845,0.003322497,161.5758256,124,0021-06-13,164
2021_yk_126_R1,510.815223,751.7662165,0.714692931,0.002220351,240.9509935,126,0021-06-13,164
2021_yk_127,487.6769393,762.2985115,0.722940914,0.002330583,274.6215722,127,0021-06-13,164
2021_yk_128,635.2016488,839.1983854,0.716075997,0.002125533,203.9967367,128,0021-06-13,164
2021_yk_131,568.2947402,761.4062573,0.71802099,0.001904142,193.1115171,131,0021-06-14,165
2021_yk_132,902.57621,1155.668991,0.721716325,0.002179689,253.092781,132,0021-06-15,166
2021_yk_133_R1,822.3986083,945.9499463,0.708835993,0.003079312,123.551338,133,0021-06-15,166
2021_yk_134,644.0117237,733.8453115,0.720851614,0.001627729,89.83358784,134,0021-06-15,166
2021_yk_135,696.2649426,872.0575895,0.74075127,0.002572734,175.7926469,135,0021-06-15,166
2021_yk_136,670.4156867,883.1627899,0.718969432,0.00244011,212.7471032,136,0021-06-15,166
2021_yk_138,458.8397452,605.4325507,0.719240525,0.001249511,146.5928054,138,0021-06-15,166
2021_yk_139,607.1777842,1050.161849,0.709472149,0.004166607,442.9840644,139,0021-06-15,166
2021_yk_140,480.3669998,665.8176692,0.718440673,0.002157655,185.4506694,140,0021-06-15,166
2021_yk_143,732.8073406,859.2386013,0.705939169,8.93E-04,126.4312606,143,0021-06-15,166
2021_yk_144,543.8603287,690.5632482,0.721112672,0.001371507,146.7029195,144,0021-06-15,166
2021_yk_145,985.4135748,1082.435282,0.709768323,0.001917602,97.02170711,145,0021-06-15,166
2021_yk_147,655.9502209,940.204366,0.715732505,0.003097455,284.2541452,147,0021-06-15,166
2021_yk_149,547.7346031,731.4426841,0.71936432,0.002511129,183.7080811,149,0021-06-15,166
2021_yk_150,170.7370013,434.8322863,0.706693479,0.001586314,264.095285,150,0021-06-15,166
2021_yk_156,700.4119425,818.1943554,0.70965366,0.002423063,117.7824129,156,0021-06-16,167
2021_yk_157_R1,546.6524349,690.200879,0.721719506,0.002120728,143.5484441,157,0021-06-16,167
2021_yk_159_R1,566.3598227,729.2323371,0.722712297,0.001253828,162.8725143,159,0021-06-16,167
2021_yk_160,565.8666409,733.2726585,0.723197412,0.002633936,167.4060176,160,0021-06-16,167
2021_yk_161,524.4177369,723.4664024,0.707145847,8.30E-04,199.0486655,161,0021-06-16,167
2021_yk_162,503.5667795,618.5630995,0.72252955,0.001539214,114.99632,162,0021-06-17,168
2021_yk_163,651.4381105,816.1671119,0.714574872,0.001940208,164.7290014,163,0021-06-17,168
2021_yk_164,488.538996,575.5436913,0.715767346,0.001615149,87.00469531,164,0021-06-18,169
2021_yk_165,666.6440124,817.1830271,0.722967494,0.002154811,150.5390146,165,0021-06-18,169
2021_yk_167,817.5940238,932.9230742,0.709404467,0.003384499,115.3290504,167,0021-06-18,169
2021_yk_170,611.1597262,817.6080755,0.714021914,0.00122179,206.4483493,170,0021-06-18,169
2021_yk_171,814.4051079,1042.563239,0.722518574,0.001430848,228.1581313,171,0021-06-18,169
2021_yk_172,782.1429606,983.887634,0.71465473,0.00388159,201.7446734,172,0021-06-18,169
2021_yk_173,590.6732958,691.2531653,0.721265778,0.001568638,100.5798695,173,0021-06-18,169
2021_yk_175,426.5395121,604.2475761,0.717878408,0.002801226,177.708064,175,0021-06-18,169
2021_yk_181,684.5206021,858.125787,0.723943936,0.00167502,173.605185,181,0021-06-21,172
2021_yk_183,706.9860062,880.707176,0.714068764,0.003231814,173.7211698,183,0021-06-21,172
2021_yk_184,903.024233,1053.142216,0.710029512,0.002716575,150.1179832,184,0021-06-21,172
2021_yk_185,812.7447371,1068.550568,0.712193224,0.001589099,255.8058312,185,0021-06-21,172
2021_yk_186,820.8127131,991.7984326,0.706564989,0.001091566,170.9857195,186,0021-06-21,172
2021_yk_187,579.0748392,876.8671499,0.710110266,0.004762869,297.7923107,187,0021-06-21,172
2021_yk_188,626.9970126,838.2599954,0.714545871,0.002993282,211.2629828,188,0021-06-21,172
2021_yk_191,477.1456156,760.5013498,0.719893785,0.002781459,283.3557343,191,0021-06-21,172
2021_yk_192,245.8457246,381.5782983,0.715158155,0.00135082,135.7325737,192,0021-06-21,172
2021_yk_193,832.8074844,945.5277507,0.728367006,0.002273197,112.7202663,193,0021-06-21,172
2021_yk_195,813.3935504,1011.023974,0.731739006,0.001853286,197.6304232,195,0021-06-21,172
2021_yk_198,492.0185927,807.7699901,0.709981397,0.002565791,315.7513974,198,0021-06-22,173
2021_yk_200,897.1552791,1020.941938,0.722423481,0.001750163,123.7866591,200,0021-06-22,173
2021_yk_202,945.255394,1027.112207,0.712048498,0.002162993,81.85681267,202,0021-06-15,166
2021_yk_203,556.5572138,790.4576579,0.718597373,0.003465697,233.9004441,203,0021-06-16,167
2021_yk_204,821.3034666,1122.457411,0.70952559,0.00503257,301.1539447,204,0021-06-16,167
2021_yk_206,687.5342017,789.9324667,0.713907505,0.002067232,102.398265,206,0021-06-18,169
2021_yk_207,459.328322,643.0495468,0.715850799,0.00214598,183.7212247,207,0021-06-18,169
2021_yk_208,589.5398713,834.2481262,0.714706777,0.002286499,244.7082549,208,0021-06-27,178
2021_yk_210,541.6371342,669.7734558,0.709261974,0.002516108,128.1363216,210,0021-06-28,179
2021_yk_211,528.9750819,770.2470357,0.710229679,0.004102367,241.2719538,211,0021-06-28,179
2021_yk_213,388.0068827,662.6301078,0.715103168,0.002637142,274.6232251,213,0021-06-30,181
