fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date_julian,file.id,capture_date
2017_yk_066,NA,NA,0.71227946,NA,NA,66,169,2017_yukon_king_yk066.exp,6/18/17
2017_yk_068,NA,NA,0.73076988,NA,NA,68,169,2017_yukon_king_yk068.exp,6/18/17
2017_yk_070_a,NA,NA,0.72021957,NA,NA,70,170,2017_yukon_king_yk070_a.exp,6/19/17
2017_yk_071,NA,NA,0.72665936,NA,NA,71,170,2017_yukon_king_yk071.exp,6/19/17
2017_yk_072,NA,NA,0.70768391,NA,NA,72,170,2017_yukon_king_yk072.exp,6/19/17
2017_yk_074,NA,NA,0.70660223,NA,NA,74,170,2017_yukon_king_yk074.exp,6/19/17
2017_yk_075,NA,NA,0.71402258,NA,NA,75,170,2017_yukon_king_yk075.exp,6/19/17
2017_yk_076,NA,NA,0.71010346,NA,NA,76,170,2017_yukon_king_yk076.exp,6/19/17
2017_yk_077,NA,NA,0.70725253,NA,NA,77,170,2017_yukon_king_yk077.exp,6/19/17
2017_yk_079,NA,NA,0.71179221,NA,NA,79,170,2017_yukon_king_yk079.exp,6/19/17
2017_yk_080,NA,NA,0.70844361,NA,NA,80,170,2017_yukon_king_yk080.exp,6/19/17
2017_yk_081,NA,NA,0.70725742,NA,NA,81,170,2017_yukon_king_yk081.exp,6/19/17
2017_yk_083,NA,NA,0.71282072,NA,NA,83,170,2017_yukon_king_yk083.exp,6/19/17
2017_yk_086,NA,NA,0.71184381,NA,NA,86,171,2017_yukon_king_yk086.exp,6/20/17
2017_yk_087,NA,NA,0.71095768,NA,NA,87,171,2017_yukon_king_yk087.exp,6/20/17
2017_yk_088,NA,NA,0.71210433,NA,NA,88,171,2017_yukon_king_yk088.exp,6/20/17
2017_yk_091,NA,NA,0.70673325,NA,NA,91,171,2017_yukon_king_yk091.exp,6/20/17
2017_yk_092,NA,NA,0.71380319,NA,NA,92,171,2017_yukon_king_yk092.exp,6/20/17
2017_yk_093,NA,NA,0.71242593,NA,NA,93,171,2017_yukon_king_yk093.exp,6/20/17
2017_yk_094,NA,NA,0.72232313,NA,NA,94,171,2017_yukon_king_yk094.exp,6/20/17
2017_yk_095,NA,NA,0.72458111,NA,NA,95,171,2017_yukon_king_yk095.exp,6/20/17
