fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian
2019_kk_001,568.4509113,702.4795705,0.710136755,0.002335188,134.0286592,1,0019-05-29,149
2019_kk_002,790.1462314,999.5034763,0.709621534,3.83E-04,209.3572449,2,0019-05-30,150
2019_kk_007,596.8527988,852.8005022,0.709103051,0.001665695,255.9477034,7,0019-06-01,152
2019_kk_009,596.4287718,749.7124205,0.706681823,0.002444684,153.2836486,9,0019-06-04,155
2019_kk_011,819.6957098,1020.626486,0.709448682,0.001709864,200.9307762,11,0019-06-04,155
2019_kk_013,939.3916187,1263.855665,0.708986175,8.08E-04,324.4640461,13,0019-06-04,155
2019_kk_014,945.9052513,1276.401896,0.708917444,0.001788751,330.4966449,14,0019-06-05,156
2019_kk_015,422.1465258,617.4035499,0.709110583,5.99E-04,195.2570241,15,0019-06-05,156
2019_kk_016,345.6174899,507.656063,0.708694975,0.001944636,162.0385731,16,0019-06-06,157
2019_kk_017,1559.102472,1697.819516,0.708257741,0.001056962,138.717044,17,0019-06-06,157
2019_kk_019,758.4015412,885.9405689,0.710538994,0.003745675,127.5390277,19,0019-06-06,157
2019_kk_021,858.5387829,1090.130037,0.708818657,0.001858029,231.5912538,21,0019-06-06,157
2019_kk_023,870.4010319,1153.321154,0.70961969,0.001658512,282.9201218,23,0019-06-07,158
2019_kk_026,1167.892186,1535.383048,0.706812111,0.002429975,367.4908622,26,0019-06-07,158
2019_kk_029,780.5648909,949.5217505,0.709324029,0.002676721,168.9568596,29,0019-06-07,158
2019_kk_030,990.3182694,1178.942314,0.709311605,2.94E-04,188.6240443,30,0019-06-07,158
2019_kk_031,959.6488469,1159.677441,0.70838891,0.001642578,200.0285945,31,0019-06-08,159
2019_kk_034,677.4257848,903.1670666,0.709903419,0.002756768,225.7412818,34,0019-06-08,159
2019_kk_035,917.2463853,1050.173594,0.706127958,0.002072254,132.9272083,35,0019-06-08,159
2019_kk_036,729.6023186,910.7198359,0.707336927,0.00151137,181.1175172,36,0019-06-08,159
2019_kk_038,1344.653876,1466.372904,0.705019216,0.001733505,121.7190278,38,0019-06-08,159
2019_kk_041,962.2636414,1146.335097,0.708946827,0.00241123,184.0714552,41,0019-06-08,159
2019_kk_045,989.0478399,1184.058097,0.707830682,0.001075993,195.0102567,45,0019-06-08,159
2019_kk_046,1086.810095,1316.411637,0.707805804,0.003289688,229.6015416,46,0019-06-09,160
2019_kk_047,615.4625225,858.6118978,0.710046888,0.003130593,243.1493753,47,0019-06-09,160
2019_kk_048,1763.850308,1924.943986,0.708286247,0.003791681,161.0936781,48,0019-06-09,160
2019_kk_050,1052.899198,1337.640356,0.709462262,2.85E-04,284.7411575,50,0019-06-09,160
2019_kk_051,1334.627911,1580.633878,0.709059564,0.001967454,246.0059676,51,0019-06-09,160
2019_kk_053,1257.376018,1449.612762,0.707096336,0.003057176,192.236744,53,0019-06-09,160
2019_kk_054,1149.934842,1248.089501,0.707558912,0.004428539,98.15465904,54,0019-06-09,160
2019_kk_056,1394.914875,1684.432685,0.705441732,0.003082418,289.5178094,56,0019-06-09,160
2019_kk_057,1108.667297,1290.329446,0.709111932,0.002691691,181.6621496,57,0019-06-09,160
2019_kk_058,915.6580842,1114.37503,0.705055876,0.00197282,198.7169454,58,0019-06-09,160
2019_kk_059,1550.506508,1724.482545,0.710226267,0.00268689,173.9760366,59,0019-06-09,160
