fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian
2020_kk_001_redo,1030.080964,1238.562995,0.709497451,0.001465774,208.4820312,1,0020-05-27,148
2020_kk_002,836.5816542,938.4562005,0.709955552,0.002832093,101.8745463,2,0020-05-30,151
2020_kk_003,710.7180151,904.2274054,0.709537129,0.001906923,193.5093903,3,0020-05-31,152
2020_kk_004,911.7028315,1074.897138,0.707768757,8.26E-04,163.1943069,4,0020-06-01,153
2020_kk_005_redo,832.5663826,975.259717,0.710052556,0.001978797,142.6933344,5,0020-06-04,156
2020_kk_006,794.3275413,927.4050601,0.709493403,0.002307485,133.0775188,6,0020-06-06,158
2020_kk_007,801.3980512,975.6986094,0.710002033,0.002519038,174.3005582,7,0020-06-06,158
2020_kk_008_redo,1180.989805,1466.095275,0.709628547,0.001665624,285.1054702,8,0020-06-06,158
2020_kk_009,1210.296827,1327.176971,0.709966686,0.002637333,116.8801432,9,0020-06-06,158
2020_kk_010,708.0527113,908.1686038,0.709970553,0.002297533,200.1158925,10,0020-06-06,158
2020_kk_011_redo,1249.726684,1458.931105,0.709555746,0.001792522,209.2044214,11,0020-06-07,159
2020_kk_012,718.45024,900.6624819,0.709567191,0.001838146,182.2122419,12,0020-06-07,159
2020_kk_013,994.0372325,1112.585097,0.709845826,0.002361728,118.547865,13,0020-06-07,159
2020_kk_014_redo,869.3671165,1015.171198,0.706193312,9.98E-04,145.8040811,14,0020-06-07,159
2020_kk_015,933.4971842,1125.629188,0.706902897,0.00124731,192.132004,15,0020-06-07,159
2020_kk_016,731.8151866,931.3264464,0.70618811,0.001406383,199.5112598,16,0020-06-07,159
2020_kk_017,1714.94665,1860.220572,0.708474882,0.001639255,145.2739217,17,0020-06-07,159
2020_kk_018_redo,1682.864928,1825.692589,0.709121576,0.001864084,142.8276612,18,0020-06-07,159
2020_kk_019,660.7589155,828.8937641,0.705709541,0.00194643,168.1348486,19,0020-06-08,160
2020_kk_020_redo,1274.555772,1386.05987,0.705869266,0.001437983,111.5040984,20,0020-06-08,160
2020_kk_021_redo,1242.593809,1453.667553,0.709468582,0.001722373,211.0737444,21,0020-06-09,161
2020_kk_022,501.4450629,580.1569986,0.709951195,0.002078975,78.71193568,22,0020-06-09,161
2020_kk_023,863.6721233,1051.295737,0.709537579,0.001986432,187.623614,23,0020-06-09,161
2020_kk_024,592.7602441,772.6368982,0.710158922,0.002780902,179.876654,24,0020-06-09,161
2020_kk_025,733.6511499,917.5113239,0.70977702,0.00204642,183.860174,25,0020-06-09,161
2020_kk_026,409.1663357,521.8647605,0.709600476,0.001497184,112.6984248,26,0020-06-09,161
2020_kk_027,715.880688,875.1327527,0.708424563,0.002720341,159.2520647,27,0020-06-09,161
2020_kk_028,676.27242,811.8482098,0.709079397,0.002125415,135.5757899,28,0020-06-09,161
2020_kk_030,628.4216125,730.6166233,0.709873922,0.004842343,102.1950108,30,0020-06-10,162
2020_kk_031,700.9469853,867.1828606,0.705778453,0.001793344,166.2358753,31,0020-06-10,162
2020_kk_032,696.1020729,854.5866507,0.710371,0.002589225,158.4845778,32,0020-06-10,162
2020_kk_033,840.5120588,966.2520785,0.706366748,0.001450061,125.7400197,33,0020-06-10,162
2020_kk_034,747.533167,916.9552712,0.70558531,9.44E-04,169.4221042,34,0020-06-10,162
2020_kk_035,930.6346353,1027.400696,0.710978883,0.001837241,96.76606053,35,0020-06-10,162
2020_kk_036,684.5611345,846.1673797,0.706465811,0.001189544,161.6062453,36,0020-06-10,162
2020_kk_037,844.6362338,1057.011204,0.70976951,0.001681485,212.3749702,37,0020-06-10,162
2020_kk_038,957.1258109,1141.394215,0.709041306,0.001973899,184.2684037,38,0020-06-10,162
2020_kk_039_redo,1015.62554,1175.45994,0.705764803,0.001161553,159.8344,39,0020-06-11,163
2020_kk_040,780.5498392,1062.102305,0.709786668,0.001960123,281.5524661,40,0020-06-11,163
2020_kk_041,690.2511938,854.9794542,0.706094544,0.001202754,164.7282605,41,0020-06-11,163
2020_kk_042,866.1166797,973.9323243,0.708040238,7.53E-04,107.8156447,42,0020-06-11,163
2020_kk_043,610.7224114,832.3295906,0.706107825,0.001474436,221.6071792,43,0020-06-11,163
2020_kk_044_redo,1203.355891,1359.821926,0.708125533,0.003068777,156.4660346,44,0020-06-12,164
2020_kk_045,839.003062,1007.738269,0.709388883,0.00180979,168.7352065,45,0020-06-12,164
2020_kk_046,1049.233059,1192.860514,0.709694298,0.003707098,143.6274544,46,0020-06-12,164
2020_kk_047,990.5240918,1189.949883,0.705087929,0.001917983,199.4257916,47,0020-06-12,164
2020_kk_048,793.9732036,948.9646706,0.708631063,0.002569586,154.991467,48,0020-06-12,164
2020_kk_049,1226.458788,1370.726921,0.710083471,0.0025501,144.2681326,49,0020-06-12,164
2020_kk_050,605.5099639,778.8603687,0.710510111,0.001184233,173.3504047,50,0020-06-12,164
2020_kk_053_redo,848.1761664,1105.840947,0.705725698,0.001068765,257.6647806,53,0020-06-14,166
2020_kk_054,867.2703118,1036.93656,0.704736691,0.00227917,169.6662487,54,0020-06-14,166
2020_kk_056,973.4190524,1120.942809,0.708387959,0.002988394,147.5237564,56,0020-06-14,166
2020_kk_058_redo,914.6900096,1175.430278,0.710309297,0.001316562,260.7402685,58,0020-06-14,166
2020_kk_061,906.5491707,1146.00559,0.706279681,0.001999625,239.4564197,61,0020-06-15,167
2020_kk_062,1312.816192,1566.774217,0.709302161,0.001873541,253.9580249,62,0020-06-15,167
2020_kk_063_redo,1016.667479,1215.466152,0.709161445,0.001812268,198.7986731,63,0020-06-15,167
2020_kk_065,762.2881272,953.625844,0.709026423,0.002871388,191.3377168,65,0020-06-16,168
2020_kk_066,773.0058104,1013.005066,0.709495464,0.001747144,239.9992554,66,0020-06-16,168
2020_kk_067_redo,1122.751838,1230.805733,0.705493501,0.001975184,108.0538955,67,0020-06-16,168
2020_kk_068_redo,1257.172177,1563.263962,0.708731097,0.002483362,306.0917847,68,0020-06-16,168
2020_kk_070,873.5139132,1185.690864,0.709322939,0.001657911,312.1769507,70,0020-06-16,168
2020_kk_071_redo,636.7635759,1117.038121,0.706087504,9.27E-04,480.2745455,71,0020-06-16,168
2020_kk_073,744.4582852,1004.407014,0.70958,0.002994901,259.9487285,73,0020-06-17,169
