TribID,avg_production,sd_production,cv,n_years,Str_Order
3_10046_3,120.20926704480088,27.029709022715597,0.22485545155717382,5,3
3_10076_3,4.911463002411425,1.215037490179975,0.24738809792182434,5,3
3_1014_3,230.06750010186076,64.00185714968104,0.2781873020802359,5,3
3_10175_3,197.25559238783183,44.67697402717029,0.22649281313824132,5,3
3_10202_3,50.8432255367057,11.456773020534436,0.22533529097722854,5,3
3_10345_3,510.75332358938044,120.1242338973124,0.2351903127191124,5,3
3_10374_3,169.54617909619157,41.23471109052426,0.24320637191788236,5,3
3_10432_3,1186.4059290721466,264.0168414409781,0.22253499832680199,5,3
3_10494_3,43.91606370350452,10.852788032320623,0.2471257011009064,5,3
3_10639_3,132.67649241232928,25.860012047185904,0.19491027820375811,5,3
3_10641_3,324.4773091978824,73.60530128552993,0.2268426765109845,5,3
3_10656_3,347.9892550015663,106.23474841807719,0.3052816915786639,5,3
3_11015_3,178.09338361308232,43.550491976203695,0.24453739433026628,5,3
3_11220_3,119.50993603149034,28.895709436659345,0.24178499626211375,5,3
3_11479_3,433.94837793585737,115.37320585598324,0.2658685035413054,5,3
3_11514_3,550.3587185996795,127.48884081000367,0.23164680871120466,5,3
3_11589_3,28.519766358452053,4.185607738277963,0.146761641931808,5,3
3_11675_3,53.14703113480397,13.943598952474808,0.2623589437593942,5,3
3_11681_3,41.26307435218698,9.247056870844407,0.22410004625247473,5,3
3_11711_3,72.18052545191749,11.075796199547513,0.153445768511696,5,3
3_11771_3,474.0698779990177,84.03784601760871,0.1772689004674177,5,3
3_11788_3,253.2044894306072,60.20157867853893,0.23775873332229236,5,3
3_11829_3,102.10438922187612,23.383297828340925,0.2290136399281354,5,3
3_12067_3,288.5048392499259,94.10908818190104,0.3261958739637509,5,3
3_12156_3,256.26298936341954,65.31384902062025,0.25487039382029286,5,3
3_12169_3,863.2122736817715,203.39656678576935,0.235627519426065,5,3
3_12204_3,104.30110114307803,24.695317835241973,0.23676948339563034,5,3
3_12222_3,108.9137329812277,24.359866691206143,0.2236620307138384,5,3
3_12228_3,1129.841757040385,227.40188379620926,0.20126879041175413,5,3
3_12248_3,27.011384357177526,7.139426504164055,0.26431175869247703,5,3
3_12251_3,252.86925110103218,57.40114919555867,0.2269993245348144,5,3
3_12300_3,782.3189144853285,185.6913910901954,0.23736022183786512,5,3
3_12322_3,46.78925357719541,11.506450242538516,0.2459207908404557,5,3
3_12487_3,48.33765092704815,11.947322121226376,0.24716389588847498,5,3
3_12761_3,141.26943860998395,21.872934781869784,0.1548313279721914,5,3
3_12974_3,317.6251813203463,79.65736895179649,0.2507904713998626,5,3
3_13109_3,800.5869060418408,178.82605856438627,0.22336870265405057,5,3
3_13180_3,529.6429717126317,119.45339161553629,0.22553568723715284,5,3
3_13245_3,195.6331406587722,44.440202053903796,0.22716090895569385,5,3
3_13271_3,801.5480267077902,180.24573909892558,0.22487203897095415,5,3
3_13276_3,75.67626577707209,16.143416327286754,0.2133220523174623,5,3
3_13304_3,531.26122893804,80.67874370078736,0.15186266060118755,5,3
3_13413_3,49.90040904909204,11.558343943052055,0.23162824039540342,5,3
3_13434_3,547.4500885059213,111.14523886644089,0.2030235106359632,5,3
