"Fish_id","Watershed","Year","OtoNum","natal_start","natal_end","natal_iso","natal_isose","Date","DOY","OriginalDate","Month","dailyCPUEprop","oto_catch_daily","OtoPropDaily","COratio"
"2018_kk_001_redo","Kusko",2018,1,556.8852604,681.6124866,0.705719281,0.001834087,2018-06-01,152,"2018-06-01",6,0.00225190486473147,2,0.00793650793650794,0.283740012956165
"2018_kk_001","Kusko",2018,1,566.5540139,683.7821513,0.70593205,0.00089791,2018-06-01,152,"2018-06-01",6,0.00225190486473147,2,0.00793650793650794,0.283740012956165
"2018_kk_002","Kusko",2018,2,362.37407,474.9232603,0.707788742,0.000964332,2018-06-02,153,"2018-06-02",6,0.00271462504241602,1,0.00396825396825397,0.684085510688836
"2018_kk_003_redo","Kusko",2018,3,464.7141367,659.7159168,0.710070859,0.001788073,2018-06-03,154,"2018-06-03",6,0.00280716907795293,2,0.00793650793650794,0.353703303822069
"2018_kk_003","Kusko",2018,3,639.9005267,767.0475892,0.710381501,0.001451763,2018-06-03,154,"2018-06-03",6,0.00280716907795293,2,0.00793650793650794,0.353703303822069
NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,0.00980966776691242,NA,0,NA
"2018_kk_005","Kusko",2018,5,485.1545673,635.9406702,0.710201871,0.001031916,2018-06-05,156,"2018-06-05",6,0.00205139278773483,2,0.00793650793650794,0.258475491254589
"2018_kk_006","Kusko",2018,6,660.9288798,861.6323377,0.709317189,0.000955389,2018-06-05,156,"2018-06-05",6,0.00205139278773483,2,0.00793650793650794,0.258475491254589
"2018_kk_008","Kusko",2018,8,432.1698854,651.8755249,0.709536243,0.001299764,2018-06-06,157,"2018-06-06",6,0,1,0.00396825396825397,0
"2018_kk_011","Kusko",2018,11,327.9148949,483.9243401,0.709367257,0.001102626,2018-06-07,158,"2018-06-07",6,0.0127248048863251,2,0.00793650793650794,1.60332541567696
"2018_kk_012","Kusko",2018,12,475.1335627,700.873316,0.709111431,0.001114588,2018-06-07,158,"2018-06-07",6,0.0127248048863251,2,0.00793650793650794,1.60332541567696
NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,0,NA,0,NA
"2018_kk_013_redo","Kusko",2018,13,563.3287158,720.3723604,0.710540735,0.001718768,2018-06-09,160,"2018-06-09",6,0.0122466607027177,3,0.0119047619047619,1.02871949902829
"2018_kk_015","Kusko",2018,15,479.0794209,628.0574802,0.709541434,0.001080738,2018-06-09,160,"2018-06-09",6,0.0122466607027177,3,0.0119047619047619,1.02871949902829
"2018_kk_016_redo","Kusko",2018,16,330.2501914,460.112796,0.706925609,0.000975481,2018-06-09,160,"2018-06-09",6,0.0122466607027177,3,0.0119047619047619,1.02871949902829
"2018_kk_019_redo","Kusko",2018,19,696.3157842,812.0397552,0.70592273,0.000866626,2018-06-10,161,"2018-06-10",6,0.0133417651232378,3,0.0119047619047619,1.12070827035198
