reachid,Str_Order,avg_rescale,n_years
367,4,0,6
368,4,0,6
369,3,0,6
375,3,0,6
377,3,0,6
380,3,0,6
395,3,0,6
396,3,0,6
409,3,0,6
411,5,0,6
415,3,0,6
416,5,0,6
417,4,0,6
419,3,0,6
694,4,0,6
696,3,0,6
756,4,0,6
807,6,0,6
947,7,0,6
421,3,0,6
425,5,0,6
479,5,0,6
535,3,0,6
557,3,0,6
559,3,0,6
560,3,0,6
561,5,0,6
920,3,0,6
1140,4,3.194970563976708e-4,6
563,5,0,6
775,4,0,6
777,4,0,6
848,4,0,6
507,4,0,6
660,5,0,6
852,4,0,6
925,3,0,6
927,4,0,6
928,7,0,6
929,7,0,6
427,5,0,6
429,5,0,6
440,5,0,6
442,3,0,6
443,5,0,6
452,3,0,6
453,5,0,6
455,3,0,6
457,5,0,6
465,3,0,6
467,4,0,6
489,3,0,6
490,3,0,6
491,3,0,6
498,3,0,6
526,3,0,6
530,5,0,6
543,3,0,6
550,3,0,6
555,5,0,6
1089,1,0,6
537,1,0,6
595,2,0,6
596,1,0,6
598,2,0,6
599,1,0,6
600,1,0,6
1176,1,0,6
1177,1,0,6
1178,1,0,6
1179,1,0,6
1189,1,0,6
1190,1,0,6
1191,2,0,6
1192,2,0,6
1276,1,0,6
1278,2,0,6
1279,2,0,6
1281,1,0,6
1282,1,0,6
11543,2,0,6
11544,2,0,6
11545,1,0,6
11546,1,0,6
12323,2,0,6
1926,1,0,6
1999,1,0,6
2000,2,0,6
2070,1,0,6
5538,2,0,6
5539,1,0,6
5540,1,0,6
5541,2,0,6
5542,2,0,6
5543,2,0,6
5544,1,0,6
8758,1,0,6
8759,1,0,6
10212,2,0,6
10213,2,0,6
10214,2,0,6
10215,2,0,6
10216,2,0,6
400,2,0,6
402,2,0,6
193,2,0,6
194,1,0,6
195,2,0,6
262,1,0,6
264,2,0,6
431,1,0,6
432,1,0,6
433,1,0,6
434,2,0,6
166,2,0,6
167,1,0,6
168,2,0,6
223,1,0,6
224,2,0,6
225,1,0,6
274,1,0,6
276,1,0,6
292,2,0,6
293,1,0,6
294,2,0,6
414,1,0,6
106,1,0,6
107,1,0,6
110,2,0,6
111,2,0,6
112,1,0,6
113,2,0,6
114,1,0,6
116,2,0,6
117,1,0,6
118,1,0,6
120,2,0,6
121,1,0,6
122,1,0,6
123,1,0,6
125,1,0,6
130,1,0,6
131,1,0,6
134,2,0,6
135,2,0,6
136,1,0,6
137,2,0,6
138,1,0,6
142,2,0,6
143,1,0,6
144,1,0,6
145,1,0,6
147,1,0,6
148,1,0,6
149,1,0,6
150,1,0,6
157,2,0,6
158,1,0,6
159,1,0,6
162,2,0,6
170,1,0,6
172,1,0,6
174,1,0,6
176,1,0,6
177,1,0,6
178,1,0,6
181,1,0,6
182,1,0,6
183,2,0,6
186,1,0,6
187,1,0,6
188,1,0,6
190,1,0,6
191,1,0,6
192,2,0,6
196,2,0,6
197,2,0,6
198,1,0,6
202,1,0,6
203,1,0,6
212,1,0,6
213,1,0,6
214,1,0,6
215,1,0,6
216,1,0,6
217,1,0,6
218,1,0,6
219,2,0,6
221,1,0,6
222,1,0,6
230,1,0,6
231,2,0,6
232,1,0,6
233,1,0,6
234,1,0,6
235,2,0,6
236,1,0,6
237,1,0,6
238,1,0,6
239,2,0,6
240,1,0,6
244,1,0,6
249,1,0,6
251,1,0,6
252,1,0,6
253,1,0,6
255,2,0,6
256,1,0,6
257,1,0,6
258,1,0,6
265,1,0,6
266,2,0,6
267,2,0,6
268,2,0,6
269,1,0,6
271,1,0,6
272,1,0,6
481,2,0,6
482,1,0,6
460,1,0,6
461,1,0,6
1159,1,0,6
1160,2,0,6
1161,1,0,6
391,1,0,6
392,1,0,6
773,1,0,6
774,2,0,6
277,1,0,6
279,1,0,6
280,1,0,6
282,1,0,6
283,2,0,6
285,2,0,6
286,1,0,6
287,1,0,6
288,1,0,6
289,1,0,6
290,2,0,6
291,1,0,6
295,1,0,6
296,2,0,6
297,1,0,6
298,1,0,6
299,1,0,6
300,1,0,6
301,1,0,6
303,1,0,6
304,1,0,6
305,2,0,6
306,1,0,6
309,1,0,6
310,2,0,6
311,1,0,6
325,1,0,6
326,2,0,6
327,1,0,6
331,1,0,6
332,2,0,6
333,2,0,6
334,2,0,6
335,1,0,6
336,2,0,6
338,1,0,6
340,1,0,6
341,2,0,6
342,2,0,6
343,2,0,6
344,1,0,6
345,1,0,6
346,1,0,6
348,2,0,6
349,1,0,6
350,2,0,6
351,1,0,6
352,2,0,6
353,1,0,6
354,1,0,6
355,1,0,6
356,2,0,6
357,2,0,6
365,1,0,6
366,2,0,6
370,2,0,6
371,1,0,6
372,1,0,6
373,1,0,6
374,1,0,6
376,1,0,6
378,2,0,6
379,1,0,6
381,2,0,6
382,1,0,6
383,2,0,6
384,2,0,6
394,1,0,6
406,1,0,6
407,2,0,6
408,2,0,6
410,2,0,6
418,1,0,6
420,1,0,6
601,1,0,6
602,2,0,6
603,1,0,6
695,1,0,6
754,1,0,6
755,2,0,6
805,1,0,6
806,1,0,6
946,1,0,6
954,1,0,6
1000,1,0,6
1001,2,0,6
1047,1,0,6
422,1,0,6
423,1,0,6
424,2,0,6
426,1,0,6
478,1,0,6
480,2,0,6
649,2,0,6
650,1,0,6
651,1,0,6
556,1,0,6
558,1,0,6
583,1,0,6
584,1,0,6
585,2,0,6
586,1,0,6
587,1,0,6
588,1,0,6
919,1,0,6
921,2,0,6
1144,1,0,6
1145,2,0,6
1146,2,0,6
1048,2,0,6
1049,1,0,6
1050,1,0,6
1051,1,0,6
1052,2,0,6
1131,1,0,6
1138,1,0,6
1139,1,0,6
562,2,0,6
564,1,0,6
610,2,0,6
611,1,0,6
612,2,0,6
721,2,0,6
722,1,0,6
723,1,0,6
776,1,0,6
847,1,0,6
849,1,0,6
505,1,0,6
506,1,0,6
658,2,0,6
659,1,0,6
733,1,0,6
734,1,0,6
735,1,0,6
850,1,0,6
851,1,0,6
926,1,0,6
930,2,0,6
934,2,0,6
935,1,0,6
936,1,0,6
428,1,0,6
436,2,0,6
437,1,0,6
438,1,0,6
439,1,0,6
441,1,0,6
444,1,0,6
445,1,0,6
446,2,0,6
447,1,0,6
448,2,0,6
449,1,0,6
450,1,0,6
451,2,0,6
454,1,0,6
456,1,0,6
458,1,0,6
459,1,0,6
463,1,0,6
464,1,0,6
466,2,0,6
468,2,0,6
469,1,0,6
470,1,0,6
471,1,0,6
472,1,0,6
473,2,0,6
474,1,0,6
475,1,0,6
476,1,0,6
477,1,0,6
487,2,0,6
488,2,0,6
492,1,0,6
493,2,0,6
494,1,0,6
495,1,0,6
496,1,0,6
497,1,0,6
516,2,0,6
517,2,0,6
518,2,0,6
519,1,0,6
520,1,0,6
521,1,0,6
522,2,0,6
523,1,0,6
524,1,0,6
525,2,0,6
527,2,0,6
528,2,0,6
529,1,0,6
531,1,0,6
538,2,0,6
539,1,0,6
540,2,0,6
541,1,0,6
542,2,0,6
551,2,0,6
552,2,0,6
553,1,0,6
554,1,0,6
565,3,0,6
566,3,0,6
570,3,0,6
673,3,0,6
674,5,0,6
730,3,0,6
794,5,0,6
795,4,0,6
861,3,0,6
931,4,0,6
578,3,0,6
579,5,0,6
604,4,0,6
815,4,0,6
948,7,0,6
949,4,0,6
950,4,0,6
951,3,0,6
627,3,0,6
632,5,0,6
644,3,2.0383449508939338e-4,6
645,3,0,6
647,5,0,6
667,3,0,6
672,3,0,6
684,3,2.0789144510287804e-4,6
687,4,0,6
704,3,0,6
707,3,0,6
708,4,0,6
710,3,0,6
712,3,0,6
714,5,0,6
724,4,0,6
725,3,0,6
726,4,0,6
740,3,0,6
741,3,0,6
743,4,0,6
753,3,0,6
758,4,0,6
759,3,0,6
760,8,0,6
761,4,0,6
1022,7,0,6
768,4,0,6
782,4,0,6
785,3,0,6
787,4,0,6
788,4,0,6
798,6,0,6
800,3,0,6
809,4,0,6
810,3,0,6
818,4,0,6
822,4,0,6
823,4,0,6
825,4,0,6
827,4,0,6
828,3,0,6
829,4,0,6
830,6,0,6
832,3,0,6
834,4,0,6
836,5,0,6
837,3,0,6
840,4,0,6
841,4,0,6
842,3,0,6
843,3,0,6
955,3,0,6
956,4,0,6
854,5,0,6
855,4,0,6
862,6,0,6
864,7,0,6
870,4,0,6
873,4,0,6
898,4,0,6
900,4,0,6
901,4,0,6
903,4,0,6
905,4,0,6
910,4,0,6
915,3,0,6
938,7,0,6
940,4,0,6
941,7,0,6
942,4,0,6
1063,7,0,6
4969,3,5.578476845631001e-4,6
7421,5,4.2086650715549636e-4,6
12368,4,2.7852819990844727e-4,6
11514,3,4.502645300643919e-4,6
1094,4,0,6
1185,5,1.912728011556806e-4,6
1187,3,0,6
1260,3,3.840796621198788e-4,6
945,3,0,6
959,4,0,6
1219,3,0,6
963,7,0,6
967,7,0,6
973,3,0,6
974,3,0,6
979,7,0,6
981,3,0,6
1107,3,2.688982716002734e-4,6
1257,3,0,6
1352,3,0,6
1353,7,0,6
1434,3,0,6
995,7,0,6
997,6,0,6
1231,3,0,6
1232,3,0,6
1298,3,0,6
1303,3,0,6
1304,3,2.0787033978614199e-4,6
1006,4,0,6
1009,7,0,6
1011,7,0,6
1014,3,2.3860654588538923e-4,6
1031,3,0,6
1033,4,0,6
1044,3,0,6
1092,3,0,6
1102,6,0,6
1117,3,2.7283685373111146e-4,6
1120,7,0,6
1123,7,0,6
567,1,0,6
568,1,0,6
569,1,0,6
571,1,0,6
572,1,0,6
573,2,0,6
574,2,0,6
575,1,0,6
576,2,0,6
675,1,0,6
731,1,0,6
732,1,0,6
793,1,0,6
859,2,0,6
860,1,0,6
932,1,0,6
933,1,0,6
985,1,0,6
986,2,0,6
987,2,0,6
988,2,0,6
989,1,0,6
990,1,0,6
577,1,0,6
580,1,0,6
581,2,0,6
582,1,0,6
589,1,0,6
590,1,0,6
591,1,0,6
592,2,0,6
593,1,0,6
594,1,0,6
605,1,0,6
606,2,0,6
763,2,0,6
764,1,0,6
765,1,0,6
886,1,0,6
814,1,0,6
816,1,0,6
952,2,0,6
953,1,0,6
613,2,0,6
