Lower,Middle,Upper,fish.id
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_167
0,0,1,2021_yk_170
0.1301,0.7398,0.1301,2021_yk_171
0,0,1,2021_yk_172
0,0,1,2021_yk_173
0,0,1,2021_yk_173_R1
0,0,1,2021_yk_175
0,0,1,2021_yk_181
0,0,1,2021_yk_183
0.015900000000000025,0.9682,0.015900000000000025,2021_yk_184
0,1,0,2021_yk_185
0,1,0,2021_yk_185_R1
1,0,0,2021_yk_186
9.500000000000064e-4,0.9981,9.500000000000064e-4,2021_yk_187
9.500000000000064e-4,0.9981,9.500000000000064e-4,2021_yk_187a
0,0,1,2021_yk_188
0,0,1,2021_yk_191
1.4999999999998348e-4,0.9997,1.4999999999998348e-4,2021_yk_192
1.4999999999998348e-4,0.9997,1.4999999999998348e-4,2021_yk_193
0,0,1,2021_yk_195
0,0,1,2021_yk_195_R1
0,1,0,2021_yk_198
0,1,0,2021_yk_198_R1
1.4999999999998348e-4,0.9997,1.4999999999998348e-4,2021_yk_200
1.4999999999998348e-4,0.9997,1.4999999999998348e-4,2021_yk_200_R2
0,0,1,2021_yk_202
0,0,1,2021_yk_203
0.012450000000000017,0.9751,0.012450000000000017,2021_yk_204
0.012450000000000017,0.9751,0.012450000000000017,2021_yk_204a
0,0,1,2021_yk_206
0,0,1,2021_yk_207
0,0,1,2021_yk_208
0,0,1,2021_yk_210
0,0,1,2021_yk_211
9.000000000000119e-4,9.000000000000119e-4,0.9982,2021_yk_213
1,0,0,2021_yk_214
1,0,0,2021_yk_215
1,0,0,2021_yk_215_R1
0,0,1,2021_yk_216
0,0,1,2021_yk_217
1,0,0,2021_yk_220
0.0011999999999999789,0.9976,0.0011999999999999789,2021_yk_301
0.013649999999999995,0.9727,0.013649999999999995,2021_yk_303
0.013649999999999995,0.9727,0.013649999999999995,2021_yk_303_R1
0.0041999999999999815,0.9916,0.0041999999999999815,2021_yk_304
1.9999999999997797e-4,0.9996,1.9999999999997797e-4,2021_yk_305
0,0,1,2021_yk_307
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_308
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_310
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_310_R1
0,0,1,2021_yk_311
0,1,0,2021_yk_312
0,0,1,2021_yk_313
0.06390000000000001,0.8722,0.06390000000000001,2021_yk_314
0,0,1,2021_yk_316
0,0,1,2021_yk_318
0,0,1,2021_yk_324
0.0033500000000000196,0.9933,0.0033500000000000196,2021_yk_325
0.0033500000000000196,0.9933,0.0033500000000000196,2021_yk_325_R1
0.0023500000000000187,0.9953,0.0023500000000000187,2021_yk_326
0,0,1,2021_yk_327
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_329
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_329_R1
1,0,0,2021_yk_330
1,0,0,2021_yk_330_R1
0,0,1,2021_yk_332
1,0,0,2021_yk_333
1,0,0,2021_yk_333_R1
0,0,1,2021_yk_335
0,1,0,2021_yk_336
0,0,1,2021_yk_341
0.0015000000000000013,0.997,0.0015000000000000013,2021_yk_348
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_350
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_350_R1
0,0,1,2021_yk_351
0.20174999999999998,0.5965,0.20174999999999998,2021_yk_353
0.20174999999999998,0.5965,0.20174999999999998,2021_yk_353_R1
0.20174999999999998,0.5965,0.20174999999999998,2021_yk_353_R2
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_354_R1
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_354_R2
0,0,1,2021_yk_357
0,0,1,2021_yk_358
0,0,1,2021_yk_358a
0,1,0,2021_yk_364
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_367
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_368
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_368_R1
0,0,1,2021_yk_370
0,0,1,2021_yk_370_R1
0,1,0,2021_yk_371
0.08810000000000001,0.8238,0.08810000000000001,2021_yk_372
0.08810000000000001,0.8238,0.08810000000000001,2021_yk_372_R1
0.07140000000000002,0.8572,0.07140000000000002,2021_yk_373
0.22785,0.22785,0.5443,2021_yk_374
0.22785,0.22785,0.5443,2021_yk_374_R1
0,0,1,2021_yk_378
0.15075,0.6985,0.15075,2021_yk_380
0.15075,0.6985,0.15075,2021_yk_380_R1
0.15075,0.6985,0.15075,2021_yk_380_R1a
1,0,0,2021_yk_382_R1
0,0,1,2021_yk_385
0,0,1,2021_yk_386
0,0,1,2021_yk_391
0,0,1,2021_yk_391_R1
0.0016999999999999793,0.9966,0.0016999999999999793,2021_yk_392
1,0,0,2021_yk_394
0,0,1,2021_yk_395
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_396
0.06114999999999998,0.8777,0.06114999999999998,2021_yk_398
1,0,0,2021_yk_400
1,0,0,2021_yk_400_R1
1,0,0,2021_yk_404
0,0,1,2021_yk_405
0,0,1,2021_yk_406
0,0,1,2021_yk_406_R1
0,0,1,2021_yk_408_R1
0,0,1,2021_yk_408_R1a
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_409
1.4999999999998348e-4,1.4999999999998348e-4,0.9997,2021_yk_410
1,0,0,2021_yk_413
1,0,0,2021_yk_413a
0,0,1,2021_yk_414
1,0,0,2021_yk_415
0,0,1,2021_yk_416
0,0,1,2021_yk_418
1,0,0,2021_yk_419
0.00814999999999999,0.9837,0.00814999999999999,2021_yk_421
0,0,1,2021_yk_425
0,0,1,2021_yk_425_R1
1,0,0,2021_yk_428
1,0,0,2021_yk_428_R1
1,0,0,2021_yk_431
1,0,0,2021_yk_431_R1
0,0,1,2021_yk_432
0,0,1,2021_yk_437
0,0,1,2021_yk_437_R1
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_438
0.23525000000000001,0.5295,0.23525000000000001,2021_yk_439
3.5000000000001696e-4,0.9993,3.5000000000001696e-4,2021_yk_440
3.5000000000001696e-4,0.9993,3.5000000000001696e-4,2021_yk_440_R1
0,0,1,2021_yk_443
0,0,1,2021_yk_443a
0,0,1,2021_yk_448
0,0,1,2021_yk_448_R1
0,0,1,2021_yk_450
0,0,1,2021_yk_451
0,0,1,2021_yk_452
1,0,0,2021_yk_455
1,0,0,2021_yk_456
1,0,0,2021_yk_456_R1
0,0,1,2021_yk_463
0,0,1,2021_yk_464
0,0,1,2021_yk_465
1,0,0,2021_yk_466
1,0,0,2021_yk_468
4.5000000000000595e-4,0.9991,4.5000000000000595e-4,2021_yk_469
4.5000000000000595e-4,0.9991,4.5000000000000595e-4,2021_yk_469_R1
4.5000000000000595e-4,0.9991,4.5000000000000595e-4,2021_yk_469_R1a
4.5000000000000595e-4,0.9991,4.5000000000000595e-4,2021_yk_469a
0,1,0,2021_yk_472
1,0,0,2021_yk_473
0,0,1,2021_yk_474
1,0,0,2021_yk_476
1,0,0,2021_yk_476_R1
1,0,0,2021_yk_476a
1,0,0,2021_yk_477
0.0020499999999999963,0.9959,0.0020499999999999963,2021_yk_478
1,0,0,2021_yk_479
1,0,0,2021_yk_480
0.912,0.043999999999999984,0.043999999999999984,2021_yk_482
0,0,1,2021_yk_485
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_487
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_487_R1
0,0,1,2021_yk_488
0,0,1,2021_yk_489
1,0,0,2021_yk_490
1,0,0,2021_yk_495
1,0,0,2021_yk_495_R1
1,0,0,2021_yk_496
0,0,1,2021_yk_497
0,0,1,2021_yk_499
0,0,1,2021_yk_503
0.2,0.2,0.2,2021_yk_506
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_507
0,0,1,2021_yk_508
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_509
0,0,1,2021_yk_510
0,0,1,2021_yk_511_R1
1,0,0,2021_yk_514
1,0,0,2021_yk_514_R1
0,0,1,2021_yk_515
2.4999999999997247e-4,0.9995,2.4999999999997247e-4,2021_yk_518
2.4999999999997247e-4,0.9995,2.4999999999997247e-4,2021_yk_518_R1
1,0,0,2021_yk_521
0,0,1,2021_yk_522
0,0,1,2021_yk_523
0,0,1,2021_yk_523_R1
0,0,1,2021_yk_523_R1a
0,0,1,2021_yk_523_R1b
1,0,0,2021_yk_525
1,0,0,2021_yk_525_R1
1,0,0,2021_yk_526
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_527
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_527a
1,0,0,2021_yk_530
1,0,0,2021_yk_531
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_534
0.3333333333333333,0.3333333333333333,0.3333333333333333,2021_yk_534_R1
0,0,1,2021_yk_535
1,0,0,2021_yk_540
1,0,0,2021_yk_540_R1
