Sample Date,GumCard #,Fish #,Sex,"Length
(mm)",Comments,"Genetic Vial
#","Otolith
#",GCL retro linking sex data to Whatman cards,,,,"Male=1, Female=2",,,,,,
sampleDate,cardNo,fishNum,sexID,length,fishComment,geneticNum,otoNum,Sex ID,WhatmanBarcode,10WGC Assigned Card No.,Comment,,,,,,col I,col D
6/1/17,1,1,1,796,,,,,,,,,,,,BEChinookSGN,457,790
6/2/17,2,1,2,868,,,,,,,,,,,,male,187,388
6/3/17,3,1,2,715,,,,,,,,,,,,female,166,399
6/4/17,4,1,1,755,,,,,0000020217,6,missing tissue,,,,,no sex,104,3
6/4/17,4,2,1,671,,,,,0000020217,6,missing tissue,,,,,,,
6/4/17,4,3,2,824,,,,,0000020217,6,missing tissue,,,,,,,
6/4/17,4,4,1,929,,x,1,M,0000020217,6,,,,,,,,
6/5/17,5,1,1,806,,x,2,M,0000020213,3,,,,,,,,
6/5/17,5,2,2,816,,x,3,F,0000020213,3,,,,,,,,
6/5/17,5,3,1,619,,x,4,M,0000020213,3,,,,,,,,
6/6/17,6,1,1,839,,x,5,M,0000020225,10,,,,,,,,
6/6/17,6,2,2,825,,x,6,F,0000020225,10,,,,,,,,
6/6/17,6,3,1,737,,x,7,M,0000020225,10,,,,,,,,
6/6/17,6,4,1,886,,x,8,M,0000020225,10,,,,,,,,
6/6/17,6,5,1,795,,x,9,M,0000020225,10,,,,,,,,
6/6/17,6,6,2,813,,x,10,F,0000020225,10,,,,,,,,
6/6/17,6,7,2,917,,x,11,F,0000020225,10,,,,,,,,
6/6/17,6,8,1,807,,x,12,M,0000020225,10,,,,,,,,
6/6/17,6,9,1,584,,,,,0000020225,10,No tissue in grid # 9 on card,,,,,,,
6/7/17,7,1,1,803,,x,13,M,0000020221,8,,,,,,,,
6/7/17,7,2,1,810,,x,14,M,0000020221,8,,,,,,,,
6/7/17,7,3,1,683,,x,15,M,0000020221,8,,,,,,,,
6/8/17,8,1,2,903,,x,16,F,0000020229,12,,,,,,,,
6/8/17,8,2,,825,no sex,x,17,,0000020229,12,no sex,,,,,,,
6/8/17,8,3,,790,no sex,x,18,,0000020229,12,no sex,,,,,,,
6/9/17,9,1,1,814,,x,19,M,0000020211,1,,,,,,,,
6/9/17,9,2,,756,no sex,,,,0000020211,1,no sex,,,,,,,
6/10/17,10,1,1,893,,x,21,M,0000020215,4,,,,,,,,
6/10/17,10,2,1,690,,x,22,M,0000020215,4,,,,,,,,
6/10/17,10,3,1,742,,x,23,M,0000020215,4,,,,,,,,
6/10/17,10,4,2,772,,x,24,F,0000020215,4,,,,,,,,
6/10/17,10,5,1,817,,x,25,M,0000020215,4,,,,,,,,
6/10/17,10,6,1,832,,x,26,M,0000020215,4,,,,,,,,
6/10/17,10,7,1,810,,x,27,M,0000020215,4,,,,,,,,
6/11/17,11,1,2,860,,x,28,F,0000020219,7,,,,,,,,
6/11/17,11,2,1,745,,x,29,M,0000020219,7,,,,,,,,
6/11/17,11,3,1,806,,x,30,M,0000020219,7,,,,,,,,
6/11/17,11,4,1,887,,x,31,M,0000020219,7,,,,,,,,
6/11/17,11,5,2,829,,x,32,F,0000020219,7,,,,,,,,
