fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian,file.id
,,,0.707786096,,,331,6/19/15,,2015_yokon_chin_yk331.exp
,,,0.711698772,,,332,6/19/15,,2015_yokon_chin_yk332.exp
,,,0.710145041,,,333,6/19/15,,2015_yokon_chin_yk333_1.exp
,,,0.711031877,,,338,6/20/15,,2015_yokon_chin_yk338.exp
,,,0.713966798,,,342,6/20/15,,2015_yokon_chin_yk342.exp
,,,0.715350004,,,348,6/21/15,,2015_yokon_chin_yk348.exp
,,,0.71064511,,,349,6/21/15,,2015_yokon_chin_yk349.exp
,,,0.711490191,,,357,6/21/15,,2015_yokon_chin_yk357.exp
,,,0.715058136,,,361,6/22/15,,2015_yokon_chin_yk361.exp
,,,0.710155285,,,363,6/22/15,,2015_yokon_chin_yk363.exp
,,,0.721769271,,,366,6/23/15,,2015_yokon_chin_yk366.exp
,,,0.718703085,,,367,6/23/15,,2015_yokon_chin_yk367.exp
,,,0.707679428,,,375,6/24/15,,2015_yokon_chin_yk375.exp
,,,0.70767179,,,376,6/24/15,,2015_yokon_chin_yk376c.exp
,,,0.707070442,,,377,6/24/15,,2015_yokon_chin_yk377.exp
,,,0.70724171,,,379,6/24/15,,2015_yokon_chin_yk379b.exp
,,,0.707006297,,,380,6/24/15,,2015_yokon_chin_yk380.exp
,,,0.713926246,,,389,6/25/15,,2015_yokon_chin_yk389.exp
,,,0.707671493,,,390,6/25/15,,2015_yokon_chin_yk390.exp
,,,0.707709127,,,394,6/25/15,,2015_yokon_chin_yk394.exp
,,,0.707201848,,,395,6/25/15,,2015_yokon_chin_yk395.exp
,,,0.707561679,,,396,6/25/15,,2015_yokon_chin_yk396b.exp
,,,0.707700869,,,397,6/25/15,,2015_yokon_chin_yk397.exp
,,,0.713816927,,,398,6/25/15,,2015_yokon_chin_yk398_1.exp
,,,0.722368512,,,400,6/25/15,,2015_yokon_chin_yk400.exp
,,,0.707144546,,,402,6/25/15,,2015_yokon_chin_yk402.exp
,,,0.706940447,,,404,6/25/15,,2015_yokon_chin_yk404.exp
,,,0.716602603,,,405,6/25/15,,2015_yokon_chin_yk405.exp
,,,0.706692053,,,416,6/25/15,,2015_yokon_chin_yk416.exp
,,,0.723119064,,,417,6/25/15,,2015_yokon_chin_yk417.exp
,,,0.707873712,,,422,6/26/15,,2015_yokon_chin_yk422.exp
