Header Row,site,sampleDate,cardNo,fishNum,External Sex,Internal Sex,sexID,sexMethodID,length,Fork Length,Snout Length,gearID,mesh,fishComment,geneticNum,otoNum,initials,adClip,prelimAgeFresh,prelimAgeSalt,prelimAgeErrorID,ageFresh,ageSalt,ageErrorID,flagged,period,weight,girth,ichNum,samplerID,ageFresh2,ageSalt2,ageErrorID2,flagged2,disagreement,,
,BigEddy,6/11/18,1,1,2,,2,2,831,898,67,3,8.25,FL 898,26417,9,,,,,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/11/18,1,2,1,,1,2,811,894,83,3,8.25,FL 894,26417,10,,,,,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/9/18,1,1,2,2,2,2,815,880,65,4,8.5,,26381,101,SL,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/10/18,2,1,2,2,2,2,899,955,56,4,8.5,,26428,102,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/10/18,2,2,1,2,1,2,786,852,66,4,8.5,,26428,103,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/10/18,2,3,2,2,2,2,740,792,52,4,8.5,,26428,104,KB,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/10/18,2,4,2,1,2,2,832,906,74,4,8.5,,26428,105,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/10/18,2,5,1,1,1,2,850,871,21,4,8.5,,26428,106,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/10/18,2,6,1,1,1,2,854,925,71,4,8.5,,26428,107,KB,,,,3,,,3,,,,,,,,,3,,,,
,BigEddy,6/10/18,2,7,2,2,2,2,837,904,67,4,8.5,,26428,108,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/11/18,3,1,1,1,1,2,849,911,62,4,8.5,,26383,111,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/11/18,3,2,2,2,2,2,855,913,58,4,8.5,,26383,112,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/11/18,3,3,2,2,2,2,843,895,52,4,8.5,,26383,113,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/11/18,3,4,2,2,2,2,826,875,49,4,8.5,,26383,114,KB,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,4,1,1,2,1,2,782,840,58,4,8.5,,26424,115,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,4,2,2,2,2,2,892,955,63,4,8.5,,26424,116,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,4,3,2,1,2,2,911,972,61,4,8.5,,26424,117,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,4,4,1,1,1,2,731,790,59,4,8.5,,26424,118,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,4,5,1,2,1,2,823,876,53,4,8.5,,26424,119,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,4,6,1,2,1,2,810,867,57,4,8.5,,26424,120,MT,,1,4,,1,4,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,4,7,2,2,2,2,867,937,70,4,8.5,,26424,121,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,4,8,1,1,1,2,765,830,65,4,8.5,,26424,122,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,4,9,2,2,2,2,791,853,62,4,8.5,,26424,123,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,4,10,1,1,1,2,692,750,58,4,8.5,,26424,124,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,5,1,1,1,1,2,780,845,65,4,8.5,,26420,125,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,5,2,1,1,1,2,618,664,46,4,8.5,,26420,126,MT,,1,2,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,5,3,2,2,2,2,802,853,51,4,8.5,,26420,127,MT,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,5,4,2,2,2,2,739,782,43,4,8.5,,26420,128,MT,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,5,5,2,1,2,2,926,992,66,4,8.5,,26420,129,FW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,5,6,1,1,1,2,890,970,80,4,8.5,,26420,130,FW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,5,7,2,1,2,2,721,773,52,4,8.5,,26420,131,FW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,5,8,2,2,2,2,803,858,55,4,8.5,,26420,132,FW,,1,3,,1,3,,,,,,,,1,3,,,,,
,BigEddy,6/12/18,5,9,2,2,2,2,911,970,59,4,8.5,,26420,133,FW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,5,10,2,2,2,2,829,889,60,4,8.5,,26420,134,FW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/12/18,6,1,1,1,1,2,874,942,68,4,8.5,,26429,135,FW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/13/18,7,1,2,2,2,2,825,881,56,4,8.5,,26416,136,SL,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/13/18,7,2,2,2,2,2,824,883,59,4,8.5,,26416,137,SL,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/13/18,7,3,2,1,2,2,831,889,58,4,8.5,,26416,138,EW,,1,4,,1,4,,,,,,,,1,4,,,,,
,BigEddy,6/13/18,7,4,1,1,1,2,813,875,62,4,8.5,,26416,139,EW,,,4,9,,4,9,,,,,,,,4,9,,,,
