fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date_julian,file.id,capture_date
2018-yk-005_redo,,,0.711639519,,,5,,,
2018-yk-006_redo,,,0.715873019,,,6,,,
2018-yk-007_redo,,,0.723310509,,,7,,,
2018-yk-010_redo,,,0.714047878,,,10,,,
2018-yk-011_redo,,,0.712030479,,,11,,,
2018-yk-014_redo,,,0.723809213,,,14,,,
2018-yk-015_redo,,,0.72342422,,,15,,,
2018-yk-019_redo,,,0.713851328,,,19,,,
2018-yk-023_redo,,,0.72150341,,,23,,,
2018-yk-030_redo,,,0.721493887,,,30,,,
2018-yk-038_redo,,,0.711371594,,,38,,,
2018-yk-041_redo,,,0.710667647,,,41,,,
2018-yk-043_redo,,,0.706494901,,,43,,,
2018-yk-046_redo,,,0.707262821,,,46,,,
2018-yk-048_redo,,,0.724874334,,,48,,,
2018-yk-051_redo,,,0.721615463,,,51,,,
2018-yk-055_redo,,,0.713035716,,,55,,,
2018-yk-056_redo,,,0.724638921,,,56,,,
2018-yk-058_redo,,,0.710342098,,,58,,,
2018-yk-061_redo,,,0.707906837,,,61,,,
2018-yk-062_redo,,,0.723094094,,,62,,,
2018-yk-065_redo,,,0.706300834,,,65,,,
2018-yk-066_redo,,,0.707330435,,,66,,,
2018-yk-068_redo,,,0.71552183,,,68,,,
2018-yk-072_redo,,,0.719939659,,,72,,,
2018-yk-077_redo,,,0.716426292,,,77,,,
2018-yk-105_redo,,,0.71855103,,,105,,,
2018-yk-107,,,0.709643999,,,107,,,
2018-yk-142,,,0.709339267,,,142,,,
2018-yk-152_redo,,,0.713803733,,,152,,,
2018-yk-261,,,0.711582323,,,261,,,
2018-yk-275_redo,,,0.718957872,,,275,,,
2018-yk-276_redo,,,0.711244445,,,276,,,
2018-yk-287_redo,,,0.739787138,,,287,,,
2018-yk-291_redo,,,0.709186645,,,291,,,
2018-yk-314_redo,,,0.706894953,,,314,,,
2018-yk-325_redo,,,0.721660755,,,325,,,
2018-yk-328,,,0.706561753,,,328,,,
2018-yk-330,,,0.715023432,,,330,,,
2018-yk-336_redo,,,0.712920451,,,336,,,
2018-yk-338,,,0.712041635,,,338,,,
2018-yk-339,,,0.722189789,,,339,,,
2018-yk-347,,,0.714086424,,,347,,,
2018-yk-348_redo,,,0.710246511,,,348,,,
2018-yk-351,,,0.707368338,,,351,,,
2018-yk-354,,,0.711648195,,,354,,,
2018-yk-355,,,0.712887853,,,355,,,
2018-yk-356,,,0.714815684,,,356,,,
2018-yk-359,,,0.728439836,,,359,,,
2018-yk-361,,,0.707724345,,,361,,,
2018-yk-362,,,0.705579587,,,362,,,
2018-yk-363,,,0.710872415,,,363,,,
2018-yk-365,,,0.717019023,,,365,,,
2018-yk-372,,,0.710703667,,,372,,,
2018-yk-376,,,0.709947172,,,376,,,
2018-yk-377,,,0.706602315,,,377,,,
2018-yk-381,,,0.708162643,,,381,,,
2018-yk-382,,,0.723488113,,,382,,,
2018-yk-387,,,0.713683459,,,387,,,
2018-yk-388,,,0.707341178,,,388,,,
2018-yk-391,,,0.711153957,,,391,,,
2018-yk-392,,,0.715850877,,,392,,,
2018-yk-393_redo,,,0.715766112,,,393,,,
2018-yk-394,,,0.706880652,,,394,,,
2018-yk-395,,,0.728996247,,,395,,,
2018-yk-397,,,0.712223011,,,397,,,
2018-yk-398_redo,,,0.710748183,,,398,,,
2018-yk-399,,,0.706700936,,,399,,,
2018-yk-400,,,0.721847466,,,400,,,
2018-yk-401_redo,,,0.709893207,,,401,,,
2018-yk-404,,,0.714055951,,,404,,,
2018-yk-408,,,0.707201723,,,408,,,
2018-yk-413,,,0.707488601,,,413,,,
2018-yk-414,,,0.706476576,,,414,,,
2018-yk-415,,,0.70781463,,,415,,,
2018-yk-416_redo,,,0.706315889,,,416,,,
2018-yk-418,,,0.707357523,,,418,,,
2018-yk-420_redo,,,0.70698984,,,420,,,
2018-yk-423,,,0.707395404,,,423,,,
2018-yk-426,,,0.707638116,,,426,,,
2018-yk-427,,,0.706276094,,,427,,,
2018-yk-430,,,0.715474356,,,430,,,
2018-yk-431,,,0.715101568,,,431,,,
2018-yk-432,,,0.706832056,,,432,,,
2018-yk-434,,,0.711444562,,,434,,,
2018-yk-438,,,0.711924325,,,438,,,
2018-yk-443,,,0.711808671,,,443,,,
2018-yk-446,,,0.714538847,,,446,,,
2018-yk-450,,,0.709972017,,,450,,,
