tributary_id,year,watershed,raw_production,stream_order,longitude,latitude,production_proportion,production_normalized
5665,2016,Yukon,28.544510773380317,6,586211.7690772773,1642335.9694752432,0.0017828782674768025,1
5992,2016,Yukon,28.537686041661107,6,571506.1829933472,1658710.825201542,0.001782451997572927,0.9997609091368427
6033,2016,Yukon,28.496516338436884,6,565491.8998690472,1660102.6299084376,0.0017798805550374541,0.9983186107015647
5729,2016,Yukon,28.448931609864438,6,580142.64864891,1644564.9221758023,0.0017769084326875867,0.9966515746486356
5889,2016,Yukon,28.38907524653684,6,575867.8312351488,1650104.3480125598,0.0017731698291363045,0.9945546263490902
5930,2016,Yukon,28.38659540161821,6,574035.9318464699,1655167.7901987624,0.0017730149390543816,0.9944677499286702
5867,2016,Yukon,28.38175145192434,6,574359.3013592978,1654292.4178100438,0.0017727123879717405,0.9942980518128985
6327,2016,Yukon,27.018498992853154,5,565484.603573147,1672912.9376413003,0.0016875642065347356,0.94653922105576
6457,2016,Yukon,26.7658790656174,4,551297.1273717773,1679246.864985049,0.0016717856709775518,0.9376891857813303
6010,2016,Yukon,26.74229416550466,5,559209.7159769507,1661651.798079168,0.001670312567928582,0.9368629358483752
6019,2016,Yukon,26.12167098120625,5,552096.8539120206,1660468.5957406026,0.001631548702036378,0.9151206404828794
6136,2016,Yukon,26.02652552700128,4,601100.791585794,1666819.452103617,0.0016256059565502847,0.9117874092721453
5701,2016,Yukon,25.911235050847303,5,523324.9884688757,1644166.0909070934,0.001618404961374229,0.9077484373987337
6264,2016,Yukon,25.68631660769808,5,564980.6570595296,1669979.0749921505,0.0016043566489883875,0.8998688683658331
6384,2016,Yukon,25.67126406950784,5,564451.5437779272,1675114.062835421,0.001603416473715362,0.8993415327141646
5754,2016,Yukon,25.285207876465368,5,535145.3158891355,1648004.132219307,0.0015793035645096406,0.8858168240194724
6620,2016,Yukon,25.191638034454552,4,565042.062148188,1682199.3189417054,0.0015734592311056892,0.8825387912392408
