reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,GenLMU
13,4,0.720059246918,0,0,0,upper
4,4,0.720535547828,0,0,0,upper
9,4,0.717148487891,0,0,0,upper
16,4,0.72335616682,0,0,0,upper
18,4,0.711276478328,0,0,0,upper
19,4,0.721223032119,0,0,0,upper
20,4,0.712308600611,0,0,0,upper
22,5,0.716195141723,0,0,0,upper
71,5,0.711708495547,0,0,0,upper
93,5,0.708796348579,0,0,0,upper
94,5,0.708772162191,0,0,0,upper
121,4,0.708923959919,0,0,0,upper
122,4,0.708004567242,0,0,0,upper
142,4,0.703817444745,0,0,0,upper
171,5,0.711290691902,0,0,0,upper
173,4,0.704144475592,0,0,0,upper
174,4,0.708109544736,0,0,0,upper
23,4,0.711154435681,0,0,0,upper
24,4,0.720866047687,0,0,0,upper
32,4,0.720916013051,0,0,0,upper
33,4,0.706035345712,0,0,0,upper
34,4,0.72092235782,0,0,0,upper
37,5,0.714810983703,0,0,0,upper
38,5,0.713910457019,0,0,0,upper
39,5,0.713431774013,0,0,0,upper
43,4,0.721005008243,0,0,0,upper
45,4,0.720716332555,0,0,0,upper
47,4,0.710861809672,0,0,0,upper
49,4,0.70763360898,0,0,0,upper
51,4,0.720735241706,0,0,0,upper
55,4,0.72075624787399994,0,0,0,upper
56,4,0.720419955103,0,0,0,upper
57,4,0.720359726681,0,0,0,upper
60,5,0.71308192835,0,0,0,upper
61,5,0.717178756243,0,0,0,upper
62,5,0.713220394193,0,0,0,upper
63,5,0.716739137862,0,0,0,upper
64,5,0.712843225727,0,0,0,upper
66,5,0.712255305104,0,0,0,upper
67,4,0.716762260546,0,0,0,upper
68,4,0.715991101849,0,0,0,upper
70,4,0.708904019064,0,0,0,upper
80,4,0.7121572705,0,0,0,upper
81,4,0.71083507085,0,0,0,upper
82,4,0.708534945561,0,0,0,upper
83,4,0.716736948334,0,0,0,upper
85,4,0.708562175974,0,0,0,upper
86,5,0.70855068642,0,0,0,upper
96,4,0.715799881783,0,0,0,upper
100,5,0.708706274704,0,0,0,upper
101,4,0.714970966212,0,0,0,upper
102,5,0.710562302252,0,0,0,upper
104,5,0.709909113629,0,0,0,upper
105,5,0.708766351753,0,0,0,upper
106,5,0.708782773851,0,0,0,upper
107,5,0.715378307491,0,0,0,upper
109,4,0.70787188446,0,0,0,upper
113,5,0.713307298819,0,0,0,upper
116,5,0.708811765271,0,0,0,upper
119,4,0.706744170178,0,0,0,upper
124,5,0.711818005544,0,0,0,upper
126,5,0.711380536957,0,0,0,upper
127,5,0.709668062592,0,0,0,upper
128,5,0.709586641029,0,0,0,upper
129,4,0.706786488172,0,0,0,upper
130,6,0.709762899884,0,0,0,upper
131,5,0.70910596152,0,0,0,upper
132,4,0.709542850424,0,0,0,upper
136,5,0.714236776756,0,0,0,upper
137,4,0.711366491013,0,0,0,upper
138,4,0.712598667234,0,0,0,upper
143,4,0.710417877465,0,0,0,upper
144,5,0.705766054478,0,0,0,upper
146,4,0.711773990959,0,0,0,upper
149,6,0.709848013323,0,0,0,upper
151,6,0.709784954901,0,0,0,upper
154,4,0.712511464857,0,0,0,upper
159,5,0.705767368043,0,0,0,upper
160,5,0.713188179246,0,0,0,upper
164,4,0.707262554018,0,0,0,upper
165,6,0.709843026091,0,0,0,upper
167,4,0.708200579154,0,0,0,upper
176,6,0.709823753496,0,0,0,upper
178,4,0.712252792517,0,0,0,upper
179,5,0.710882643152,0,0,0,upper
180,5,0.711098285951,0,0,0,upper
183,4,0.708805825284,0,0,0,upper
184,5,0.706035962559,0,0,0,upper
188,4,0.703961996565,0,0,0,upper
191,4,0.711381467109,0,0,0,upper
192,5,0.710796607231,0,0,0,upper
195,6,0.708729331974,0,0,0,upper
196,4,0.707747229824,0,0,0,upper
197,5,0.711756299664,0,0,0,upper
198,5,0.708081438822,0,0,0,upper
202,5,0.707068755976,0,0,0,upper
203,5,0.706758435913,0,0,0,upper
204,5,0.706591891118,0,0,0,upper
205,5,0.707321826525,0,0,0,upper
208,4,0.711519306239,0,0,0,upper
209,4,0.7039148979,0,0,0,upper
210,4,0.708264736025,0,0,0,upper
212,5,0.713023983295,0,0,0,upper
214,5,0.711883510627,0,0,0,upper
216,5,0.708409918281,0,0,0,upper
217,5,0.712827911259,0,0,0,upper
324,7,0.708637447072,0,0,0,upper
420,5,0.71179189805,0,0,0,upper
587,5,0.709176251646,0,0,0,upper
855,5,0.712293321648,0,0,0,upper
222,7,0.7089887059,0,0,0,upper
223,4,0.710197930104,0,0,0,upper
226,4,0.709906762439,0,0,0,upper
229,4,0.710235385711,0,0,0,upper
231,4,0.70997232257,0,0,0,upper
234,6,0.709783022135,0,0,0,upper
235,4,0.703733180127,0,0,0,upper
238,6,0.709709986863,0,0,0,upper
239,5,0.70860013781,0,0,0,upper
240,6,0.71031065345,0,0,0,upper
242,4,0.71217318009,0,0,0,upper
245,4,0.706375318526,0,0,0,upper
246,5,0.711968198792,0,0,0,upper
250,5,0.707227929217,0,0,0,upper
251,4,0.711906088368,0,0,0,upper
253,6,0.710260603801,0,0,0,upper
255,4,0.703778422118,0,0,0,upper
257,5,0.704712463045,0,0,0,upper
258,4,0.705379765962,0,0,0,upper
259,4,0.712106786747,0,0,0,upper
261,4,0.705542457492,0,0,0,upper
262,4,0.711275834312,0,0,0,upper
266,4,0.712197258733,0,0,0,upper
267,4,0.704611809378,0,0,0,upper
269,4,0.711169005947,0,0,0,upper
272,4,0.711892201864,0,0,0,upper
275,4,0.71119720713,0,0,0,upper
276,5,0.708498680551,0,0,0,upper
277,4,0.704332578294,0,0,0,upper
282,4,0.708770964654,0,0,0,upper
283,5,0.712213848487,0,0,0,upper
284,7,0.709710022189,0,0,0,upper
286,4,0.711259028075,0,0,0,upper
287,5,0.706930971985,0,0,0,upper
289,4,0.703849037512,0,0,0,upper
290,5,0.709912188134,0,0,0,upper
291,4,0.712020779934,0,0,0,upper
292,5,0.708379136973,0,0,0,upper
294,6,0.712158470528,0,0,0,upper
295,7,0.708879680975,0,0,0,upper
299,7,0.708823041239,0,0,0,upper
300,7,0.709490352789,0,0,0,upper
303,7,0.709440271498,0,0,0,upper
305,4,0.709980070363,0,0,0,upper
306,4,0.70835158353,0,0,0,upper
309,4,0.711733969829,0,0,0,upper
313,4,0.704792822938,0,0,0,upper
314,4,0.707194546449,0,0,0,upper
320,4,0.707932774147,0,0,0,upper
321,4,0.71088757304,0,0,0,upper
322,5,0.707934549302,0,0,0,upper
329,4,0.710015322005,0,0,0,upper
333,5,0.708159996636,0,0,0,upper
334,4,0.711814570526,0,0,0,upper
335,4,0.709472944324,0,0,0,upper
336,4,0.707805221208,0,0,0,upper
339,4,0.70767809023,0,0,0,upper
341,5,0.7047417851,0,0,0,upper
343,4,0.707157094296,0,0,0,upper
344,4,0.704286086087,0,0,0,upper
350,6,0.712153366769,0,0,0,upper
352,4,0.709837762838,0,0,0,upper
356,4,0.706675020208,0,0,0,upper
358,4,0.705320385995,0,0,0,upper
361,4,0.709141898089,0,0,0,upper
363,4,0.707036690115,0,0,0,upper
367,4,0.705100142532,0,0,0,upper
372,4,0.707717994714,0,0,0,upper
373,4,0.711603092756,0,0,0,upper
374,4,0.705353066203,0,0,0,upper
378,4,0.711401940377,0,0,0,upper
379,5,0.707837887973,0,0,0,upper
380,5,0.707671158837,0,0,0,upper
383,4,0.711702674506,0,0,0,upper
384,5,0.705342451047,0,0,0,upper
385,4,0.711736404517,0,0,0,upper
388,6,0.712060155828,0,0,0,upper
389,4,0.71140778451,0,0,0,upper
392,6,0.709545741021,0,0,0,upper
393,4,0.708738785893,0,0,0,upper
394,5,0.705364902231,0,0,0,upper
397,4,0.711112973681,0,0,0,upper
398,4,0.707397850773,0,0,0,upper
402,4,0.710624695778,0,0,0,upper
403,5,0.71137845586,0,0,0,upper
405,4,0.711197070861,0,0,0,upper
409,4,0.709963843872,0,0,0,upper
410,4,0.709913928836,0,0,0,upper
411,4,0.70962991787,0,0,0,upper
413,4,0.709582005056,0,0,0,upper
414,4,0.711082208442,0,0,0,upper
415,4,0.711317713292,0,0,0,upper
418,5,0.705535124323,0,0,0,upper
425,7,0.708352177588,0,0,0,upper
426,4,0.705142457698,0,0,0,upper
428,5,0.705562861111,0,0,0,upper
431,4,0.708793301416,0,0,0,upper
433,4,0.709337817457,0,0,0,upper
436,4,0.710333958536,0,0,0,upper
440,6,0.709452169376,0,0,0,upper
441,4,0.707265382322,0,0,0,upper
442,4,0.709522808124,0,0,0,upper
443,5,0.708048497885,0,0,0,upper
444,4,0.707558513002,0,0,0,upper
446,5,0.711565079383,0,0,0,upper
449,4,0.711857841835,0,0,0,upper
450,4,0.708545952132,0,0,0,upper
451,4,0.70524239099,0,0,0,upper
453,4,0.711599931747,0,0,0,upper
457,5,0.711532760294,0,0,0,upper
458,4,0.709861961056,0,0,0,upper
461,4,0.709285228814,0,0,0,upper
463,4,0.709735799555,0,0,0,upper
465,4,0.710169468842,0,0,0,upper
470,4,0.708790791931,0,0,0,upper
471,4,0.711693235574,0,0,0,upper
473,4,0.709168767896,0,0,0,upper
474,5,0.711514993042,0,0,0,upper
476,4,0.709486034318,0,0,0,upper
478,4,0.711761515583,0,0,0,upper
482,4,0.709050240917,0,0,0,upper
483,5,0.709421949765,0,0,0,upper
484,4,0.707089784187,0,0,0,upper
485,4,0.70748613893,0,0,0,upper
486,4,0.705562448213,0,0,0,upper
494,4,0.708782252941,0,0,0,upper
495,5,0.708104828181,0,0,0,upper
496,6,0.710630523012,0,0,0,upper
497,5,0.711464915592,0,0,0,upper
500,4,0.709172360101,0,0,0,upper
502,7,0.707946453656,0,0,0,upper
505,7,0.707948200169,0,0,0,upper
506,7,0.707918485191,0,0,0,upper
507,6,0.711136022368,0,0,0,upper
508,6,0.710858395951,0,0,0,upper
509,7,0.710977538744,0,0,0,upper
510,7,0.710873656425,0,0,0,upper
512,6,0.711084611823,0,0,0,upper
513,6,0.711282513399,0,0,0,upper
514,6,0.710803050764,0,0,0,upper
516,7,0.711111753929,0,0,0,upper
518,5,0.705638058339,0,0,0,upper
519,7,0.710789388804,0,0,0,upper
521,4,0.70545061197,0,0,0,upper
522,5,0.70876260143,0,0,0,upper
523,4,0.70877332215,0,0,0,upper
525,5,0.70586551456,0,0,0,upper
527,6,0.711304102486,0,0,0,upper
528,4,0.707015563719,0,0,0,upper
533,4,0.708015443228,0,0,0,upper
534,4,0.711735338638,0,0,0,upper
535,5,0.709332842932,0,0,0,upper
536,5,0.706156395833,0,0,0,upper
538,7,0.710720959813,0,0,0,upper
539,5,0.71138204827,0,0,0,upper
544,5,0.707496275409,0,0,0,upper
546,4,0.707787625766,0,0,0,upper
547,4,0.710138430467,0,0,0,upper
548,5,0.71261951631,0,0,0,upper
550,5,0.709435680805,0,0,0,upper
554,7,0.707897740355,0,0,0,upper
555,7,0.710797005491,0,0,0,upper
556,4,0.711608208812,0,0,0,upper
562,6,0.711960805644,0,0,0,upper
563,4,0.705710068834,0,0,0,upper
564,5,0.711293816763,0,0,0,upper
566,5,0.705069469741,0,0,0,upper
567,7,0.707762550796,0,0,0,upper
568,4,0.709744295772,0,0,0,upper
569,5,0.707525581024,0,0,0,upper
573,7,0.710859228757,0,0,0,upper
574,4,0.709139572334,0,0,0,upper
576,5,0.712696826371,0,0,0,upper
578,6,0.71198316703,0,0,0,upper
580,5,0.711147775113,0,0,0,upper
582,5,0.71118091909,0,0,0,upper
584,5,0.705811100229,0,0,0,upper
585,4,0.712341768363,0,0,0,upper
590,4,0.70879818465,0,0,0,upper
591,5,0.707514472566,0,0,0,upper
592,5,0.712968480821,0,0,0,upper
594,4,0.711386096334,0,0,0,upper
598,4,0.710956475672,0,0,0,upper
599,4,0.708494319771,0,0,0,upper
602,7,0.710906199295,0,0,0,upper
603,7,0.710791450144,0,0,0,upper
604,4,0.710094650466,0,0,0,upper
606,6,0.705299183294,0,0,0,upper
607,5,0.707426080586,0,0,0,upper
612,4,0.70936020385,0,0,0,upper
615,6,0.711980910975,0,0,0,upper
616,6,0.711741031014,0,0,0,upper
617,4,0.707166730112,0,0,0,upper
618,5,0.70768263654,0,0,0,upper
619,4,0.709428077769,0,0,0,upper
620,7,0.711732955143,0,0,0,upper
622,6,0.705866078149,0,0,0,upper
