reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals
17927,8,0.713427382522,4.306832670985233,8.674536447596876e-4,0.22569462754891195,120.64805527411163
17930,5,0.715648343407,7.709910218615729,0.001552878932345014,0.4040290041795296,215.9790605473416
17933,6,0.716047954934,7.1327153315417045,0.0014366241700223162,0.37378176798228313,199.8099994392138
17934,5,0.717682938575,4.635304967834511,9.33612354157448e-4,0.2429078416115271,129.84960705328032
17935,3,0.715948584152,0,0,0,0
17936,6,0.715897627644,6.653031797527324,0.0013400094970829112,0.3486445024274652,186.37254088278254
17937,5,0.716066007956,0,0,0,0
17938,3,0.711992031435,0,0,0,0
17940,5,0.717130871404,4.726961165896611,9.520731370918351e-4,0.24771097957031918,132.41718812614369
17941,3,0.711849079645,0,0,0,0
17942,7,0.713132732257,5.949317181130969,0.001198271970808402,0.3117671448931712,166.659260515945
17944,4,0.718182965393,0,0,0,0
17945,6,0.714322039657,8.173672984221177,0.0016462869498049192,0.4283319601219602,228.9705278397176
17948,6,0.714462164945,3.381021441428541,6.809828930983087e-4,0.17717855167647778,94.71314372079208
17949,4,0.713916084324,0,0,0,0
17951,3,0.716436284537,0,0,0,0
17952,4,0.716543306773,0,0,0,0
17954,3,0.718852530304,0,0,0,0
17956,3,0.717761729453,0,0,0,0
17957,4,0.713237020745,0,0,0,0
17958,3,0.714620325134,0,0,0,0
17961,3,0.712466683313,0,0,0,0
17964,4,0.718541202315,0,0,0,0
17966,3,0.719430505089,0,0,0,0
17967,7,0.716618935926,6.8995107833310385,0.0013896536581000124,0.36156095104511654,193.27719972952403
17969,5,0.714917134399,0.30088439077833473,6.060213650516805e-5,0.015767501479564766,8.428726951548288
17970,3,0.718655398107,0,0,0,0
17972,3,0.716938161176,0,0,0,0
17975,4,0.715611852894,0,0,0,0
17979,3,0.715056081988,0,0,0,0
17981,7,0.716508466444,6.952971706908783,0.0014004214024152624,0.36436250944244797,194.77480991212192
17982,4,0.714512689852,0,0,0,0
17989,3,0.715357076064,0,0,0,0
17991,3,0.715598217235,0,0,0,0
17992,4,0.712376215171,0,0,0,0
17993,5,0.715567751452,7.715554736372419,0.0015540158136392278,0.4043247986600934,216.13718140838472
17994,7,0.710613642804,3.655208472360574,7.362078246193701e-4,0.1915470086267198,102.39399287153584
17995,4,0.712299282353,0,0,0,0
17996,4,0.718094683101,0,0,0,0
17997,3,0.713011001236,0,0,0,0
18000,7,0.713028020834,6.110512623783709,0.0012307388867370823,0.32021440722522965,171.17485658405363
18003,3,0.718139769834,0,0,0,0
18008,4,0.710336820435,3.5787341988864996,7.208048841470487e-4,0.18753946201710045,100.25170570182397
18014,4,0.711801234342,0,0,0,0
18016,3,0.713864751713,0,0,0,0
18022,3,0.722965987269,0,0,0,0
18026,4,0.715406359878,0,0,0,0
18028,4,0.72175914472,0,0,0,0
18033,7,0.716368578299,7.021383666916515,0.001414200485232586,0.3679475597597857,196.6912460876038
18035,4,0.718564651987,0,0,0,0
18039,5,0.718103875239,0,0,0,0
18042,3,0.711926625244,0,0,0,0
18043,3,0.714933188907,0,0,0,0
18044,5,0.718182491255,0,0,0,0
18045,3,0.727170086372,0,0,0,0
18046,3,0.715155740243,0,0,0,0
18048,4,0.714235944726,0,0,0,0
18049,5,0.71460977481,0,0,0,0
18050,3,0.712176139673,0,0,0,0
18051,4,0.711813936345,0,0,0,0
18055,5,0.715583954954,0,0,0,0
18056,4,0.716115762762,0,0,0,0
18057,4,0.713295449573,0,0,0,0
18073,3,0.715184103431,0,0,0,0
18074,4,0.71422551077,0,0,0,0
18097,3,0.71303130561,0,0,0,0
18098,4,0.714712814109,0,0,0,0
18305,3,0.71493192304,0,0,0,0
18306,3,0.718553452229,0,0,0,0
18426,3,0.713466232849,0,0,0,0
18471,5,0.715301223223,0,0,0,0
18472,4,0.713940099742,0,0,0,0
18513,6,0.712376988284,1.5026761805918998,3.026590604574894e-4,0.07874602214989866,42.094730105608996
18059,3,0.711869117842,0,0,0,0
18061,3,0.710580594201,0,0,0,0
18063,3,0.710599686847,0,0,0,0
18065,3,0.713090048495,0,0,0,0
18068,3,0.714659524139,0,0,0,0
18069,3,0.71495528167,0,0,0,0
18072,3,0.718482355936,0,0,0,0
18076,3,0.717338834224,0,0,0,0
18077,3,0.719248270107,0,0,0,0
18079,3,0.71499954179,0,0,0,0
18080,5,0.715556656062,7.715962407706479,0.0015540979240929208,0.4043461622088848,216.1486015766157
18085,3,0.711645469487,0,0,0,0
18086,3,0.711502042397,0,0,0,0
18089,4,0.716167883902,6.184908002522028,0.0012457231100329155,0.32411301174005613,173.25890731270798
18090,3,0.719340654513,0,0,0,0
18092,4,0.715208279265,0,0,0,0
18093,3,0.718948761704,0,0,0,0
18094,3,0.723276206871,0,0,0,0
18095,5,0.717099885279,0,0,0,0
18102,4,0.722975339424,0,0,0,0
18105,3,0.714519516183,0,0,0,0
18111,3,0.718514159553,0,0,0,0
18112,3,0.714971481349,0,0,0,0
18113,4,0.723046161979,0,0,0,0
18114,3,0.709549410441,0,0,0,0
18116,3,0.715142064029,0,0,0,0
18117,6,0.716413562473,7.000254554660682,0.0014099447997121487,0.36684031286042373,196.09935257836477
18118,7,0.712951583066,6.099827162525992,0.0012285866920682738,0.3196544478808614,170.87552289293174
18119,3,0.713248964751,0,0,0,0
18123,4,0.711512430931,0,0,0,0
18124,3,0.713914535237,0,0,0,0
18125,4,0.707811710781,0,0,0,0
18132,3,0.711919409238,0,0,0,0
18134,3,0.713233564719,0,0,0,0
18135,3,0.716481396488,0,0,0,0
18137,7,0.712870251318,6.084826310576997,0.0012255653200550721,0.318868345435704,170.4553014092196
18139,3,0.72741032682,0,0,0,0
18140,4,0.715099968096,0,0,0,0
18143,6,0.714601262407,7.804788323958269,0.0015719886504545065,0.4090009824948451,218.63689747116413
18144,3,0.715420634027,0,0,0,0
18148,6,0.715893645901,0,0,0,0
18151,4,0.714752766055,0,0,0,0
18152,3,0.714867174784,0,0,0,0
18159,6,0.715965694918,6.716745066541687,0.0013528422007536161,0.351983323231207,188.15735180741518
18160,8,0.713427252821,0,0,0,0
18161,3,0.718418109938,0,0,0,0
18162,3,0.711686184098,0,0,0,0
18163,3,0.719338941863,0,0,0,0
18164,3,0.71729880291400006,0,0,0,0
18165,4,0.719798693124,0,0,0,0
