reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,GenLMU
10930,3,0.709161316825,0,0,0,lower
10932,3,0.709210005021,0,0,0,lower
10933,5,0.711362423376,0,0,0,middle
10939,7,0.71762703614,24.50126164370865,5.51654326580815e-4,0.6736336254107133,middle
10940,4,0.710957628112,4.9552227342528585,1.1156854288865252e-4,0.1362380722973693,lower
10941,4,0.734163125706,0.7102380044983299,1.5991252768170598e-5,0.019527165940760146,middle
10944,3,0.714365586017,0,0,0,lower
10945,7,0.717739301117,33.39444341065225,7.518873705009754e-4,0.9181412904533808,middle
10948,4,0.725957046584,15.059068222493556,3.390600965786339e-4,0.414031524969671,middle
10950,3,0.710981613807,0,0,0,lower
10951,7,0.719465473084,35.578449417645146,8.010610163546569e-4,0.978187989509271,middle
10952,7,0.718809551145,25.291830484147724,5.694542557285525e-4,0.6953693940362634,middle
10956,4,0.706774165862,5.813408618091935,1.308908930073849e-4,0.15983289270349552,lower
10958,3,0.711055604282,0,0,0,lower
10959,3,0.711117000831,0,0,0,lower
10960,3,0.711590667751,0,0,0,lower
10969,3,0.71920049396,0,0,0,middle
10972,4,0.713871294889,15.292763472028803,3.4432182543905795e-4,0.4204567034145579,middle
10973,3,0.727290108928,0,0,0,middle
10974,3,0.716783894293,0,0,0,middle
10978,4,0.711469863797,4.531747455006607,1.0203385143507181e-4,0.12459511318045718,lower
10981,4,0.713472291571,2.5438613374843695,5.727591229593901e-5,0.06994050184969809,lower
10990,9,0.715264580447,1.2604791693889206,2.838012170434249e-5,0.03465540530024797,lower
10997,3,0.710262073302,0,0,0,middle
11001,3,0.732690343238,0,0,0,middle
11002,3,0.708169021761,0,0,0,middle
11003,6,0.722937823526,34.31713261400515,7.726620350272707e-4,0.9435095544318008,middle
11007,5,0.714426782767,20.394553355903366,4.591903780741144e-4,0.5607244686233179,middle
11011,5,0.714209995144,16.590576882144205,3.735425404045096e-4,0.45613857013945636,middle
11016,6,0.722742802163,25.06027261417606,5.642406507035841e-4,0.6890029803507279,middle
11017,4,0.714454455377,10.366687984246953,2.3340954282211995e-4,0.2850200006791534,middle
11020,7,0.710792918996,13.097624438326637,2.948975156627826e-4,0.3601039147681389,lower
11132,3,0.712662493077,0,0,0,middle
11134,4,0.733209792401,0,0,0,middle
11139,3,0.706907255543,0,0,0,lower
11144,6,0.722781289612,34.66802647882405,7.805625309900047e-4,0.9531569721741858,middle
11146,4,0.710959226032,0,0,0,lower
11148,3,0.709297426452,0,0,0,lower
11149,6,0.72285912959,34.49796909640906,7.767336305790608e-4,0.9484814426969728,middle
11155,3,0.711308605459,0,0,0,lower
11156,4,0.733559386297,0,0,0,middle
11161,3,0.707956322172,0,0,0,lower
11169,9,0.715311761024,0,0,0,lower
11170,4,0.719881524273,14.736539038384489,3.3179824115054686e-4,0.4051639610559597,middle
11171,7,0.719979709021,35.28134010150359,7.943714979902406e-4,0.9700193152309353,middle
11173,3,0.734558257854,0,0,0,middle
11179,3,0.735224172828,0,0,0,middle
11184,4,0.70918003568,0,0,0,lower
11185,5,0.711298017611,6.9049054985865395,1.554663204008932e-4,0.18984232696954134,lower
11188,4,0.709227992865,1.106713206531537,2.4918028203825886e-5,0.030427789411292896,lower
11198,5,0.712592413943,6.935699826413573,1.5615966527541286e-4,0.19068898111322855,lower
11209,4,0.70925981966,0,0,0,lower
11212,4,0.70823615787,0,0,0,middle
11213,4,0.714430493173,0,0,0,middle
11218,3,0.735093635712,0,0,0,middle
11219,3,0.709207770001,0,0,0,lower
11223,3,0.714361469438,0,0,0,middle
11228,5,0.713974829682,20.834662189083627,4.6909957971119284e-4,0.572824747914308,middle
11235,3,0.709252994193,0,0,0,lower
11237,3,0.708348512416,0,0,0,lower
11240,6,0.722537154722,23.10475966046195,5.202116044737047e-4,0.6352384314183548,middle
11242,4,0.712383389379,7.708122870123415,1.7355103557338574e-4,0.21192585221201327,lower
11252,3,0.717123184343,0,0,0,middle
11260,3,0.730425268409,0,0,0,middle
11261,5,0.713957622278,21.17846008113436,4.768403074082847e-4,0.5822770701578919,middle
11262,3,0.717088475277,0,0,0,middle
11267,9,0.71510571543,1.5075141291068272,3.3942198724163774e-5,0.041447343525220705,lower
11281,3,0.731558683113,0,0,0,middle
11282,3,0.714069769391,0,0,0,middle
11288,9,0.715383882637,1.1737751539098866,2.642795099711604e-5,0.032271579473882595,lower
11293,3,0.709276845535,0,0,0,lower
11300,9,0.71535746896,0,0,0,lower
11301,4,0.720495797083,19.80611276653637,4.4594143596735466e-4,0.5445459806206036,middle
11304,3,0.714509593848,0,0,0,lower
11305,4,0.734143605323,1.2299234164997648,2.7692148426543332e-5,0.033815310496347895,middle
11309,5,0.724844378432,24.222900807652056,5.453869366890498e-4,0.6659804187354027,middle
11315,6,0.722561920321,34.42522686296307,7.750958141927387e-4,0.9464814797910105,middle
11318,3,0.709252755011,0,0,0,lower
11332,3,0.734774279194,0,0,0,middle
11333,3,0.709234104406,0,0,0,lower
11334,3,0.709276906003,0,0,0,lower
11336,4,0.712335606623,7.8441425233596265,1.7661356481367266e-4,0.2156655540065184,lower
11338,5,0.724874763627,22.222305885971316,5.003428544564855e-4,0.610976393650184,middle
11341,4,0.71398433322,0,0,0,middle
11342,5,0.714510181036,22.314200833809302,5.024119007898102e-4,0.6135029381101884,middle
11346,7,0.717837509223,29.982854393745704,6.750742712793953e-4,0.8243436276517903,middle
11347,7,0.710996217362,12.231252461444857,2.7539085284577087e-4,0.3362840272771215,lower
11348,7,0.718524180816,25.188027329122342,5.671170920177526e-4,0.6925154473021868,middle
11356,4,0.709051490453,0,0,0,lower
11357,3,0.708376856309,0,0,0,lower
11359,3,0.708027281225,0,0,0,lower
11361,3,0.70888497927,0,0,0,lower
11368,3,0.708248096791,0,0,0,lower
11372,9,0.715420085385,1.4471213986351594,3.2582435641625564e-5,0.03978691580653105,lower
11373,4,0.711351960697,0,0,0,lower
11374,4,0.720667297473,0,0,0,middle
11376,3,0.70922974439,0,0,0,lower
11377,9,0.715432437436,0,0,0,lower
11379,3,0.70924883957,0,0,0,lower
11380,4,0.72225037903,21.371628946098152,4.811895707918437e-4,0.5875880229045005,middle
11384,5,0.711585235984,20.389015361320787,4.590656882227718e-4,0.5605722079184442,middle
11388,7,0.720174591503,0,0,0,middle
11394,7,0.718331922805,25.057578730985107,5.641799969976973e-4,0.688928915172912,middle
11397,4,0.714020196039,0,0,0,middle
11398,3,0.714408617037,0,0,0,middle
11401,5,0.724841402138,22.766314059081633,5.125913854405498e-4,0.6259332641670726,middle
11402,9,0.714871750551,0,0,0,lower
11408,3,0.709244310463,0,0,0,lower
11409,4,0.711510883192,0,0,0,lower
11410,3,0.708383728332,0,0,0,lower
11411,3,0.725684937386,0,0,0,middle
11412,3,0.730952785079,0,0,0,middle
11414,3,0.711459970191,0,0,0,lower
11415,4,0.711412275691,0,0,0,lower
11419,3,0.708278829889,0,0,0,middle
11422,9,0.715428503932,0,0,0,lower
11424,7,0.720480930356,31.419191517751916,7.074138952713757e-4,0.863834042399667,middle
11425,4,0.735042087784,0,0,0,middle
11426,3,0.735474231113,0,0,0,middle
11429,3,0.709312738986,0,0,0,lower
11432,4,0.734112171158,0,0,0,middle
11433,5,0.71463883727,22.463488657845517,5.057731674557069e-4,0.6176074327928536,middle
11436,3,0.713378324573,0,0,0,middle
11437,4,0.710282861172,0,0,0,middle
11440,3,0.713842222363,0,0,0,middle
11444,3,0.734520208216,0,0,0,middle
11450,3,0.70929616727,0,0,0,lower
11452,6,0.722616450784,28.730436321909867,6.468756479569245e-4,0.7899098528311655,middle
11458,3,0.714020524466,0,0,0,middle
11462,4,0.709263321366,0,0,0,lower
11463,3,0.711434654644,0,0,0,lower
11464,3,0.709252857649,0,0,0,lower
11465,5,0.724473341926,0,0,0,middle
11467,5,0.723471559673,13.431720845987542,3.0241981110460005e-4,0.36928950600838023,middle
11469,5,0.710599961154,7.78272434982412,1.7523071352812454e-4,0.21397693292624637,lower
11470,6,0.722242836423,35.607864897939706,8.017233160030961e-4,0.9789967338475083,middle
11473,5,0.714020773052,22.74626542730443,5.121399836057075e-4,0.6253820504089815,middle
11476,3,0.724536296181,0,0,0,middle
11477,3,0.729399175388,0,0,0,middle
11479,4,0.715521198257,0,0,0,middle
11480,4,0.732032665914,0,0,0,middle
11481,4,0.709256388773,0,0,0,lower
11488,3,0.70919273507,0,0,0,lower
11490,5,0.724409304703,22.653836631679912,5.100589175059947e-4,0.6228408284264444,middle
11492,3,0.711689033343,0,0,0,lower
11493,4,0.709156654005,0,0,0,lower
11497,3,0.714576871162,0,0,0,middle
11500,5,0.707649774969,21.40866119930336,4.8202336470012333e-4,0.5886061815343097,lower
11501,5,0.724620757977,0,0,0,middle
11507,3,0.711638211518,0,0,0,lower
11510,3,0.735582613608,0,0,0,middle
11511,3,0.726008462028,0,0,0,middle
11513,4,0.709212825156,0,0,0,lower
11519,3,0.709313746621,0,0,0,lower
11524,5,0.711249767622,11.175516099199799,2.5162058581094146e-4,0.3072577867708628,lower
11526,3,0.711567004342,0,0,0,lower
11532,4,0.707258879942,14.550756666960424,3.2761528720764874e-4,0.4000560913380781,lower
11534,5,0.724560624098,0,0,0,middle
11536,3,0.733764517112,0,0,0,middle
11543,9,0.715458243986,0,0,0,lower
11548,3,0.7092908686,0,0,0,lower
11549,5,0.71415609187,0,0,0,middle
11553,4,0.707208439122,14.537692479139194,3.2732114252891146e-4,0.39969690672411673,lower
11554,3,0.711589308459,0,0,0,lower
11563,9,0.714656754718,0,0,0,lower
11564,3,0.711921643142,0,0,0,lower
11575,6,0.72217554528,35.69702853411341,8.037308659155935e-4,0.9814481840774566,middle
11579,6,0.7222861121,33.45036942249401,7.53146563878425e-4,0.9196789109506257,middle
11584,3,0.731668369555,0,0,0,middle
11590,3,0.726384447544,0,0,0,middle
