reachid,Str_Order,avg_rescale,n_years
13,4,0,3
4,4,0,3
9,4,1.186821367804421e-4,3
16,4,0,3
18,4,1.8447784001739573e-4,3
19,4,0,3
20,4,0,3
22,5,1.391136371076941e-4,3
71,5,1.809458066367719e-4,3
93,5,1.7148515008639256e-4,3
94,5,1.737689650939652e-4,3
121,4,0,3
122,4,1.4510973206760563e-4,3
142,4,0,3
171,5,1.8442604567661276e-4,3
174,4,0,3
23,4,1.8469960366470254e-4,3
24,4,6.732205196662831e-5,3
32,4,6.726239685103064e-5,3
33,4,7.927139774328534e-5,3
34,4,0,3
37,5,1.572415273072207e-4,3
38,5,1.5421447742986402e-4,3
39,5,1.453484839629434e-4,3
43,4,6.52628079748699e-5,3
45,4,6.878193631965406e-5,3
47,4,1.7878594939127964e-4,3
49,4,1.266916230223413e-4,3
51,4,6.875095569250149e-5,3
55,4,6.871437521602536e-5,3
56,4,7.384996513007794e-5,3
57,4,7.394867895582261e-5,3
60,5,1.4541678569246505e-4,3
61,5,1.1853283498306386e-4,3
62,5,1.4261596994752458e-4,3
63,5,1.3628899798337615e-4,3
64,5,1.5777541294594212e-4,3
66,5,1.694060064350406e-4,3
67,4,1.3738505468060023e-4,3
68,4,0,3
70,4,0,3
80,4,0,3
81,4,0,3
82,4,0,3
83,4,1.3630036869670024e-4,3
85,4,1.764746074113478e-4,3
86,5,1.7407222560856866e-4,3
96,4,1.4392700104426485e-4,3
100,5,1.7577486974846041e-4,3
101,4,1.5428063531401452e-4,3
102,5,1.7777396799811487e-4,3
104,5,1.7975250241244792e-4,3
105,5,1.737410580105091e-4,3
106,5,1.7381885656893946e-4,3
107,5,1.5005741643613651e-4,3
109,4,1.3622847489489157e-4,3
113,5,1.4211856192912814e-4,3
116,5,1.715598221694946e-4,3
119,4,9.383392708420557e-5,3
124,5,0,3
126,5,1.837892888033553e-4,3
127,5,1.810083052281103e-4,3
128,5,1.7939390482021178e-4,3
129,4,9.399458345634892e-5,3
130,6,1.7944593412808768e-4,3
131,5,1.7988247543918864e-4,3
132,4,1.8042244787529088e-4,3
136,5,1.5632058241311437e-4,3
137,4,1.838503878671585e-4,3
138,4,1.6588256478286371e-4,3
143,4,1.755341454841714e-4,3
144,5,7.279855441936701e-5,3
146,4,0,3
173,4,1.3691952152678423e-5,3
14,3,0,3
1,3,0,3
2,3,0,3
3,3,0,3
5,3,0,3
6,3,0,3
7,3,0,3
8,3,0,3
10,3,0,3
15,3,0,3
17,3,0,3
11,3,0,3
12,3,0,3
21,3,0,3
72,3,0,3
141,3,0,3
172,3,0,3
25,3,0,3
26,3,0,3
27,3,0,3
28,3,0,3
29,3,0,3
30,3,0,3
31,3,0,3
35,3,0,3
36,3,0,3
40,3,0,3
41,3,0,3
42,3,0,3
44,3,0,3
46,3,0,3
48,3,0,3
50,3,0,3
52,3,0,3
53,3,0,3
54,3,0,3
58,3,0,3
59,3,0,3
65,3,0,3
69,3,0,3
73,3,0,3
74,3,0,3
75,3,0,3
76,3,0,3
77,3,0,3
78,3,0,3
79,3,0,3
84,3,0,3
87,3,0,3
88,3,0,3
89,3,0,3
90,3,0,3
91,3,0,3
92,3,0,3
95,3,0,3
97,3,0,3
98,3,0,3
99,3,0,3
103,3,0,3
108,3,0,3
110,3,0,3
111,3,0,3
112,3,0,3
114,3,0,3
115,3,0,3
117,3,0,3
118,3,0,3
120,3,0,3
123,3,0,3
125,3,0,3
133,3,0,3
134,3,0,3
135,3,0,3
139,3,0,3
140,3,0,3
145,3,0,3
147,3,0,3
149,6,1.7983300066848633e-4,3
151,6,1.7955564898940142e-4,3
154,4,1.6701679020117286e-4,3
159,5,7.280820194574108e-5,3
160,5,1.3923095876496012e-4,3
164,4,0,3
165,6,1.7981303032576284e-4,3
167,4,0,3
176,6,1.797326814857223e-4,3
178,4,1.6941933241505945e-4,3
179,5,1.7876359082309953e-4,3
180,5,1.8486752041502175e-4,3
183,4,1.715313965235392e-4,3
184,5,7.92755355916029e-5,3
188,4,4.8271827559653486e-6,3
191,4,1.8378514655671623e-4,3
192,5,1.7873756620043966e-4,3
195,6,1.7481022227443065e-4,3
196,4,0,3
197,5,1.794029891727362e-4,3
198,5,1.4646139747856188e-4,3
202,5,1.0338325495906343e-4,3
203,5,9.388957652969418e-5,3
204,5,8.935611265783277e-5,3
205,5,1.1028943671357696e-4,3
208,4,0,3
209,4,4.792571761782542e-6,3
210,4,1.6150386500456354e-4,3
212,5,1.4782423394029648e-4,3
214,5,1.8008459508382112e-4,3
216,5,1.673920673630363e-4,3
217,5,1.5779532724105038e-4,3
324,7,1.773005616626538e-4,3
420,5,1.8034497426522905e-4,3
587,5,1.8023013181249695e-4,3
855,5,1.7533633520827127e-4,3
222,7,1.748856268060693e-4,3
223,4,1.754018093343613e-4,3
226,4,0,3
229,4,1.755117339515293e-4,3
231,4,0,3
234,6,1.7954629708871823e-4,3
235,4,3.633876781804894e-6,3
238,6,1.8158721429683232e-4,3
239,5,1.7782641480162514e-4,3
240,6,1.7567468826104813e-4,3
242,4,1.689827663449661e-4,3
245,4,8.738727580694862e-5,3
246,5,0,3
250,5,1.0770126261870007e-4,3
251,4,1.795634379943902e-4,3
253,6,1.7557495834478342e-4,3
255,4,3.660261295769364e-6,3
257,5,3.065998549747239e-5,3
258,4,5.958891325782656e-5,3
259,4,1.7207048993087465e-4,3
261,4,6.779729995805258e-5,3
262,4,1.84480120262581e-4,3
266,4,0,3
267,4,2.904293798291705e-5,3
269,4,1.8464880580846828e-4,3
272,4,1.809117144312221e-4,3
275,4,1.857171152350589e-4,3
276,5,0,3
277,4,2.2057891575889572e-5,3
282,4,0,3
283,5,1.6914500752352775e-4,3
284,7,1.815873878326778e-4,3
286,4,0,3
287,5,9.81810263448146e-5,3
148,3,0,3
150,3,0,3
152,3,0,3
153,3,0,3
156,3,0,3
158,3,0,3
161,3,0,3
162,3,0,3
163,3,0,3
166,3,0,3
169,3,0,3
170,3,0,3
175,3,0,3
177,3,0,3
181,3,0,3
182,3,0,3
185,3,0,3
186,3,0,3
187,3,0,3
189,3,0,3
190,3,0,3
193,3,0,3
194,3,0,3
199,3,0,3
200,3,0,3
201,3,0,3
206,3,0,3
207,3,0,3
211,3,0,3
213,3,0,3
215,3,0,3
218,3,0,3
307,3,0,3
308,3,0,3
323,3,0,3
419,3,0,3
437,3,0,3
438,3,0,3
588,3,0,3
627,3,0,3
628,3,0,3
856,3,0,3
219,3,0,3
220,3,0,3
221,3,0,3
224,3,0,3
225,3,0,3
227,3,0,3
228,3,0,3
230,3,0,3
232,3,0,3
233,3,0,3
236,3,0,3
237,3,0,3
241,3,0,3
243,3,0,3
244,3,0,3
247,3,0,3
248,3,0,3
249,3,0,3
252,3,0,3
254,3,0,3
256,3,0,3
260,3,0,3
263,3,0,3
264,3,0,3
265,3,0,3
268,3,0,3
270,3,0,3
271,3,0,3
273,3,0,3
274,3,0,3
278,3,0,3
279,3,0,3
280,3,0,3
281,3,0,3
285,3,0,3
288,3,0,3
155,3,0,3
