reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals,GENLMU
13,4,0.720059246918,0,0,0,0,upper
4,4,0.720535547828,0,0,0,0,upper
9,4,0.717148487891,17.38424004537655,1.1893685683292732e-4,0.41305935881444056,21.132581785217695,upper
16,4,0.72335616682,0,0,0,0,upper
18,4,0.711276478328,39.31218615989273,2.689601526948584e-4,0.9340797392588862,47.788570970669745,upper
19,4,0.721223032119,0,0,0,0,upper
20,4,0.712308600611,0,0,0,0,upper
22,5,0.716195141723,22.004915985602427,1.5054989665172334e-4,0.5228492280395046,26.74955508718155,upper
71,5,0.711708495547,40.43682288548935,2.7665452166768625e-4,0.9608017428415311,49.15569875539283,upper
93,5,0.708796348579,26.12190024969986,1.787168551569126e-4,0.620671098649805,31.754232107425075,upper
94,5,0.708772162191,26.672027728170303,1.824806338999529e-4,0.6337424381463876,32.422976550709734,upper
121,4,0.708923959919,0,0,0,0,upper
122,4,0.708004567242,20.4309470031365,1.397813543951519e-4,0.4854508363356289,24.836211267576196,upper
142,4,0.703817444745,0,0,0,0,upper
171,5,0.711290691902,39.306064599182754,2.689182711292647e-4,0.9339342875201155,47.78112949597662,upper
174,4,0.708109544736,0,0,0,0,upper
23,4,0.711154435681,39.33884322177381,2.691425309376956e-4,0.9347131261000557,47.820975754478816,upper
24,4,0.720866047687,6.057916353373228,4.1446133287754785e-5,0.14393951292345142,7.3641075164349825,upper
32,4,0.720916013051,6.050625576794176,4.139625235836586e-5,0.14376627995547916,7.355244722782088,upper
33,4,0.706035345712,12.198881970674915,8.346046043317355e-5,0.28985232324838595,14.829171149305843,upper
34,4,0.72092235782,0,0,0,0,upper
37,5,0.714810983703,24.533077210263023,1.678466866663082e-4,0.5829197661655339,29.822831440182977,upper
38,5,0.713910457019,29.614205562269607,2.0260997995809988e-4,0.7036502446710873,35.99953862897523,upper
39,5,0.713431774013,34.50676835722559,2.3608317402185465e-4,0.8199002990748966,41.94702227702911,upper
43,4,0.721005008243,5.6330509015535855,3.853935327986084e-5,0.1338444699044324,6.847633751412395,upper
45,4,0.720716332555,6.48554164562344,4.437179515331495e-5,0.1541001313093375,7.883936191045847,upper
47,4,0.710861809672,39.21372065118729,2.6828648631189815e-4,0.9317401431773177,47.66887460141175,upper
49,4,0.70763360898,16.162625829714017,1.1057900197737581e-4,0.3840331153132544,19.647566492338157,upper
51,4,0.720735241706,6.482710672662982,4.435242663189458e-5,0.15403286579339806,7.880494811528397,upper
55,4,0.72075624787399994,6.4793713928232,4.432958045356337e-5,0.1539535226190101,7.876435525408686,upper
56,4,0.720419955103,6.923710075669944,4.736958945994671e-5,0.16451126060203697,8.416581285653871,upper
57,4,0.720359726681,6.363988295661377,4.354016987983367e-5,0.15121195508385848,7.736173844078967,upper
60,5,0.71308192835,34.22729875327418,2.3417114127336739e-4,0.8132599434933482,41.60729421031064,upper
61,5,0.717178756243,17.351347406699148,1.1871181696652994e-4,0.4122778111479139,21.092596926796073,upper
62,5,0.713220394193,33.502405809958795,2.2921167868004966e-4,0.7960360778775142,40.72610185619254,upper
63,5,0.716739137862,20.175718712413182,1.380351721867703e-4,0.47938646804329643,24.52595135897316,upper
64,5,0.712843225727,36.540587493918835,2.4999784931703886e-4,0.868224990079752,44.41936786880215,upper
66,5,0.712255305104,39.54847052872015,2.705767272516829e-4,0.9396939892710221,48.075802321351766,upper
67,4,0.716762260546,20.152938629946803,1.3787931887366175e-4,0.478845200422006,24.498259498153345,upper
68,4,0.715991101849,0,0,0,0,upper
70,4,0.708904019064,0,0,0,0,upper
80,4,0.7121572705,0,0,0,0,upper
81,4,0.71083507085,0,0,0,0,upper
82,4,0.708534945561,0,0,0,0,upper
83,4,0.716736948334,20.177834798178974,1.3804964970141087e-4,0.47943674743585735,24.52852370929698,upper
85,4,0.708562175974,27.10474920158195,1.8544116204483334e-4,0.6440241446740305,32.94900023096394,upper
86,5,0.70855068642,27.098760614644814,1.8540019023903024e-4,0.643881852467181,32.94172040148065,upper
96,4,0.715799881783,24.028862761283197,1.643970287246971e-4,0.570939346172658,29.209899666775456,upper
100,5,0.708706274704,26.63417544061333,1.8222166186009317e-4,0.6328430464222092,32.376962657639496,upper
101,4,0.714970966212,25.671946952323758,1.756384329324244e-4,0.6099799542554865,31.207261125000237,upper
102,5,0.710562302252,36.74006838869232,2.5136262744715265e-4,0.8729647687687134,44.66186028218264,upper
104,5,0.709909113629,35.50927266956242,2.429419559737588e-4,0.843720367561163,43.16568379546149,upper
105,5,0.708766351753,26.669001968766807,1.8245993271819028e-4,0.633670544394583,32.41929838543533,upper
106,5,0.708782773851,26.11382381154383,1.786615990073095e-4,0.6204791979191705,31.744414250019748,upper
107,5,0.715378307491,24.172324621920694,1.6537854432360102e-4,0.5743480809815753,29.384294376873104,upper
