reachbase,original_reachid,stream_order,upstream_reachid,tributary_group_id
4,15835,4,15796,4_15835_4
4,15838,4,15843,4_15838_4
4,15846,4,15705,4_15846_4
4,15846,4,15652,4_15846_4
4,15846,4,15474,4_15846_4
4,15850,4,15765,4_15850_4
4,15858,4,15858,4_15858_4
4,15869,4,15920,4_15869_4
4,15869,4,16151,4_15869_4
4,15869,4,16189,4_15869_4
4,15869,4,16186,4_15869_4
4,15869,4,16162,4_15869_4
4,15869,4,16068,4_15869_4
4,15869,4,16077,4_15869_4
4,15882,4,15867,4_15882_4
4,15892,4,15892,4_15892_4
4,15919,4,15888,4_15919_4
4,15928,4,15928,4_15928_4
4,16597,4,16597,4_16597_4
4,15936,4,15936,4_15936_4
4,15938,4,15930,4_15938_4
4,15947,4,15891,4_15947_4
4,15951,4,15994,4_15951_4
4,15953,4,15953,4_15953_4
4,15964,4,15964,4_15964_4
4,15972,4,15906,4_15972_4
4,15972,4,15758,4_15972_4
4,15981,4,16015,4_15981_4
4,15997,4,15997,4_15997_4
4,16033,4,16033,4_16033_4
4,16039,4,15982,4_16039_4
4,16039,4,15901,4_16039_4
4,16039,4,15856,4_16039_4
4,16066,4,16111,4_16066_4
4,16076,4,15884,4_16076_4
4,16076,4,15755,4_16076_4
4,16076,4,15584,4_16076_4
4,16092,4,16092,4_16092_4
4,16094,4,16150,4_16094_4
4,16094,4,16397,4_16094_4
4,16094,4,16467,4_16094_4
4,16105,4,15897,4_16105_4
4,16105,4,15826,4_16105_4
4,16120,4,16120,4_16120_4
4,16122,4,16122,4_16122_4
4,16124,4,16086,4_16124_4
4,16124,4,16045,4_16124_4
4,16124,4,15966,4_16124_4
4,16126,4,16126,4_16126_4
4,16127,4,16147,4_16127_4
4,16156,4,16156,4_16156_4
4,16173,4,16173,4_16173_4
4,16182,4,16182,4_16182_4
4,16191,4,16191,4_16191_4
4,16198,4,16198,4_16198_4
4,16213,4,16172,4_16213_4
4,16213,4,16169,4_16213_4
4,16225,4,16225,4_16225_4
4,16227,4,16227,4_16227_4
4,16228,4,16234,4_16228_4
4,16228,4,16123,4_16228_4
4,16231,4,16271,4_16231_4
4,16239,4,16239,4_16239_4
4,16245,4,16245,4_16245_4
4,16262,4,16273,4_16262_4
4,16262,4,16314,4_16262_4
4,16262,4,16256,4_16262_4
4,16262,4,16216,4_16262_4
4,16262,4,16207,4_16262_4
4,16301,4,16289,4_16301_4
4,16303,4,16303,4_16303_4
4,16312,4,16306,4_16312_4
4,16317,4,16317,4_16317_4
4,16320,4,16320,4_16320_4
4,16322,4,16324,4_16322_4
4,16322,4,16347,4_16322_4
4,16323,4,16323,4_16323_4
4,16363,4,16403,4_16363_4
4,16395,4,16392,4_16395_4
4,16395,4,16389,4_16395_4
4,16396,4,16396,4_16396_4
4,16404,4,16377,4_16404_4
4,16404,4,16304,4_16404_4
4,16413,4,16413,4_16413_4
4,16420,4,16431,4_16420_4
4,16421,4,16421,4_16421_4
4,16432,4,16432,4_16432_4
4,16439,4,16345,4_16439_4
4,16439,4,16328,4_16439_4
4,16444,4,16444,4_16444_4
4,16449,4,16449,4_16449_4
4,16463,4,16463,4_16463_4
4,16466,4,16436,4_16466_4
4,16466,4,16321,4_16466_4
4,16466,4,16258,4_16466_4
4,16484,4,16474,4_16484_4
4,16484,4,16516,4_16484_4
4,16484,4,16652,4_16484_4
4,16490,4,16490,4_16490_4
4,16491,4,16491,4_16491_4
4,16497,4,16497,4_16497_4
4,16503,4,16526,4_16503_4
4,16503,4,16674,4_16503_4
4,16503,4,16671,4_16503_4
4,16503,4,16655,4_16503_4
4,16503,4,16656,4_16503_4
4,16503,4,16665,4_16503_4
4,16506,4,16506,4_16506_4
4,16511,4,16511,4_16511_4
4,16512,4,16512,4_16512_4
4,16547,4,16547,4_16547_4
4,16552,4,16552,4_16552_4
4,16560,4,16560,4_16560_4
4,16600,4,16611,4_16600_4
4,16617,4,16617,4_16617_4
4,16645,4,16507,4_16645_4
4,16664,4,16664,4_16664_4
4,16667,4,16667,4_16667_4
4,16673,4,16673,4_16673_4
4,16680,4,16619,4_16680_4
4,16680,4,16556,4_16680_4
4,16687,4,16704,4_16687_4
4,16687,4,16732,4_16687_4
4,16702,4,16702,4_16702_4
4,16711,4,16874,4_16711_4
4,16711,4,16876,4_16711_4
4,16725,4,16725,4_16725_4
4,16738,4,16838,4_16738_4
4,16748,4,16820,4_16748_4
4,16757,4,16757,4_16757_4
4,16763,4,16763,4_16763_4
4,16765,4,16765,4_16765_4
4,16780,4,16780,4_16780_4
4,16797,4,16795,4_16797_4
4,16800,4,16800,4_16800_4
4,16831,4,16831,4_16831_4
4,16837,4,16837,4_16837_4
4,16866,4,16866,4_16866_4
4,16869,4,16953,4_16869_4
